ticker,signal_date,signal_type,screen_type,price,volume,separation_pct,st_ema_avg,lt_ema_avg,volume_confirmation,rs_score,strength,raw_data,direction,compression_ratio,expansion_ratio,breakout_strength,st_spread,lt_spread
TTWO,2025-09-05,bullish_alignment,guppy_alignment,239.68,979400,2.0108387372181356,236.61935832026884,231.95511501459646,False,,weak,"{'Open': 242.0, 'High': 242.69000244140625, 'Low': 236.94000244140625, 'Close': 239.67999267578125, 'Volume': 979400.0, 'EMA_3': 239.49354170032686, 'EMA_5': 238.49539303789982, 'EMA_8': 237.0082505740654, 'EMA_10': 236.17709529814925, 'EMA_12': 235.47187401220293, 'EMA_25': 233.0699952989688, 'EMA_30': 232.6934114542992, 'EMA_35': 232.4148121425707, 'EMA_40': 232.16609793522056, 'EMA_45': 231.90860150988493, 'EMA_50': 231.6216867622062, 'EMA_60': 230.92608028339728}",,,,,,
TTWO,2025-09-05,compression_breakout,guppy_compression,239.68,979400,,,,False,,moderate,"{'Open': 242.0, 'High': 242.69000244140625, 'Low': 236.94000244140625, 'Close': 239.67999267578125, 'Volume': 979400.0, 'EMA_3': 239.49354170032686, 'EMA_5': 238.49539303789982, 'EMA_8': 237.0082505740654, 'EMA_10': 236.17709529814925, 'EMA_12': 235.47187401220293, 'EMA_25': 233.0699952989688, 'EMA_30': 232.6934114542992, 'EMA_35': 232.4148121425707, 'EMA_40': 232.16609793522056, 'EMA_45': 231.90860150988493, 'EMA_50': 231.6216867622062, 'EMA_60': 230.92608028339728}",bullish,0.015507893060954445,0.03521382254096504,2.2707032091693944,,
MAGS,2025-09-05,bullish_alignment,guppy_alignment,61.21,3593600,3.354876743490835,60.385062526685516,58.424976575175,True,,strong,"{'Open': 61.5, 'High': 61.709999084472656, 'Low': 60.68999862670898, 'Close': 61.209999084472656, 'Volume': 3593600.0, 'EMA_3': 60.95784787069958, 'EMA_5': 60.70851733132882, 'EMA_8': 60.475398365850694, 'EMA_10': 60.35988192138642, 'EMA_12': 60.25525921375042, 'EMA_25': 59.55347045709717, 'EMA_30': 59.252278762247855, 'EMA_35': 58.94018559837217, 'EMA_40': 58.62390412138637, 'EMA_45': 58.30963604418274, 'EMA_50': 58.002357042127414, 'EMA_60': 57.42149788273344}",,,,,,
MAGS,2025-09-05,expansion_signal,guppy_expansion,61.21,3593600,3.354876743490835,,,True,,very_strong,"{'Open': 61.5, 'High': 61.709999084472656, 'Low': 60.68999862670898, 'Close': 61.209999084472656, 'Volume': 3593600.0, 'EMA_3': 60.95784787069958, 'EMA_5': 60.70851733132882, 'EMA_8': 60.475398365850694, 'EMA_10': 60.35988192138642, 'EMA_12': 60.25525921375042, 'EMA_25': 59.55347045709717, 'EMA_30': 59.252278762247855, 'EMA_35': 58.94018559837217, 'EMA_40': 58.62390412138637, 'EMA_45': 58.30963604418274, 'EMA_50': 58.002357042127414, 'EMA_60': 57.42149788273344}",bullish,,0.05546498579364939,,0.02358178965597205,0.03188319613767734
SMH,2025-09-05,bullish_alignment,guppy_alignment,293.28,9802300,1.647711454396273,291.44092973752487,286.71666638385494,True,,moderate,"{'Open': 295.07000732421875, 'High': 295.1499938964844, 'Low': 289.25, 'Close': 293.2799987792969, 'Volume': 9802300.0, 'EMA_3': 291.18349903942317, 'EMA_5': 291.05390397876454, 'EMA_8': 291.4676951420649, 'EMA_10': 291.7224480179606, 'EMA_12': 291.90393115373354, 'EMA_25': 291.3141010932027, 'EMA_30': 290.4059132599449, 'EMA_35': 289.22707901428265, 'EMA_40': 287.854964986373, 'EMA_45': 286.35983417357, 'EMA_50': 284.79979145396214, 'EMA_60': 281.6524154149967}",,,,,,
