ticker,signal_date,signal_type,screen_type,price,volume,direction,compression_ratio,expansion_ratio,breakout_strength,volume_confirmation,rs_score,strength,raw_data
ASML,2025-09-05,compression_breakout,guppy_compression,781.7000122070312,1885900.0,bullish,0.0053485299185744494,0.02566472252525101,4.798462926443059,True,,moderate,"{'Open': 774.8800048828125, 'High': 783.0999755859375, 'Low': 766.239990234375, 'Close': 781.7000122070312, 'Volume': 1885900.0, 'EMA_3': 763.743157682816, 'EMA_5': 757.9021938867884, 'EMA_8': 754.5195572115017, 'EMA_10': 752.9834521774294, 'EMA_12': 751.6022686783767, 'EMA_25': 746.5931853169187, 'EMA_30': 746.0451700686497, 'EMA_35': 745.7486512998199, 'EMA_40': 745.5105500361565, 'EMA_45': 745.2384939047769, 'EMA_50': 744.9004467720977, 'EMA_60': 744.0409106811471}"
NFLX,2025-09-05,compression_breakout,guppy_compression,1243.8199462890625,2378700.0,bullish,0.012417011183522895,0.02827007511347196,2.2767214022474054,False,,weak,"{'Open': 1260.0, 'High': 1267.0999755859375, 'Low': 1239.02001953125, 'Close': 1243.8199462890625, 'Volume': 2378700.0, 'EMA_3': 1241.5216107107492, 'EMA_5': 1236.3267365553934, 'EMA_8': 1231.3726567091949, 'EMA_10': 1228.9910788177813, 'EMA_12': 1227.001084529852, 'EMA_25': 1220.411575250161, 'EMA_30': 1219.3243941301064, 'EMA_35': 1218.1819950142865, 'EMA_40': 1216.700334254138, 'EMA_45': 1214.7552951608168, 'EMA_50': 1212.3192700720285, 'EMA_60': 1206.090442786875}"
AMGN,2025-09-05,compression_breakout,guppy_compression,283.6400146484375,2299400.0,bearish,0.01577636096320016,0.024222897245260337,1.5353919260444477,False,,weak,"{'Open': 279.79998779296875, 'High': 285.2900085449219, 'Low': 279.0, 'Close': 283.6400146484375, 'Volume': 2299400.0, 'EMA_3': 283.23097584486004, 'EMA_5': 284.1337702871541, 'EMA_8': 285.459472865804, 'EMA_10': 286.200655532251, 'EMA_12': 286.846441627805, 'EMA_25': 289.50938848891445, 'EMA_30': 290.00770828138906, 'EMA_35': 290.3155046692831, 'EMA_40': 290.49040601225687, 'EMA_45': 290.57617897927275, 'EMA_50': 290.60390197130965, 'EMA_60': 290.5640344310312}"
ADP,2025-09-05,compression_breakout,guppy_compression,295.9700012207031,1892500.0,bearish,0.003507911244216983,0.01904720272623531,5.429784678171618,True,,moderate,"{'Open': 301.19000244140625, 'High': 302.67999267578125, 'Low': 293.95001220703125, 'Close': 295.9700012207031, 'Volume': 1892500.0, 'EMA_3': 298.3747376538404, 'EMA_5': 299.54361435190253, 'EMA_8': 300.6852280424868, 'EMA_10': 301.1934232718136, 'EMA_12': 301.5766573636628, 'EMA_25': 302.91704893220606, 'EMA_30': 303.2626163036245, 'EMA_35': 303.5653981617635, 'EMA_40': 303.8247862937632, 'EMA_45': 304.0393463607204, 'EMA_50': 304.2092586649765, 'EMA_60': 304.4221988799819}"
MAR,2025-09-05,compression_breakout,guppy_compression,264.70001220703125,1378600.0,bearish,0.0039402090208549186,0.006498966740027768,1.6493964420744534,False,,weak,"{'Open': 270.69000244140625, 'High': 271.6700134277344, 'Low': 262.0, 'Close': 264.70001220703125, 'Volume': 1378600.0, 'EMA_3': 266.02207275464207, 'EMA_5': 266.43463962944224, 'EMA_8': 266.7197328836321, 'EMA_10': 266.77032237640594, 'EMA_12': 266.78085933019537, 'EMA_25': 266.98766927238034, 'EMA_30': 267.06543665471946, 'EMA_35': 267.0729858277877, 'EMA_40': 267.0072128171208, 'EMA_45': 266.8810066821139, 'EMA_50': 266.71206757348637, 'EMA_60': 266.3088908025617}"
HON,2025-09-05,compression_breakout,guppy_compression,214.25,4104600.0,bearish,0.007059632571660476,0.024672219685484838,3.494830564486695,True,,moderate,"{'Open': 214.97999572753903, 'High': 216.2899932861328, 'Low': 213.3699951171875, 'Close': 214.25, 'Volume': 4104600.0, 'EMA_3': 215.04139513375844, 'EMA_5': 215.97582281663358, 'EMA_8': 216.88488387173388, 'EMA_10': 217.25422179373317, 'EMA_12': 217.54446039693437, 'EMA_25': 219.2338484227631, 'EMA_30': 219.79289152673925, 'EMA_35': 220.23649940383729, 'EMA_40': 220.55949382147915, 'EMA_45': 220.7729399012193, 'EMA_50': 220.89418669700495, 'EMA_60': 220.93058143102596}"
GEHC,2025-09-05,compression_breakout,guppy_compression,75.7300033569336,3009500.0,bullish,0.0032480742200769706,0.011641525412031572,3.5841315879030926,False,,weak,"{'Open': 74.25, 'High': 75.75, 'Low': 74.20999908447266, 'Close': 75.7300033569336, 'Volume': 3009500.0, 'EMA_3': 74.53389632063488, 'EMA_5': 74.1153898330989, 'EMA_8': 73.91427770815966, 'EMA_10': 73.85310979698625, 'EMA_12': 73.81209758062627, 'EMA_25': 73.73350500534455, 'EMA_30': 73.72056569809047, 'EMA_35': 73.70269893764672, 'EMA_40': 73.68352875596644, 'EMA_45': 73.66858310616489, 'EMA_50': 73.66264226292184, 'EMA_60': 73.68893930871705}"
PYPL,2025-09-05,compression_breakout,guppy_compression,68.26000213623047,7782200.0,bearish,0.015342209245193656,0.026000092602828866,1.69467722590044,False,,weak,"{'Open': 68.87999725341797, 'High': 69.94000244140625, 'Low': 68.16999816894531, 'Close': 68.26000213623047, 'Volume': 7782200.0, 'EMA_3': 68.65500145742601, 'EMA_5': 68.9232615715674, 'EMA_8': 69.10015408600806, 'EMA_10': 69.15918292239544, 'EMA_12': 69.21102356669165, 'EMA_25': 69.72020688374376, 'EMA_30': 69.92895040960623, 'EMA_35': 70.10948287841319, 'EMA_40': 70.25941875662069, 'EMA_45': 70.38322209764121, 'EMA_50': 70.48754922883376, 'EMA_60': 70.66213842331979}"
ABNB,2025-09-05,compression_breakout,guppy_compression,123.80999755859376,4326500.0,bearish,0.014572880617333316,0.03493961584940982,2.397577854844419,False,,moderate,"{'Open': 125.37000274658205, 'High': 127.38500213623048, 'Low': 122.81999969482422, 'Close': 123.80999755859376, 'Volume': 4326500.0, 'EMA_3': 124.96203533414345, 'EMA_5': 125.80140374187214, 'EMA_8': 126.40522567029458, 'EMA_10': 126.59859398527134, 'EMA_12': 126.74745188657296, 'EMA_25': 127.90468922012705, 'EMA_30': 128.35560929473766, 'EMA_35': 128.74412244785873, 'EMA_40': 129.06393419168722, 'EMA_45': 129.3209312054621, 'EMA_50': 129.52532962879656, 'EMA_60': 129.81773790979165}"
SBUX,2025-09-05,compression_breakout,guppy_compression,85.43000030517578,9040200.0,bearish,0.017805915077822972,0.03704577888375165,2.0805321558503707,False,,moderate,"{'Open': 86.86000061035156, 'High': 87.3499984741211, 'Low': 85.05999755859375, 'Close': 85.43000030517578, 'Volume': 9040200.0, 'EMA_3': 86.48083215442071, 'EMA_5': 86.97641105387171, 'EMA_8': 87.43976759720891, 'EMA_10': 87.7004237918435, 'EMA_12': 87.94007803714501, 'EMA_25': 89.07296930316987, 'EMA_30': 89.33239323207462, 'EMA_35': 89.5185167329628, 'EMA_40': 89.65234672532625, 'EMA_45': 89.75214719311249, 'EMA_50': 89.83170508147992, 'EMA_60': 89.96417277473734}"
