ticker,signal_date,signal_type,screen_type,price,volume,crossover_direction,crossover_strength,confirmation_days,volume_confirmation,rs_score,strength,raw_data
TXN,2025-09-05,bearish_crossover,guppy_crossover,187.93,9490900,bearish,0.02098135712913794,3,True,,moderate,"{'Open': 187.0800018310547, 'High': 189.27999877929688, 'Low': 185.2899932861328, 'Close': 187.92999267578125, 'Volume': 9490900.0, 'EMA_3': 190.46749429010202, 'EMA_5': 193.2122487937355, 'EMA_8': 195.4671081354563, 'EMA_10': 196.14406832062758, 'EMA_12': 196.47436414110635, 'EMA_25': 196.74245744040024, 'EMA_30': 196.71388997595025, 'EMA_35': 196.61351581504832, 'EMA_40': 196.43167235047267, 'EMA_45': 196.17670590141157, 'EMA_50': 195.86515150084315, 'EMA_60': 195.14252251714353}"
EXC,2025-09-05,bearish_crossover,guppy_crossover,43.43,4422600,bearish,0.00964487501169686,3,False,,weak,"{'Open': 43.630001068115234, 'High': 43.68000030517578, 'Low': 43.15999984741211, 'Close': 43.43000030517578, 'Volume': 4422600.0, 'EMA_3': 43.42683213114577, 'EMA_5': 43.52486360197511, 'EMA_8': 43.696286233201185, 'EMA_10': 43.79137182638412, 'EMA_12': 43.8660688230165, 'EMA_25': 44.009105795254676, 'EMA_30': 43.99063831056498, 'EMA_35': 43.96167601979238, 'EMA_40': 43.929075607833084, 'EMA_45': 43.89536920875315, 'EMA_50': 43.8610087662525, 'EMA_60': 43.78857283340732}"
