Long Name,Symbol
DJ Composite Internet,
DJ Internet Commerce Index,^DJCOM
DJ Internet Composite Index,^DJNET
DJ Internet Service Index,^DJSVC
DJ US Basic Materials Index,^DJUSBM
DJ US Biotechnology Index,^DJUSBT
DJ US Broad Market Index,
DJ US Consumer Cyclical Index,^DJUSCY
DJ US Consumer Non-cyclical Index,^DJUSNC
DJ US Energy Index,^DJUSEN
DJ US Financial Index,^DJUSFN
DJ US Healthcare Index,^DJUSHC
DJ US Industrial Index,^DJUSIN
DJ US Large-cap Index,^DJUSL
DJ US Mid-cap Index,^DJUSM
DJ US Pharmaceuticals Index,^DJUSPR
DJ US Precious Metals Index,^DJUSPM
DJ US Real Estate Index,^DJUSRE
DJ US Semiconductors Index,^DJUSSC
DJ US Small-cap Index,^DJUSS
DJ US Technology Index,^DJUSTC
DJ US Telecommunications Index,^DJUSTL
DJ US Utilities Index,^DJUSUT
DJ US Wireless Communications Index,^DJUSWC
DJ US Aerospace Index,^DJUSAE
DJ US Air Freight Index,^DJUSAF
DJ US Adv. Industrial equip Index,^DJUSAI
DJ US Aluminum Index,^DJUSAL
DJ US Adv. Medical devices Index,^DJUSAM
DJ US Auto Manufacturers & Parts Makers Index,^DJUSAP
DJ US Airlines Index,^DJUSAR
DJ US Auto Parts Index,^DJUSAT
DJ US Automobiles Index,^DJUSAU
DJ US Advertising Index,^DJUSAV
DJ US Broadcasting Index,^DJUSBC
DJ US Building Materials Index,^DJUSBD
DJ US Banks Index,^DJUSBK
DJ US Casinos Index,^DJUSCA
DJ US Chemicals Commodity Index,^DJUSCC
DJ US Consumer Electronics Index,^DJUSCE
DJ US Clothing & Fabrics Index,^DJUSCF
DJ US Chemicals Index,^DJUSCH
DJ US Coal Index,^DJUSCL
DJ US Cosmetics Index,^DJUSCM
DJ US Construction & Materials Index,^DJUSCN
DJ US Containers & Packaging Index,^DJUSCP
DJ US Computers Index,^DJUSCR
DJ US Consumer Services Index,^DJUSCS
DJ US Communications Technology Index,^DJUSCT
DJ US Chemicals Specialty Index,^DJUSCX
DJ US Distillers & Brewers Index,^DJUSDB
DJ US Diversified Financial Index,^DJUSDF
DJ US Electric Components & Equipment Index,^DJUSEC
DJ US Entertainment & Leisure Index,^DJUSEL
DJ US Entertainment Index,^DJUSET
DJ US Electric Utilities Index,^DJUSEU
