description,ticker
DJ US Basic Materials Index,^DJUSBM
DJ US Biotechnology Index,^DJUSBT
DJ US Consumer Cyclical Index,^DJUSCY
DJ US Consumer Non-cyclical Index,^DJUSNC
DJ US Energy Index,^DJUSEN
DJ US Healthcare Index,^DJUSHC
DJ US Industrial Index,^DJUSIN
DJ US Large-cap Index,^DJUSL
DJ US Mid-cap Index,^DJUSM
DJ US Pharmaceuticals Index,^DJUSPR
DJ US Precious Metals Index,^DJUSPM
DJ US Real Estate Index,^DJUSRE
DJ US Semiconductors Index,^DJUSSC
DJ US Small-cap Index,^DJUSS
DJ US Technology Index,^DJUSTC
DJ US Telecommunications Index,^DJUSTL
DJ US Utilities Index,^DJUSUT
DJ US Wireless Communications Index,^DJUSWC
DJ US Aerospace Index,^DJUSAE
DJ US Air Freight Index,^DJUSAF
DJ US Adv. Industrial equip Index,^DJUSAI
DJ US Aluminum Index,^DJUSAL
DJ US Adv. Medical devices Index,^DJUSAM
DJ US Auto Manufacturers & Parts Makers Index,^DJUSAP
DJ US Airlines Index,^DJUSAR
DJ US Auto Parts Index,^DJUSAT
DJ US Automobiles Index,^DJUSAU
DJ US Advertising Index,^DJUSAV
DJ US Broadcasting Index,^DJUSBC
DJ US Building Materials Index,^DJUSBD
DJ US Banks Index,^DJUSBK
DJ US Casinos Index,^DJUSCA
DJ US Chemicals Commodity Index,^DJUSCC
DJ US Clothing & Fabrics Index,^DJUSCF
DJ US Chemicals Index,^DJUSCH
DJ US Cosmetics Index,^DJUSCM
DJ US Construction & Materials Index,^DJUSCN
DJ US Containers & Packaging Index,^DJUSCP
DJ US Computers Index,^DJUSCR
DJ US Consumer Services Index,^DJUSCS
DJ US Communications Technology Index,^DJUSCT
DJ US Chemicals Specialty Index,^DJUSCX
DJ US Distillers & Brewers Index,^DJUSDB
DJ US Electric Utilities Index,^DJUSEU
DJ US Food & Beverage Index,^DJUSFB
DJ US Fixed Line Communications,^DJUSFC
DJ US Food Retailers & Wholesalers Index,^DJUSFD
DJ US Factory Equipment Index,^DJUSFE
DJ US Furnishings & Appliances Index,^DJUSFH
DJ US Food Products Index,^DJUSFP
DJ US Footwear Index,^DJUSFT
DJ US Large-cap Growth Index,^DJUSGL
DJ US Mid-cap Growth Index,^DJUSGM
DJ US Small-cap Growth Index,^DJUSGS
DJ US Gas Utilities Index,^DJUSGU
DJ US Home Construction Index,^DJUSHB
DJ US Household Durable Index,^DJUSHD
DJ US Household Non-Durable Index,^DJUSHN
DJ US Healthcare Providers Index,^DJUSHP
DJ US Heavy Machinery Index,^DJUSHR
DJ US Heavy Construction Index,^DJUSHV
DJ US Industrial Diversified Index,^DJUSID
DJ US Insurance Full line,^DJUSIF
DJ US Insurance Life Index,^DJUSIL
DJ US Insurance Property & Casualty Index,^DJUSIP
DJ US Insurance Index,^DJUSIR
DJ US General Industrial Services Index,^DJUSIS
DJ US Industrial Transportation Index,^DJUSIT
DJ US Industrial Services Index,^DJUSIV
DJ US Lodging Index,^DJUSLG
DJ US Low Cap Index,^DJUSLW
DJ US Marine Transport Index,^DJUSMT
DJ US Non-Ferrous Index,^DJUSNF
DJ US Oil Companies Major Index,^DJUSOL
DJ US Oil Companies Secondary Index,^DJUSOS
DJ US Publishing Index,^DJUSPB
DJ US Pollution Control Index,^DJUSPC
DJ US Pipelines Index,^DJUSPL
DJ US Retail Apparel Index,^DJUSRA
DJ US Retail Broadline Index,^DJUSRB
DJ US Retail Drug-based Index,^DJUSRD
DJ US Recreational Products & services Index,^DJUSRP
DJ US Railroads Index,^DJUSRR
DJ US Retail Specialty Index,^DJUSRS
DJ US Retailers Index,^DJUSRT
DJ US Restaurants Index,^DJUSRU
DJ US Security Brokers Index,^DJUSSB
DJ US Soft Srinks Index,^DJUSSD
DJ US Steel Index,^DJUSST
DJ US Technology Software Index,^DJUSSW
DJ US Tobacco Index,^DJUSTB
DJ US Trucking Index,^DJUSTK
DJ US Top-cap Index,^DJUSTP
DJ US Toys Index,^DJUSTY
DJ US Mid-cap Value Index,^DJUSVM
DJ US Small-cap Value Index,^DJUSVS
DJ US Water Utilities Index,^DJUSWU
CRSP US Large Cap Index,CRSPLC1
CRSP US Mega Cap Index,CRSPME1
CRSP US Core Cap Index,CRSPXM1
CRSP US Mid Cap Index,CRSPMI1
CRSP US Small/Mid Cap Index,CRSPSMT
CRSP US Small Cap Index,CRSPSC1
CRSP US Small/Micro Cap Index,CRSPMS1
CRSP US Micro Cap Index,CRSPMC1
