ticker,timeframe,date,current_price,daily_sa_code,daily_sa_name,daily_sa_color_code,daily_atr_ratio_sma_50,daily_ma_alignment,daily_price_vs_ema_fast,daily_price_vs_sma_medium,daily_price_vs_sma_slow,daily_ema10,daily_ema10slope,daily_ema20,daily_ema20slope,daily_sma10,daily_sma10slope,daily_price2_sma10pct,daily_sma20,daily_sma20slope,daily_price2_sma20pct,daily_sma50,daily_sma50slope,daily_price2_sma50pct,daily_sma200,daily_sma200slope,daily_price2_sma200pct,daily_sma250,daily_sma250slope,daily_price2_sma250pct,daily_sma350,daily_sma350slope,daily_price2_sma350pct,daily_rsi_14,daily_price_position_52w,daily_macd,daily_macd_signal,daily_macd_histogram,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
BKNG,daily,2025-09-05,5505.7998,LP,Launch Pad,purple,1.9432,Mixed,-1.2687,-1.0048,-1.9368,5576.5495,-10.6232,5578.3666,-3.9477,5614.8373,-3.4068,-1.942,5561.6827,4.619,-1.0048,5614.5432,3.4371,-1.9368,5124.9926,2.8958,7.4304,4962.3797,6.963,10.9508,4605.6488,5.7093,19.5445,53.5832,0.8527,2.0318,10.9597,-8.9279,184920440663.0,USD,Consumer services,Other consumer services,NASDAQ,Buy,2025-10-29,2025-07-29,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
MELI,daily,2025-09-05,2417.49,2A,Bullish Trend,green_light,2.8101,Mixed,0.4637,1.5602,0.5187,2406.333,1.3475,2395.9916,1.9488,2419.069,5.7682,-0.0653,2380.3515,2.2927,1.5602,2405.015,-1.0713,0.5187,2172.2136,2.4434,11.2915,2145.7177,1.571,12.6658,2017.2043,2.6559,19.8436,53.2444,0.793,9.0641,3.9427,5.1213,121954060979.0,USD,Retail trade,Internet retail,NASDAQ,Strong buy,2025-10-29,2025-08-04,"NASDAQ 100, NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
REGN,daily,2025-09-05,573.38,3A,Bullish Fade,orange_light,3.139,Bullish,-0.2589,-0.1275,2.3245,574.8684,-1.0792,572.9828,-0.1106,577.908,-1.0278,-0.7835,574.1123,0.5203,-0.1275,560.3547,1.1565,2.3245,624.8968,-1.1816,-8.244,697.6107,-2.3795,-17.808,794.1352,-1.0062,-27.7982,47.2245,0.1316,4.0212,6.3077,-2.2865,62283522712.0,USD,Health technology,Pharmaceuticals: major,NASDAQ,Buy,2025-10-30,2025-08-01,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Russell 3000, Russell 1000, NASDAQ Biotechnology, S&P 500 ESG",True,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
CHTR,daily,2025-09-05,261.5,4A,Bearish Trend,red_light,2.0768,Bearish,-1.1161,-1.4984,-18.3851,264.4514,-0.8598,271.9793,-1.271,266.27,-0.4798,-1.7914,265.478,-0.0101,-1.4984,320.4072,-2.586,-18.3851,358.4241,-0.67,-27.0417,355.008,-0.3165,-26.3397,340.4508,-0.0127,-23.1901,42.4023,0.0289,-13.4279,-16.7363,3.3084,40652422458.0,USD,Consumer services,Cable/Satellite TV,NASDAQ,Neutral,2025-10-24,2025-07-25,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Russell 3000, Russell 1000, NASDAQ Telecommunications",True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
KLAC,daily,2025-09-05,905.09,2A,Bullish Trend,green_light,2.3354,Bearish,3.0337,1.6952,0.3323,878.4406,-2.0976,884.4917,-1.8657,876.145,-0.8542,3.3037,890.0029,-1.3564,1.6952,902.0921,-0.0393,0.3323,758.0751,1.0645,19.3932,749.6365,0.438,20.7372,753.1533,0.5318,20.1734,59.8199,0.8729,-6.8815,-6.4521,-0.4294,117194898361.0,USD,Electronic technology,Semiconductors,NASDAQ,Buy,2025-10-22,2025-07-31,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
META,daily,2025-09-05,752.45,??,Undefined,gray,2.1234,Mixed,0.6149,-0.6727,1.8868,747.8516,-1.2952,749.0274,-0.7525,747.264,-1.5788,0.694,757.546,-1.117,-0.6727,738.5154,0.8577,1.8868,650.2289,0.8046,15.7208,633.2988,0.9119,18.8144,592.466,0.647,27.0031,34.81,0.8772,1.2509,4.2413,-2.9905,1894270786280.0,USD,Technology services,Internet software/Services,NASDAQ,Strong buy,2025-10-22,2025-07-30,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",True,True,False,True,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
ASML,daily,2025-09-05,781.7,LP,Launch Pad,purple,2.2404,Mixed,3.8137,4.4995,4.1891,752.9835,-0.1233,747.7182,0.3335,754.643,0.4442,3.5854,748.042,2.5753,4.4995,750.2702,-0.7443,4.1891,723.203,0.3808,8.0886,729.2622,-0.3783,7.1905,788.1141,-0.6321,-0.8139,61.9993,0.6906,5.1525,2.9127,2.2398,293673549180.826,USD,Electronic technology,Semiconductors,NASDAQ,Buy,2025-10-15,2025-07-16,"NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, NASDAQ-100 Technology Sector, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
NFLX,daily,2025-09-05,1243.8199,LP,Launch Pad,purple,2.2091,Mixed,1.2066,1.6937,1.2947,1228.9911,1.8657,1221.9449,1.3356,1225.36,0.6316,1.5065,1223.1045,3.1353,1.6937,1227.9226,-0.447,1.2947,1062.4616,2.0621,17.0696,996.49,2.1739,24.8201,894.816,1.7332,39.0029,51.4789,0.8585,6.8232,3.1767,3.6465,520997910120.0,USD,Technology services,Internet software/Services,NASDAQ,Buy,2025-10-15,2025-07-17,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",True,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
COST,daily,2025-09-05,963.48,??,Undefined,gray,1.4416,Mixed,0.9486,-0.152,0.1178,954.426,-0.6322,957.622,-0.8052,948.724,-2.9038,1.5553,964.947,-0.4623,-0.152,962.346,-0.7599,0.1178,973.5831,0.1023,-1.0377,957.4014,0.2723,0.6349,917.3377,0.6651,5.03,46.4124,0.4606,-3.958,-3.4418,-0.5162,417462727620.0,USD,Retail trade,Specialty stores,NASDAQ,Buy,2025-09-25,2025-05-29,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",True,True,False,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
ADBE,daily,2025-09-05,348.97,4A,Bearish Trend,red_light,2.341,Bearish,-0.543,-0.6829,-3.3539,350.8751,-0.9054,352.7776,-0.5541,353.463,-0.7174,-1.2711,351.3695,0.3483,-0.6829,361.0804,-0.6434,-3.3539,408.8918,-0.8438,-14.6547,429.3116,-0.8913,-18.7141,454.0551,-0.3876,-23.1437,45.1976,0.0606,-2.987,-2.9369,-0.0501,150552827886.0,USD,Technology services,Packaged software,NASDAQ,Buy,2025-09-10,2025-06-12,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",True,True,False,True,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,all_tickers,ticker_universe_all,simple_universe_generator,2025-09-20T22:11:33.396501
