Symbol,Signal Date,Current Price,Signal,SMA,Volume,Volume Highest,Price Change %,Volume Change %,Days Since Signal,Signal Day Open-Close $,Signal Day Open-Close %,Performance Since Signal %
GDX,2025-09-02,66.34,Buy,55.16,41939600,37415300,20.26,-15.27,3,0.41,0.64,2.38
GLD,2025-09-02,331.05,Buy,308.95,21247500,19886800,7.15,-19.29,3,4.77,1.49,1.68
MDY,2025-08-22,602.89,Buy,574.31,1520500,1426200,4.98,-64.07,14,13.47,2.31,1.23
DIA,2025-07-23,454.99,Buy,430.70,5486500,4958200,5.64,17.54,44,2.96,0.66,1.12
IWN,2025-07-10,176.00,Buy,153.56,3297900,2038500,14.61,-68.36,57,1.76,1.07,5.59
^DJUSST,2025-06-02,597.16,Buy,496.43,150266600,107052100,20.29,-84.30,88,20.97,4.09,11.81
ARKK,2025-06-06,75.37,Buy,51.37,39219500,26371700,46.73,-44.30,91,2.94,5.05,23.29
