ticker,timeframe,signal_date,signal_type,current_price,sma,price_breakout,volume_breakout,trend_aligned,pvb_score,screen_type,signal_price,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AMD,monthly,2025-09-01,Close Buy,151.1400,161.0650,False,False,False,0.0000,pvb,151.1400,257239635.0000,439716300.0000,4,-6.1621,-82.2031,-41.4987,0.0000,7.2800,-4.5954,0.0000
ASML,monthly,2025-09-01,Buy,781.7000,762.1950,False,False,False,0.0000,pvb,781.7000,8480047.0000,7865900.0000,4,2.5591,-76.3039,7.8077,11.6695,64.4900,8.9918,0.0000
BRK-B,monthly,2025-09-01,Close Sell,499.7700,494.4025,False,False,False,0.0000,pvb,499.7700,19596484.0000,31298400.0000,4,1.0857,-86.5265,-37.3882,0.0000,4.4700,-0.8865,0.0000
FXG,monthly,2025-09-01,Close Sell,64.8775,64.8363,False,False,False,0.0000,pvb,64.8775,61961.0000,68200.0000,0,0.0635,-9.1481,-9.1481,0.0000,0.3675,0.5697,0.0000
GOOG,monthly,2025-09-01,Buy,235.1700,216.5175,False,False,False,0.0000,pvb,235.1700,185487867.0000,96820400.0000,4,8.6148,-73.0142,91.5793,104.3781,26.1800,12.5269,0.0000
GOOGL,monthly,2025-09-01,Buy,235.0490,215.9700,False,False,False,0.0000,pvb,235.0000,295548081.0000,150196200.0000,4,8.8341,-68.9813,96.7747,109.6060,26.5600,12.7423,0.0208
IBB,monthly,2025-09-01,Buy,143.1200,139.6300,False,False,False,0.0000,pvb,143.1200,11786921.0000,9107100.0000,0,2.4995,29.4256,29.4256,37.7199,3.9200,2.8161,0.0000
IHI,monthly,2025-09-01,Close Sell,62.4400,62.2700,False,False,False,0.0000,pvb,62.4400,3570505.0000,5800200.0000,0,0.2730,-38.4417,-38.4417,0.0000,0.7300,1.1830,0.0000
IWC,monthly,2025-09-01,Buy,143.4200,139.7425,False,False,False,0.0000,pvb,143.4200,357303.0000,272800.0000,0,2.6316,30.9762,30.9762,33.8032,3.1900,2.2748,0.0000
KO,monthly,2025-09-05,Close Buy,67.9600,68.2000,False,False,False,0.0000,pvb,67.9600,16753915.0000,408239600.0000,0,-0.3519,-95.8961,-95.8961,0.0000,0.0500,-0.0735,0.0000
LLY,monthly,2025-09-01,Close Buy,727.2100,744.0149,False,False,False,0.0000,pvb,727.2100,15774550.0000,142293861.0000,4,-2.2587,-97.2225,-88.9141,0.0000,0.7800,-0.1071,0.0000
LULU,monthly,2025-09-01,Sell,167.8000,194.5025,False,False,False,0.0000,pvb,167.8000,97385940.0000,19073700.0000,4,-13.7286,92.8776,410.5771,412.2723,32.0100,-16.0202,0.0000
MAGS,monthly,2025-09-01,Buy,61.2100,60.0400,False,False,False,0.0000,pvb,61.2100,14266294.0000,11766600.0000,0,1.9487,21.2440,21.2440,24.0129,2.5500,4.3471,0.0000
MSFT,monthly,2025-09-01,Sell,495.0000,503.1725,False,False,False,0.0000,pvb,495.0000,113755644.0000,103963000.0000,4,-1.6242,-69.2248,9.4194,25.0961,5.4700,-1.0930,0.0000
NVDA,monthly,2025-09-01,Sell,167.0200,175.6525,False,False,False,0.0000,pvb,167.0200,982481103.0000,749836800.0000,4,-4.9145,-70.0680,31.0260,50.0264,2.9800,-1.7529,0.0000
PXJ,monthly,2025-09-01,Buy,27.1980,26.1420,False,False,False,0.0000,pvb,27.1980,65882.0000,55400.0000,0,4.0395,18.9206,18.9206,23.1662,0.2680,0.9952,0.0000
TLT,monthly,2025-09-01,Buy,88.5600,87.1000,False,False,False,0.0000,pvb,88.5600,281067451.0000,228560300.0000,0,1.6762,22.9730,22.9730,24.8980,2.9300,3.4217,0.0000
XBI,monthly,2025-09-01,Buy,95.4700,91.3050,False,False,False,0.0000,pvb,95.4700,57765940.0000,57110200.0000,0,4.5616,1.1482,1.1482,16.1352,4.1800,4.5788,0.0000
XHS,monthly,2025-09-01,Close Sell,99.5190,97.8347,False,False,False,0.0000,pvb,99.5190,14092.0000,80000.0000,0,1.7215,-82.3850,-82.3850,0.0000,0.0210,-0.0211,0.0000
