ticker,timeframe,signal_date,signal_type,current_price,sma,price_breakout,volume_breakout,trend_aligned,pvb_score,screen_type,signal_price,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,daily,2025-08-08,Buy,239.6900,206.4337,False,False,False,0.0000,pvb,229.0900,113854000.0000,108483100.0000,28,16.1099,-49.4508,4.9509,15.8539,8.5103,3.8582,4.6270
AFRM,daily,2025-08-29,Buy,87.3500,71.0512,False,False,False,0.0000,pvb,88.4600,43192900.0000,19333200.0000,7,22.9395,-52.0829,123.4131,119.8415,3.5400,-3.8478,-1.2548
AMD,daily,2025-06-16,Buy,151.1400,104.5470,False,False,False,0.0000,pvb,126.3900,100968500.0000,97827400.0000,81,44.5666,-20.3042,3.2109,11.4072,7.7500,6.5324,19.5822
ANET,daily,2025-08-06,Buy,142.8500,103.3192,False,False,False,0.0000,pvb,138.7800,25997100.0000,18552800.0000,30,38.2609,-48.4439,40.1249,49.5203,4.9900,3.7297,2.9327
APP,daily,2025-08-07,Buy,490.2400,367.3438,False,False,False,0.0000,pvb,437.3400,20738700.0000,18537800.0000,29,33.4554,-56.0919,11.8725,18.0358,40.0900,10.0919,12.0959
ARKK,daily,2025-06-06,Buy,75.3700,51.3660,False,False,False,0.0000,pvb,61.1300,39219500.0000,26371700.0000,91,46.7313,-44.3032,48.7181,46.6998,2.9400,5.0524,23.2946
AVGO,daily,2025-09-05,Buy,334.8900,291.4376,False,False,False,0.0000,pvb,334.8900,78335000.0000,42134900.0000,0,14.9097,85.9148,85.9148,106.9688,20.8900,-5.8716,0.0000
BRK-B,daily,2025-08-25,Close Sell,499.7700,478.9362,False,False,False,0.0000,pvb,486.1800,3929900.0000,10874300.0000,11,4.3500,-61.2039,-63.8607,0.0000,2.8300,-0.5787,2.7953
C,daily,2025-07-15,Buy,95.4000,78.0594,False,False,False,0.0000,pvb,90.1273,39270900.0000,21922600.0000,52,22.2146,-22.3669,79.1343,65.3728,2.0565,2.3350,5.8503
DIA,daily,2025-07-23,Buy,454.9900,430.6981,False,False,False,0.0000,pvb,449.9434,5486500.0000,4958200.0000,44,5.6401,17.5406,10.6551,11.0646,2.9582,0.6618,1.1216
GDX,daily,2025-09-02,Buy,66.3400,55.1632,False,False,False,0.0000,pvb,64.8000,41939600.0000,37415300.0000,3,20.2613,-15.2697,12.0921,24.6229,0.4100,0.6368,2.3765
GLD,daily,2025-09-02,Buy,331.0500,308.9502,False,False,False,0.0000,pvb,325.5900,21247500.0000,19886800.0000,3,7.1532,-19.2912,6.8422,15.4188,4.7700,1.4868,1.6770
HPQ,daily,2025-08-28,Buy,29.3400,25.6310,False,False,False,0.0000,pvb,28.3500,20139900.0000,19507300.0000,8,14.4708,-55.5187,3.2429,13.1276,0.0300,-0.1057,3.4921
IBB,daily,2025-09-05,Buy,143.1200,134.0404,False,False,False,0.0000,pvb,143.1200,3304600.0000,3170400.0000,0,6.7738,4.2329,4.2329,12.6125,2.4700,1.7561,0.0000
ISRG,daily,2025-09-03,Sell,466.8600,497.4950,False,False,False,0.0000,pvb,441.1800,5051700.0000,4806200.0000,2,-6.1579,-45.4226,5.1080,66.6027,28.9300,-6.1539,5.8208
ITA,daily,2025-05-28,Buy,198.1300,157.2066,False,False,False,0.0000,pvb,175.3325,1285600.0000,1138200.0000,100,26.0316,-45.1942,12.9503,16.2409,0.3696,-0.2104,13.0024
ITB,daily,2025-07-01,Buy,116.7000,91.2481,False,False,False,0.0000,pvb,97.1300,7792500.0000,6046700.0000,66,27.8930,-54.1998,28.8719,25.0328,4.5500,4.9147,20.1483
IWN,daily,2025-07-10,Buy,176.0000,153.5625,False,False,False,0.0000,pvb,166.6800,3297900.0000,2038500.0000,57,14.6113,-68.3591,61.7807,50.3094,1.7600,1.0672,5.5916
