ticker,date,current_price,data_points,ema_10,ema_10_slope,sma_20,sma_20_slope,sma_50,sma_50_slope,macd,macd_signal,macd_histogram,rsi_14,price_position_52w,atr,atr_pct,atr_percentile_100,atrext_dollar,atrext_percent,weekly_stage_code,weekly_stage_color_code,weekly_stage_name,weekly_momentum_20,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_pct_change,weekly_abs_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_atr_ratio,timeframe
BLK,2025-08-25,1137.10,1340,1107.02,10.47,1041.29,12.30,1000.04,5.22,51.90,42.27,9.63,79.90,0.98,45.71,4.02,0.67,3.00,3.41,2B,lime,Breakout Confirmation,21.20,Bullish,2.72,9.20,13.71,0.00,0.00,1.08,5.08,4.27,weekly
MELI,2025-08-25,2472.91,87,2413.14,1.08,2411.66,20.22,2145.79,7.51,84.35,101.33,-16.98,47.92,0.91,151.91,6.14,,2.15,2.48,2B,lime,Breakout Confirmation,3.30,Bullish,2.48,2.54,15.24,1.74,1.74,4.08,-3.40,6.48,weekly
REGN,2025-08-25,580.70,87,566.57,3.43,554.87,-2.12,680.23,-11.82,-27.87,-43.62,15.75,49.03,0.13,43.79,7.54,,-2.27,-1.94,1B,yellow,Mean Reversion,-0.55,Mixed,2.49,4.66,-14.63,-1.34,1.34,4.06,11.63,5.92,weekly
GWW,2025-08-25,1013.45,1340,1008.75,-3.22,1032.35,0.99,1051.22,0.26,-10.16,-7.29,-2.87,40.61,0.78,47.45,4.68,0.76,-0.80,-0.77,1A,gray_light,Upward Pivot,-5.81,Bearish,0.47,-1.83,-3.59,0.00,0.00,6.92,-3.30,4.44,weekly
MTD,2025-08-25,1289.78,1340,1257.91,12.84,1195.33,10.23,1237.71,-2.28,22.94,4.06,18.88,64.91,0.43,80.62,6.25,0.43,0.65,0.67,??,gray,Undefined,17.32,Mixed,2.53,7.90,4.21,0.00,0.00,2.69,6.67,6.15,weekly
RNR,2025-08-25,245.43,1340,243.41,0.29,243.03,0.30,249.26,-0.25,-0.02,-0.69,0.67,46.05,0.76,10.38,4.23,0.00,-0.37,-0.36,1B,yellow,Mean Reversion,0.37,Mixed,0.83,0.99,-1.54,0.00,0.00,2.11,1.88,3.51,weekly
RNR/PF,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNR/PG,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPWR,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGS,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTR,2025-08-25,265.58,87,307.62,-13.93,356.75,-4.25,357.01,-1.54,-25.05,-9.75,-15.30,21.19,0.06,27.92,10.51,,-3.27,-2.44,4C,maroon,Bearish Extended,-30.85,Bearish,-13.67,-25.56,-25.61,-4.32,4.32,0.34,-33.77,7.57,weekly
DDS,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACC,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC,2025-08-25,872.00,87,873.17,2.15,825.29,10.86,745.39,2.15,46.54,47.34,-0.80,67.86,0.85,60.14,6.90,,2.11,2.46,1C,yellow_light,Pullback,25.90,Bullish,-0.13,5.66,16.99,0.42,0.42,-1.44,-1.79,7.72,weekly
TDG,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK.B,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META,2025-08-25,738.70,87,732.30,8.77,679.82,9.72,634.52,4.82,40.84,35.33,5.51,69.03,0.89,44.08,5.97,,2.36,2.75,2B,lime,Breakout Confirmation,32.04,Bullish,0.87,8.66,16.42,-2.13,2.13,-1.51,0.69,6.21,weekly
ABG,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOC,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,2025-08-25,742.62,87,740.09,-1.61,734.31,2.82,725.02,-2.46,3.14,2.69,0.45,51.87,0.29,47.32,6.37,,0.37,0.38,2B,lime,Breakout Confirmation,5.65,Bullish,0.34,1.13,2.43,-1.63,1.63,7.65,-6.70,5.92,weekly
UTHR,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICO,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCK,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLR,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EME,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELV,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX,2025-08-25,1208.25,87,1207.66,-0.07,1195.88,14.36,1003.64,10.39,62.85,76.97,-14.11,52.39,0.86,63.32,5.24,,3.23,3.89,2B,lime,Breakout Confirmation,8.26,Bullish,0.05,1.03,20.39,0.30,0.30,4.29,-8.68,6.05,weekly
LII,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNH,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVCO,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL/PH,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL/PI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL/PB,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL/PJ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAP,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASR,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTS,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOVNP,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOV,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPL,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUKK,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXST,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGX,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
