ticker,date,current_price,data_points,ema_10,ema_10_slope,sma_20,sma_20_slope,sma_50,sma_50_slope,macd,macd_signal,macd_histogram,rsi_14,price_position_52w,atr,atr_pct,atr_percentile_100,atrext_dollar,atrext_percent,weekly_stage_code,weekly_stage_color_code,weekly_stage_name,weekly_momentum_20,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_pct_change,weekly_abs_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_atr_ratio,timeframe
KBE,2025-08-18,58.20,86,56.56,0.21,54.17,0.29,54.62,0.13,1.23,0.83,0.40,59.20,0.87,2.65,4.56,,1.35,1.44,??,gray,Undefined,14.88,Mixed,2.89,7.45,6.55,0.62,0.62,0.78,9.72,4.40,weekly
CIBR,2025-08-18,71.90,86,72.16,-0.03,70.75,0.45,66.48,0.30,1.96,2.30,-0.33,51.59,0.84,2.92,4.07,,1.86,2.01,1C,yellow_light,Pullback,11.19,Bullish,-0.36,1.62,8.16,-0.11,0.11,-3.70,-0.25,3.79,weekly
QTUM,2025-08-18,91.98,86,91.19,0.48,86.24,0.88,78.37,0.66,4.59,4.47,0.12,63.62,0.93,4.26,4.63,,3.20,3.75,2B,lime,Breakout Confirmation,24.22,Bullish,0.86,6.66,17.37,-2.13,2.13,-1.94,5.01,4.79,weekly
SIL,2025-08-18,53.02,86,50.22,0.71,46.35,0.70,39.87,0.41,4.00,3.51,0.49,72.39,0.96,3.29,6.20,,4.00,5.32,2C,green_dark,Bullish Extended,27.43,Bullish,5.58,14.40,32.98,-1.83,1.83,5.93,11.64,8.27,weekly
OIH,2025-08-18,236.51,86,237.89,0.22,231.26,-0.40,257.25,-0.99,-4.51,-6.80,2.29,52.97,0.21,16.72,7.07,,-1.24,-1.14,??,gray,Undefined,10.14,Mixed,-0.58,2.27,-8.06,-0.06,0.06,-6.21,-2.62,6.22,weekly
BLOK,2025-08-18,57.67,86,56.55,0.54,51.18,1.00,45.89,0.51,4.37,3.96,0.41,67.73,0.90,3.86,6.69,,3.05,3.83,2C,green_dark,Bullish Extended,47.08,Bullish,1.99,12.68,25.66,-2.07,2.07,-5.23,10.65,8.39,weekly
PBW,2025-08-18,24.23,86,22.64,0.46,19.83,0.38,19.52,0.11,1.59,0.97,0.62,69.56,0.82,1.66,6.85,,2.84,3.52,2C,green_dark,Bullish Extended,52.15,Bullish,7.02,22.18,24.11,-2.49,2.49,-2.18,26.59,8.67,weekly
URA,2025-08-18,36.45,86,37.50,0.41,33.55,0.79,30.13,0.29,3.15,2.88,0.27,68.15,0.74,2.77,7.59,,2.28,2.76,1C,yellow_light,Pullback,58.95,Bullish,-2.80,8.66,20.96,-6.56,6.56,-12.86,-0.87,10.05,weekly
NUKZ,2025-08-18,56.70,83,56.74,0.68,51.66,0.99,46.27,0.54,4.28,3.92,0.36,72.59,0.87,3.39,5.97,,3.08,3.78,1C,yellow_light,Pullback,44.89,Bullish,-0.08,9.75,22.55,-3.70,3.70,-7.41,5.02,6.98,weekly
Mag7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^GSPC,2025-08-18,6395.78,86,6268.16,39.17,6000.33,41.30,5914.00,17.09,172.81,128.61,44.20,67.33,0.97,177.03,2.77,,2.72,2.94,2A,green_light,Bullish Trend,15.79,Bullish,2.04,6.59,8.15,-0.84,0.84,0.11,7.17,2.37,weekly
^DJI,2025-08-18,44938.31,86,44097.17,165.66,42782.13,163.77,42888.72,77.24,705.83,469.58,236.25,62.50,1.00,1225.09,2.73,,1.67,1.75,2A,green_light,Bullish Trend,10.15,Mixed,1.91,5.04,4.78,-0.02,0.02,0.08,6.47,2.43,weekly
^IXIC,2025-08-18,21172.86,86,20716.81,181.22,19505.34,193.59,19068.39,77.38,785.18,581.69,203.49,69.60,0.94,752.34,3.55,,2.80,3.11,2A,green_light,Bullish Trend,22.83,Bullish,2.20,8.55,11.04,-2.08,2.08,0.31,8.87,3.11,weekly
^NYA,2025-08-18,20865.55,86,20495.03,71.54,19945.20,82.63,19719.33,37.36,374.12,297.78,76.34,62.20,0.98,503.88,2.41,,2.27,2.41,2A,green_light,Bullish Trend,9.79,Bullish,1.81,4.61,5.81,0.30,0.30,-0.41,5.02,2.15,weekly
^XAX,2025-08-18,6153.36,86,5951.50,60.05,5548.55,58.69,5248.72,20.29,302.41,243.89,58.52,87.01,0.98,211.47,3.44,,4.28,5.02,2A,green_light,Bullish Trend,25.52,Bullish,3.39,10.90,17.24,-0.56,0.56,1.75,6.44,3.70,weekly
^BUK100P,2025-08-18,931.41,86,902.73,4.98,876.31,3.13,854.27,1.76,19.18,14.60,4.58,85.63,1.00,17.40,1.87,,4.43,4.83,2A,green_light,Bullish Trend,9.82,Bullish,3.18,6.29,9.03,1.65,1.65,2.24,6.58,1.65,weekly
^RUT,2025-08-18,2269.35,86,2213.91,11.22,2120.11,11.75,2184.81,1.81,35.86,14.35,21.50,62.64,0.73,88.99,3.92,,0.95,0.99,2A,green_light,Bullish Trend,14.99,Mixed,2.50,7.04,3.87,-0.75,0.75,0.37,7.59,3.67,weekly
^VIX,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^FTSE,2025-08-18,9288.10,86,9030.83,44.62,8785.56,30.39,8542.23,17.38,187.58,150.00,37.58,85.14,1.00,169.94,1.83,,4.39,4.77,2A,green_light,Bullish Trend,9.34,Bullish,2.85,5.72,8.73,1.63,1.63,1.84,5.85,1.60,weekly
^GDAXI,2025-08-18,24276.97,86,23989.22,49.65,23489.11,84.52,21737.24,114.22,709.70,772.58,-62.88,55.02,0.99,775.29,3.19,,3.28,3.66,2A,green_light,Bullish Trend,9.09,Bullish,1.20,3.35,11.68,-0.34,0.34,0.25,3.97,3.35,weekly
^FCHI,2025-08-18,7973.03,86,7798.16,11.78,7697.67,-3.63,7660.32,6.96,42.23,22.79,19.44,53.06,0.78,231.22,2.90,,1.35,1.41,2A,green_light,Bullish Trend,4.22,Bullish,2.24,3.58,4.08,0.63,0.63,1.77,5.05,2.77,weekly
^STOXX50E,2025-08-18,5472.32,86,5356.74,7.73,5284.49,2.80,5158.07,10.66,61.26,56.81,4.45,51.95,0.98,161.82,2.96,,1.94,2.06,2A,green_light,Bullish Trend,5.16,Bullish,2.16,3.55,6.09,0.44,0.44,2.25,4.56,2.84,weekly
^N100,2025-08-18,1622.76,86,1586.94,2.89,1560.61,1.74,1525.44,2.48,20.40,18.01,2.39,54.73,1.00,42.31,2.61,,2.30,2.45,2A,green_light,Bullish Trend,6.49,Bullish,2.26,3.98,6.38,0.62,0.62,1.98,4.09,2.43,weekly
^BFX,2025-08-18,4818.89,86,4634.58,31.34,4489.75,16.42,4372.98,11.59,111.15,81.46,29.69,76.27,1.00,116.25,2.41,,3.84,4.23,2A,green_light,Bullish Trend,9.82,Bullish,3.98,7.33,10.20,0.93,0.93,4.54,8.55,2.34,weekly
^HSI,2025-08-18,25165.94,86,24612.19,153.50,23673.55,70.34,22022.15,150.50,921.11,887.00,34.11,65.50,0.98,929.09,3.69,,3.38,3.87,2A,green_light,Bullish Trend,14.16,Bullish,2.25,6.30,14.28,-0.41,0.41,-0.88,6.95,3.85,weekly
^STI,2025-08-18,4219.54,86,4136.51,29.20,3977.20,16.30,3848.46,16.82,117.83,95.16,22.66,72.67,0.96,90.32,2.14,,4.11,4.50,2A,green_light,Bullish Trend,12.39,Bullish,2.01,6.09,9.64,-0.26,0.26,-0.97,8.65,2.03,weekly
