Metric,Value
Total Stocks Analyzed,64
Avg YTD Return (%),36.2%
Median YTD Return (%),21.9%
Best Performer,APP (+443.9%)
Worst Performer,UNH (-46.4%)
Stocks in Bullish Trend,30 (46.9%)
Stocks in Bearish Trend,8 (12.5%)
Oversold Stocks (RSI < 30),4
Overbought Stocks (RSI > 70),18
Above 52-week High Range,34
Near 52-week Low Range,4
