Long Name,Symbol
Financial Select Sector SPDR Fund,XLF
Energy Select Sector SPDR Fund,XLE
Technology Select Sector SPDR Fund,XLK
Health Care Select Sector SPDR Fund,XLV
Industrial Select Sector SPDR Fund,XLI
Materials Select Sector SPDR Fund,XLB
Real Estate Select Sector SPDR Fund,XLRE
Consumer Staples Select Sector SPDR Fund,XLP
Consumer Discretionary Select Sector SPDR Fund,XLY
Utilities Select Sector SPDR Fund,XLU
Communication Services Select Sector SPDR Fund,XLC
Vanguard Information Technology ETF,VGT
Vanguard Health Care ETF,VHT
Vanguard Materials ETF,VAW
Vanguard Consumer Discretionary ETF,VCR
Vanguard Consumer Staples ETF,VDC
Vanguard Real Estate ETF,VNQ
Vanguard Industrials ETF,VIS
Vanguard Utilities ETF,VPU
Vanguard Communication Services ETF,VOX
iShares Global Healthcare ETF,IXJ
iShares Global Tech ETF,IXN
iShares Global Energy ETF,IXC
iShares U.S. Basic Materials ETF,IYM
iShares U.S. Home Construction ETF,ITB
iShares Expanded Tech Software Sector ETF,IGV
iShares Semiconductor ETF,SOXX
iShares Biotechnology ETF,IBB
iShares U.S. Aerospace & Defense ETF,ITA
iShares U.S. Medical Devices ETF,IHI
Global X U.S. Infrastructure Development ETF,PAVE
iShares Global Timber & Forestry ETF,WOOD
iShares Silver Miners ETF,SLVP
iShares Gold Miners ETF,RING
iShares Mortgage Real Estate ETF,REM
iShares Residential Real Estate ETF,REZ
iShares U.S. Digital Infrastructure and Real Estate ETF,IDGT
iShares U.S. Regional Banks ETF,IAT
iShares U.S. Insurance ETF,IAK
iShares U.S. Financial Services ETF,IYG
SPDR S&P Retail ETF,XRT
SPDR S&P Homebuilders ETF,XHB
SPDR S&P Regional Banking ETF,KRE
SPDR S&P Metals & Mining ETF,XME
SPDR S&P Biotech ETF,XBI
SPDR S&P Oil & Gas Exploration & Production ETF,XOP
SPDR S&P Pharmaceuticals ETF,XPH
SPDR S&P Health Care Services ETF,XHS
SPDR S&P Software & Services ETF,XSW
SPDR S&P Semiconductor ETF,XSD
SPDR S&P Aerospace & Defense ETF,XAR
SPDR S&P Telecom ETF,XTL
SPDR S&P Transportation ETF,XTN
Invesco Dynamic Food & Beverage ETF,PBJ
Invesco Dynamic Leisure & Entertainment ETF,PEJ
Invesco Dynamic Software ETF,PSJ
Invesco Aerospace & Defense ETF,PPA
Invesco Dynamic Oil & Gas Services ETF,PXJ
Invesco Water Resources ETF,PHO
VanEck Uranium+Nuclear Energy ETF,NLR
Global X Copper Miners ETF,COPX
Global X Lithium & Battery Tech ETF,LIT
First Trust Global Wind Energy ETF,FAN
Invesco Solar ETF,TAN
First Trust NASDAQ Clean Edge Smart Grid Infrastructure ETF,GRID
First Trust Water ETF,FIW
First Trust Industrials/Producer Durables AlphaDEX ETF,FXR
First Trust Technology AlphaDEX ETF,FXL
First Trust Materials AlphaDEX ETF,FXE
First Trust Consumer Discretionary AlphaDEX ETF,FXD
First Trust Consumer Staples AlphaDEX ETF,FXG
First Trust Utilities AlphaDEX ETF,FXU
First Trust Industrials/Producer Durables AlphaDEX ETF,FXR
