ticker,timeframe,date,current_price,monthly_sa_code,monthly_sa_name,monthly_sa_color_code,monthly_atr_ratio_sma_50,monthly_ma_alignment,monthly_price_vs_ema_fast,monthly_price_vs_sma_medium,monthly_price_vs_sma_slow,monthly_ema10,monthly_ema10slope,monthly_sma12,monthly_sma12slope,monthly_price2_sma12pct,monthly_sma24,monthly_sma24slope,monthly_price2_sma24pct,monthly_sma10,monthly_sma10slope,monthly_price2_sma10pct,monthly_rsi_14,monthly_price_position_52w,monthly_macd,monthly_macd_signal,monthly_macd_histogram
TMUS,monthly,2025-09-05,252.7600,2A,Bullish Trend,green_light,3.9188,Bullish,1.3630,4.2010,4.9623,249.3611,1.0018,246.2458,1.4872,2.6454,243.1359,-0.1517,3.9583,249.9980,2.1624,1.1048,68.0955,0.8556,4.1830,3.1840,0.9990
CSCO,monthly,2025-09-05,66.9000,1C,Pullback,yellow_light,3.7423,Bullish,-0.7900,0.1125,8.1061,67.4327,0.0557,67.9475,0.0997,-1.5416,65.2784,0.4021,2.4841,67.9370,-0.0130,-1.5264,52.2491,0.8235,1.9682,2.3440,-0.3758
AMD,monthly,2025-09-05,151.1400,1C,Pullback,yellow_light,10.7670,Bullish,-3.7823,3.0628,16.9051,157.0813,0.1219,162.7042,2.5515,-7.1075,138.2817,2.5468,9.2987,164.9040,1.6406,-8.3467,62.0552,0.5375,10.9690,11.4002,-0.4312
AZN,monthly,2025-09-05,81.7000,2A,Bullish Trend,green_light,3.9694,Bullish,4.2468,10.0451,14.8929,78.3717,0.8435,76.6811,0.8134,6.5452,73.3376,0.3693,11.4026,78.1220,1.1226,4.5801,79.9122,0.8434,2.8254,1.8214,1.0040
PDD,monthly,2025-09-05,124.6800,2B,Breakout Confirmation,lime,6.9201,Bullish,4.1748,10.4281,12.1296,119.6835,1.4534,117.8033,1.8148,5.8374,111.5163,0.4639,11.8043,119.9730,1.9232,3.9234,69.1654,0.5096,3.6545,1.8197,1.8348
QCOM,monthly,2025-09-05,159.8400,??,Undefined,gray,4.5145,Mixed,1.5410,3.3936,2.8387,157.4143,0.7413,156.3583,0.3577,2.2267,152.4449,0.5679,4.8510,156.4040,0.2454,2.1969,58.2526,0.3945,1.4797,0.3978,1.0819
ISRG,monthly,2025-09-05,466.8600,4B,Bearish Confirmation,red,4.3317,Bearish,-2.6269,-7.5464,-10.6029,479.4548,-3.6208,482.2546,-5.1699,-3.1922,506.7748,-0.5612,-7.8762,475.6375,-5.4323,-1.8454,36.4035,0.5287,-15.2397,-11.0992,-4.1405
AMGN,monthly,2025-09-05,283.6400,LP,Launch Pad,purple,4.3114,Mixed,-1.7405,-1.9596,-1.2882,288.6641,-1.0157,292.1725,-0.3137,-2.9204,286.7380,-0.6029,-1.0804,291.6040,-0.4660,-2.7311,46.7682,0.3707,-0.3966,0.6233,-1.0198
LULU,monthly,2025-09-05,167.8000,4B,Bearish Confirmation,red,5.4224,Bearish,-14.9272,-26.6333,-42.6823,197.2428,-4.2968,200.9050,-4.4790,-16.4779,235.4329,-4.2136,-28.7270,194.4580,-4.6128,-13.7089,27.5761,0.0000,-32.0505,-29.7451,-2.3055
QQQ,monthly,2025-09-01,576.0600,2A,Bullish Trend,green_light,2.9491,Bullish,2.5237,6.8614,11.9063,561.8796,3.7677,560.8245,4.3406,2.7166,523.7020,3.2016,9.9977,565.6180,4.3263,1.8461,74.8831,0.9930,20.6488,17.7335,2.9153
SPY,monthly,2025-09-01,647.2400,2A,Bullish Trend,green_light,2.3083,Bullish,2.4384,6.2729,9.6822,631.8332,3.8854,629.4849,4.3484,2.8206,595.6565,2.7616,8.6599,634.6380,4.4663,1.9857,76.1030,1.0000,19.1945,15.6461,3.5484
IWM,monthly,2025-09-01,237.7700,??,Undefined,gray,4.0000,Mixed,5.5462,10.4495,9.8326,225.2759,1.9314,223.0269,1.8399,6.6104,210.6626,0.8828,12.8677,225.2210,1.9511,5.5719,75.8317,0.9632,5.9263,3.1262,2.8001
MAGS,monthly,2025-09-01,61.2100,2B,Breakout Confirmation,lime,4.0136,Bullish,5.0911,11.6380,16.9715,58.2447,0.6447,57.6983,0.6385,6.0863,52.9713,0.4286,15.5532,58.3940,0.6690,4.8224,79.3378,1.0000,2.7565,2.1598,0.5967
XLK,monthly,2025-09-01,262.8600,2A,Bullish Trend,green_light,3.5029,Bullish,1.9176,7.0744,12.6872,257.9143,1.7658,258.3364,2.4763,1.7510,237.0069,1.7809,10.9082,260.9540,2.3803,0.7304,78.5962,0.9635,10.9830,9.5543,1.4287
XLC,monthly,2025-09-01,114.6900,2A,Bullish Trend,green_light,3.0964,Bullish,5.1504,9.4518,15.3004,109.0723,0.8635,108.2525,0.7769,5.9467,102.4584,0.4852,11.9381,108.9020,0.7617,5.3149,75.9201,1.0000,3.9835,3.2744,0.7091
XLY,monthly,2025-09-01,235.1100,2A,Bullish Trend,green_light,3.4760,Bullish,4.2838,8.2132,10.0545,225.4521,1.7300,223.4483,1.3914,5.2190,212.4217,0.9842,10.6808,225.3020,1.6507,4.3533,72.4504,1.0000,6.3060,4.4339,1.8721
XLP,monthly,2025-09-01,80.8700,3A,Bullish Fade,orange_light,2.2764,Bullish,-0.6196,-0.3692,1.0237,81.3742,0.1086,81.2816,0.0501,-0.5064,80.9115,0.0609,-0.0513,81.4910,0.1019,-0.7620,45.1782,0.8324,0.4954,0.5563,-0.0609
XLE,monthly,2025-09-01,87.3600,2A,Bullish Trend,green_light,3.9440,Mixed,0.7463,2.5569,0.7777,86.7129,0.1594,86.8095,0.2819,0.6342,84.6597,-0.0875,3.1895,86.8840,0.2032,0.5479,60.6260,0.5916,0.4546,0.0468,0.4079
XLF,monthly,2025-09-01,53.0700,2A,Bullish Trend,green_light,2.7599,Bullish,1.1058,3.1457,6.9274,52.4896,0.1745,52.4101,0.1878,1.2592,50.6227,0.1330,4.8344,52.6970,0.2122,0.7078,58.8563,0.9466,1.1839,1.0953,0.0885
XLV,monthly,2025-09-01,137.9000,1B,Mean Reversion,yellow,2.9872,Mixed,1.7610,2.7061,-1.2631,135.5136,0.3240,134.5503,0.2631,2.4895,134.7631,-0.4221,2.3277,134.9340,0.2540,2.1981,58.9200,0.3291,-0.8822,-1.7544,0.8723
XLI,monthly,2025-09-01,150.9300,2A,Bullish Trend,green_light,2.6584,Bullish,0.8010,3.7017,8.8715,149.7307,0.4902,149.9602,0.7098,0.6467,141.9999,0.7558,6.2888,151.1240,0.7611,-0.1284,65.7697,0.9115,4.6843,4.4797,0.2046
XLB,monthly,2025-09-01,91.9600,2A,Bullish Trend,green_light,3.2369,Bullish,2.1347,4.4260,4.5126,90.0380,0.3025,89.8639,0.3448,2.3325,86.8076,0.1716,5.9354,90.4940,0.3828,1.6200,62.9970,0.7746,1.3285,0.8562,0.4723
XLRE,monthly,2025-09-01,42.1800,LP,Launch Pad,purple,2.5269,Bullish,0.9801,1.6829,1.8960,41.7706,0.0412,41.6997,0.0436,1.1518,41.1535,0.0109,2.4942,41.8190,0.0464,0.8632,56.6997,0.8247,0.2873,0.2197,0.0675
XLU,monthly,2025-09-01,83.4700,1C,Pullback,yellow_light,2.6546,Bullish,-0.6719,1.3829,5.2037,84.0346,0.2904,83.7594,0.3467,-0.3455,81.2737,0.3070,2.7024,84.4120,0.4385,-1.1160,59.3117,0.9052,1.9701,1.9217,0.0484
SMH,monthly,2025-09-01,293.2800,2B,Breakout Confirmation,lime,5.2615,Bullish,2.9530,10.2351,17.4209,284.8678,2.5167,286.1050,3.8063,2.5078,254.4917,2.5210,15.2415,289.4570,3.4710,1.3207,83.6117,0.9818,15.6274,13.3491,2.2783
