ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,var_95_1d,var_95_1w,downside_volatility,analysis_date,assets_analyzed,overlapping_periods,highest_correlation,highest_corr_pair,lowest_correlation,lowest_corr_pair,avg_correlation,diversification_ratio
NVDA,simple_trend,167.02000427246094,421.0,False,False,False,-0.6843997192382858,-0.09734992980957032,0.7034370269775394,-50.0,148.39394850496254,-0.11151990953798321,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,mean_reversion,167.02000427246094,,,,,,,,,,,,177.78049926757814,187.5560428867023,168.00495564845397,-0.05037834285073145,29.152462722344268,True,False,70.84753727765573,up,177.78049926757814,0.06442638438425341,,,,,,,,,,,,,,,,,,,
NVDA,volatility,167.02000427246094,,,,,,,,,,,,,,,,,,,,,,,0.03374000062140438,0.5356059052764044,0.2350440966745071,0.5352416845084571,1.1904761904761905,low,0.5445500136207836,-0.051435681941365975,-0.11501368128995268,0.370422358014849,,,,,,,,,
MSFT,simple_trend,495.0,421.0,False,False,False,-0.7373986816406273,-0.8438000488281261,0.7665600280761709,-50.0,470.7175055664348,-0.04905554431023271,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,mean_reversion,495.0,,,,,,,,,,,,511.1574981689453,528.92916346716,493.3858328707306,0.04541406509134358,25.82136474715874,True,False,74.17863525284126,up,511.1574981689453,0.032641410442313834,,,,,,,,,,,,,,,,,,,
MSFT,volatility,495.0,,,,,,,,,,,,,,,,,,,,,,,0.014438905811522637,0.22921052388704494,0.1468056296861557,0.2266642814378098,13.571428571428571,low,0.9351616970269462,-0.02238686342172798,-0.050058548413987304,0.16037422238077373,,,,,,,,,
AAPL,simple_trend,239.69000244140625,421.0,True,True,True,0.7170004272460915,1.1585401153564447,0.6204925384521488,100.0,254.76779600375482,0.06290539200121383,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,mean_reversion,239.69000244140625,,,,,,,,,,,,231.15299911499022,239.52579494064432,222.78020328933613,1.0098060136769849,64.19063128877508,False,False,0.0,neutral,231.15299911499022,-0.03561685193149833,,,,,,,,,,,,,,,,,,,
AAPL,volatility,239.69000244140625,,,,,,,,,,,,,,,,,,,,,,,0.018377649749992654,0.29173614552197347,0.23763089995414885,0.27810762976139075,47.38095238095238,normal,1.2468100911955713,-0.027233684614967196,-0.06089637007685684,0.20736317463716758,,,,,,,,,
GOOGL,simple_trend,235.0,421.0,True,True,True,2.283600158691405,1.1083501434326137,0.7445657806396483,100.0,277.78680553837887,0.18207151292927182,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
