ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,downside_volatility,analysis_date,assets_analyzed,overlapping_periods,highest_correlation,highest_corr_pair,lowest_correlation,lowest_corr_pair,avg_correlation,diversification_ratio
IBB,simple_trend,143.1199951171875,88.0,True,True,True,1.2663995361328149,0.26328254699706977,-0.22972943115234443,100.0,160.30707955533725,0.12008863208859731,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBB,mean_reversion,143.1199951171875,,,,,,,,,,,,129.46799850463867,143.67899272395024,115.2570042853271,0.9803322132802252,76.57724393485795,False,True,-23.422756065142053,down,129.46799850463867,-0.09538846477300733,,,,,,,,,,,,,,,,,
IBB,volatility,143.1199951171875,,,,,,,,,,,,,,,,,,,,,,,0.02842872559995185,0.4512920281678086,0.4898954902195787,0.47596946001351986,39.08045977011494,normal,0.8755122562225289,0.3793460729749671,,,,,,,,,
ITA,simple_trend,198.1300048828125,88.0,True,True,True,1.543340148925779,2.2650845336914074,0.9355064239501957,100.0,209.62512164919457,0.058018051194119125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,mean_reversion,198.1300048828125,,,,,,,,,,,,183.951904296875,211.44569986166192,156.45810873208808,0.757841820212272,80.77399393231008,False,False,0.0,neutral,183.951904296875,-0.07155958328635481,,,,,,,,,,,,,,,,,
ITA,volatility,198.1300048828125,,,,,,,,,,,,,,,,,,,,,,,0.028098742425524084,0.4460537076695795,0.3152379498747263,0.4836753741469534,17.24137931034483,low,0.2471365536285776,0.35434521398794816,,,,,,,,,
IHI,simple_trend,62.43999862670898,88.0,True,True,True,0.0748328399658206,0.07419612884521457,0.09693164825439453,100.0,67.06399417267669,0.07405502318492635,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHI,mean_reversion,62.43999862670898,,,,,,,,,,,,61.30116081237793,63.37179288753931,59.23052873721655,0.7749976270512208,52.22410553996909,False,False,0.0,neutral,61.30116081237793,-0.018238914788250904,,,,,,,,,,,,,,,,,
IHI,volatility,62.43999862670898,,,,,,,,,,,,,,,,,,,,,,,0.02040867511578046,0.3239776736680046,0.3522861824030849,0.3149312199902796,52.87356321839081,normal,0.8105329809587721,0.23256397002778095,,,,,,,,,
PAVE,simple_trend,46.63999938964844,88.0,True,True,True,0.41174369812011663,0.3864523124694827,0.11073167800903327,100.0,50.52612786177426,0.08332179508965289,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVE,mean_reversion,46.63999938964844,,,,,,,,,,,,43.54659805297852,48.97684045498415,38.116355650972885,0.7848308701216901,73.77107503005152,False,False,0.0,neutral,43.54659805297852,-0.06632507240890939,,,,,,,,,,,,,,,,,
PAVE,volatility,46.63999938964844,,,,,,,,,,,,,,,,,,,,,,,0.029273107953417043,0.4646961824801306,0.3961632352867956,0.5132616953997323,18.39080459770115,low,0.3110611286842322,0.3049339151758085,,,,,,,,,
WOOD,simple_trend,76.04000091552734,88.0,True,True,False,0.2657698059082037,-0.0042375946044913345,-0.10877696990966754,83.33333333333333,83.60783609051944,0.09952439615826926,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD,mean_reversion,76.04000091552734,,,,,,,,,,,,73.78948822021485,77.44743478920704,70.13154165122266,0.8076196785362751,55.54999884795962,False,False,0.0,neutral,73.78948822021485,-0.02959643172298987,,,,,,,,,,,,,,,,,
WOOD,volatility,76.04000091552734,,,,,,,,,,,,,,,,,,,,,,,0.024550666499688317,0.38972974847435937,0.4627411867195019,0.36979951855043275,72.41379310344827,normal,1.0103109084423825,0.2581839971514485,,,,,,,,,
SLVP,simple_trend,23.31999969482422,88.0,True,True,True,0.39043027877807646,0.2673235273361204,0.11244420528411866,100.0,35.78267560381921,0.5344200717018461,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLVP,mean_reversion,23.31999969482422,,,,,,,,,,,,17.909591579437254,22.74360489904448,13.075578259830028,1.0596186602798368,77.83602104840232,False,True,-22.163978951597684,down,17.909591579437254,-0.23200721210076958,,,,,,,,,,,,,,,,,
SLVP,volatility,23.31999969482422,,,,,,,,,,,,,,,,,,,,,,,0.06119029012816052,0.9713657419860202,1.0840579508086967,0.9530680555152162,58.620689655172406,normal,0.9808911819009721,0.4863556155244103,,,,,,,,,
RING,simple_trend,56.93999862670898,88.0,True,True,True,0.8918637084960934,0.593505229949951,0.31339118385314946,100.0,82.96740013422223,0.45710225035559654,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING,mean_reversion,56.93999862670898,,,,,,,,,,,,45.123179244995114,54.72785649154199,35.51850199844824,1.1151596289173749,78.78636496599935,False,True,-21.213635034000646,down,45.123179244995114,-0.2075310794997266,,,,,,,,,,,,,,,,,
RING,volatility,56.93999862670898,,,,,,,,,,,,,,,,,,,,,,,0.04901904462822864,0.7781532095536177,0.8327030478008385,0.7813683549676795,51.724137931034484,normal,0.9026763322663841,0.39602999456636995,,,,,,,,,
REM,simple_trend,23.57999992370605,88.0,True,True,True,0.18693935394287137,0.03796960830688469,0.011565294265747105,100.0,26.72414595311657,0.13333952669989457,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM,mean_reversion,23.57999992370605,,,,,,,,,,,,21.531966114044188,23.40984774179465,19.654084486293726,1.0453042884591264,74.39842448095473,False,True,-25.60157551904527,down,21.531966114044188,-0.0868546995881404,,,,,,,,,,,,,,,,,
REM,volatility,23.57999992370605,,,,,,,,,,,,,,,,,,,,,,,0.02752064079825,0.4368766288398456,0.418002213687069,0.4516290714428575,36.7816091954023,normal,0.40820041330844226,0.3181590347714415,,,,,,,,,
REZ,simple_trend,85.11000061035156,88.0,True,True,True,0.1373513793945335,0.005160140991210938,0.09112648773193399,100.0,90.78291670168075,0.06665393080304136,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REZ,mean_reversion,85.11000061035156,,,,,,,,,,,,82.77465286254883,85.16755971592522,80.38174600917245,0.9879729740644848,60.938410206021835,False,False,0.0,neutral,82.77465286254883,-0.027439169675187225,,,,,,,,,,,,,,,,,
REZ,volatility,85.11000061035156,,,,,,,,,,,,,,,,,,,,,,,0.020958804771327208,0.33271071121251455,0.25871596176052825,0.36063514887330267,10.344827586206897,low,0.370213404343195,0.2125487108427692,,,,,,,,,
IDGT,simple_trend,83.62000274658203,88.0,True,True,True,0.3013729858398449,0.4220156097412115,0.1976307144165041,100.0,86.27808359241864,0.03178761969061601,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDGT,mean_reversion,83.62000274658203,,,,,,,,,,,,81.05490303039551,86.85636652776525,75.25343953302577,0.7210735030350088,62.710735195071805,False,False,0.0,neutral,81.05490303039551,-0.030675671274016714,,,,,,,,,,,,,,,,,
IDGT,volatility,83.62000274658203,,,,,,,,,,,,,,,,,,,,,,,0.027509728684097193,0.43670340439788796,0.338633402222361,0.4570498686055153,1.1494252873563218,low,0.3208297934162821,0.2643368395437307,,,,,,,,,
IAT,simple_trend,53.790000915527344,88.0,True,True,True,0.5130823516845708,0.3101630783081049,0.1271811752319337,100.0,62.654617936611615,0.1648004623574073,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAT,mean_reversion,53.790000915527344,,,,,,,,,,,,49.12335567474365,55.73978217328535,42.50692917620195,0.8526560177017195,70.35409349671284,False,True,-29.645906503287165,down,49.12335567474365,-0.08675674217058049,,,,,,,,,,,,,,,,,
IAT,volatility,53.790000915527344,,,,,,,,,,,,,,,,,,,,,,,0.03689508083703898,0.5856912509785795,0.5439288756977414,0.6096774873701395,13.793103448275861,low,0.5217342427178514,0.40941820164245757,,,,,,,,,
IAK,simple_trend,132.19000244140625,88.0,True,True,True,-0.1815338134765625,-0.013740997314454263,0.3047573623657229,100.0,141.2739706404451,0.0687190258814419,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAK,mean_reversion,132.19000244140625,,,,,,,,,,,,132.03720054626464,137.54442786701875,126.52997322551053,0.5138728516404044,42.187150370555116,False,False,0.0,neutral,132.03720054626464,-0.0011559262600765452,,,,,,,,,,,,,,,,,
