Symbol,Signal Date,Current Price,Signal,SMA,Volume,Volume Highest,Price Change %,Volume Change %,Days Since Signal,Signal Day Open-Close $,Signal Day Open-Close %,Performance Since Signal %
AVGO,2025-09-01,334.89,Buy,294.93,147778200,122453300,13.55,20.68,0,45.55,15.74,0.00
UNH,2025-09-01,315.39,Close Sell,290.30,42435500,149453300,8.64,-71.61,0,7.08,2.30,0.00
AFRM,2025-08-25,87.35,Buy,72.34,88966200,37325000,20.75,24.53,7,9.53,12.07,-1.25
HPQ,2025-08-23,29.34,Buy,26.05,64768400,55382600,12.63,-24.58,9,0.89,3.22,2.80
VRSN,2025-08-23,280.09,Close Buy,278.74,4090100,10848900,0.48,-80.06,9,3.27,1.21,2.46
HD,2025-08-16,416.59,Buy,376.85,24459000,20803200,10.54,-22.70,16,16.22,4.09,0.92
