ticker,timeframe,signal_date,signal_type,current_price,signal_price,sma,volume,volume_highest,days_since_signal,score,screen_type,price_change_pct,volume_change_pct,volume_surge,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AFRM,weekly,2025-08-25,Buy,87.3500,88.4600,72.3370,88966200,37325000.0000,7,133.0185,pvb,20.7542,24.5273,138.3555,9.5300,12.0740,-1.2548
AVGO,weekly,2025-09-01,Buy,334.8900,334.8900,294.9310,147778200,122453300.0000,0,41.7353,pvb,13.5486,20.6813,20.6813,45.5500,15.7427,0.0000
HPQ,weekly,2025-08-23,Buy,29.3400,28.5400,26.0510,64768400,55382600.0000,9,23.5025,pvb,12.6252,-24.5817,16.9472,0.8900,3.2188,2.8031
HD,weekly,2025-08-16,Buy,416.5866,412.7900,376.8530,24459000,20803200.0000,16,20.6827,pvb,10.5435,-22.6970,17.5733,16.2200,4.0901,0.9197
UNH,weekly,2025-09-01,Close Sell,315.3900,315.3900,290.3030,42435500,149453300.0000,0,0.0000,pvb,8.6417,-71.6062,-71.6062,7.0800,2.2964,0.0000
VRSN,weekly,2025-08-23,Close Buy,280.0900,273.3700,278.7426,4090100,10848900.0000,9,0.0000,pvb,0.4834,-80.0634,-62.2994,3.2700,1.2107,2.4582
