time,open,high,low,close,RS Line,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Volume,Volume MA,Projected Vol.,10 Day Pocket Pivot,5 Day Pocket Pivot
2006-11-01,0.64,0.79,0.47,0.58,1.4142850922391395,NaN,NaN,NaN,58,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2006-12-01,0.59,0.73,0.45,0.54,1.2954170623219552,NaN,NaN,NaN,65,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2007-01-01,0.59,0.71,0.51,0.56,1.3266586758795744,NaN,NaN,NaN,88,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2007-02-01,0.57,0.87,0.54,0.73,1.7054177327845144,NaN,NaN,NaN,-7,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2007-03-01,0.8,0.98,0.61,0.67,1.6002047170213676,NaN,NaN,NaN,8,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2007-04-02,0.63,0.74,0.5,0.64,1.5134496009459062,NaN,NaN,NaN,47,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2007-05-01,0.73,0.73,0.45,0.51,1.155986696978487,NaN,NaN,NaN,101,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2007-06-01,0.5,0.76,0.48,0.65,1.4268727705112962,NaN,NaN,NaN,64,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2007-07-02,0.54,0.85,0.48,0.72,1.6092061063624572,NaN,NaN,NaN,-69,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2007-08-01,0.87,1.06,0.6,0.65,1.5007524376919747,NaN,NaN,NaN,5,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2007-09-03,0.67,0.84,0.53,0.78,1.7780310585553498,NaN,NaN,NaN,32,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2007-10-01,0.57,0.84,0.45,0.45,0.9903389552972,NaN,NaN,NaN,27,NaN,NaN,1,1,NaN,NaN,NaN,0,0
2007-11-01,0.68,0.99,0.54,0.68,1.4746543778801844,NaN,NaN,NaN,-22,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2007-12-03,0.62,0.87,0.42,0.67,1.5199103393332163,NaN,NaN,NaN,-79,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-01-01,0.78,1.05,0.59,0.7,1.6017870277043775,NaN,NaN,NaN,-67,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-02-01,0.56,0.96,0.56,0.84,2.047368611947336,NaN,NaN,NaN,-128,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-03-03,0.79,1.34,0.63,0.85,2.146351728128781,NaN,NaN,NaN,-73,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-04-01,0.81,0.94,0.59,0.66,1.6765706509412563,NaN,NaN,NaN,-36,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-05-01,0.58,0.79,0.56,0.59,1.4307262610151632,NaN,NaN,NaN,-5,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-06-02,0.76,0.92,0.64,0.77,1.8474985361116265,NaN,NaN,NaN,-244,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-07-01,0.8,0.94,0.65,0.73,1.9162499999999998,1.5703684971262457,1.5703684971262457,NaN,-25,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-08-01,0.86,0.88,0.59,0.71,1.882308384225725,1.5987266686807438,1.5987266686807438,NaN,-7,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-09-01,0.69,1.18,0.51,0.73,1.9120226374500129,1.627208120387041,1.627208120387041,NaN,-120,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-10-01,0.79,1.06,0.59,0.75,2.160567920710587,1.6756953749619088,1.6756953749619088,NaN,-48,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-11-03,0.75,1.16,0.57,0.72,2.4972387096774193,1.7503811326633187,1.7503811326633187,NaN,-23,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2008-12-01,0.89,0.92,0.48,0.61,2.2868874408640543,1.79915443340884,1.79915443340884,NaN,-6,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-01-01,0.66,1,0.62,0.87,3.2363133130362582,1.9298052406476962,1.9298052406476962,NaN,-66,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2009-02-02,0.75,0.95,0.59,0.69,2.8071874848646288,2.0095672628492354,2.0095672628492354,NaN,-173,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2009-03-02,0.86,0.9,0.52,0.66,3.0167734563114723,2.101131462254893,2.101131462254893,NaN,13,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-04-01,0.71,0.8,0.51,0.64,2.695175905849324,2.1551355025816594,2.1551355025816594,NaN,34,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-05-01,0.61,0.8,0.54,0.63,2.425270104604668,2.17969319367466,2.17969319367466,NaN,36,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-06-01,0.56,0.89,0.55,0.83,3.034140609700372,2.2573702314951793,2.2573702314951793,NaN,31,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-07-01,0.73,0.86,0.51,0.65,2.375668972718966,2.2681246625155236,2.2681246625155236,NaN,70,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-08-03,0.62,0.71,0.39,0.63,2.143638352169158,2.2568077252113086,2.2568077252113086,NaN,50,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-09-01,0.69,0.73,0.46,0.73,2.40324508632008,2.270120212584833,2.270120212584833,NaN,65,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-10-01,0.73,0.85,0.46,0.8,2.542853899421047,2.294914184115398,2.294914184115398,NaN,21,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-11-02,0.79,0.79,0.51,0.77,2.4968393827386866,2.313271020353879,2.313271020353879,NaN,36,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2009-12-01,0.56,0.67,0.49,0.59,1.809369951534733,2.267461832279411,2.267461832279411,NaN,129,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-01-01,0.48,0.75,0.46,0.73,2.1996233521657254,2.2612946977236215,2.2612946977236215,NaN,48,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2010-02-01,0.58,0.81,0.58,0.68,2.1276318362557856,2.249143528499273,2.249143528499273,NaN,105,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-03-01,0.58,0.66,0.46,0.51,1.5514853009081115,2.185720053263713,2.185720053263713,NaN,107,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-04-01,0.51,0.61,0.32,0.61,1.7526487263025574,2.1463499326308804,2.1463499326308804,NaN,173,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-05-03,0.53,0.91,0.5,0.58,1.7888581892951227,2.1138506832367208,2.1138506832367208,NaN,28,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2010-06-01,0.61,0.82,0.54,0.62,1.9122277195913382,2.0955213229053222,2.0955213229053222,NaN,-69,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2010-07-01,0.75,0.75,0.49,0.61,1.988532176848968,2.085795036900199,2.085795036900199,NaN,26,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2010-08-02,0.56,0.75,0.4,0.74,2.2570806100217866,2.101366452638525,2.101366452638525,NaN,-74,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2010-09-01,0.48,0.73,0.48,0.52,1.665062468432238,2.061702454074317,2.061702454074317,NaN,113,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-10-01,0.54,0.74,0.45,0.54,1.5899053627760253,2.018811809410836,2.018811809410836,NaN,104,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2010-11-01,0.63,0.7,0.41,0.57,1.6185791795547892,1.9824270248784681,1.9824270248784681,NaN,50,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2010-12-01,0.45,0.7,0.35,0.7,1.992291728431663,1.9833238161105768,1.9833238161105768,NaN,90,NaN,NaN,0,0,NaN,NaN,NaN,0,0
