signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-05,0,161.77000427246094,161.77000427246094,2.7633161902578314,156.64289978027344
2,2024-04-09,1,162.66000366210938,162.66000366210938,15.2439081122824,157.26690002441407
3,2024-04-11,2,165.4199981689453,165.4199981689453,16.61940618939348,157.73809997558592
4,2024-04-17,3,158.3699951171875,158.3699951171875,19.051655081526654,158.6988998413086
5,2024-04-22,4,156.61000061035156,156.61000061035156,5.080363833690793,159.2808999633789
6,2024-05-02,5,158.3300018310547,158.3300018310547,18.451502779616227,160.84759979248048
7,2024-10-24,6,132.75,132.75,9.672526464457473,124.63319946289063
8,2024-11-11,7,137.39999389648438,137.39999389648438,11.649908908516478,129.53899978637696
9,2024-11-20,8,135.25,135.25,8.36444841156611,132.01559951782227
10,2024-12-16,9,132.1999969482422,132.1999969482422,2.076810455196542,135.7841995239258
11,2024-12-20,10,134.2100067138672,134.2100067138672,16.383335367446293,135.63039993286134
12,2025-03-05,11,142.5800018310547,142.5800018310547,17.090589938324815,136.417501373291
13,2025-03-07,12,134.38999938964844,134.38999938964844,0.8018223373969907,136.52950119018556
14,2025-05-27,13,129.39999389648438,129.39999389648438,11.594205879902534,123.25580093383789
15,2025-06-23,14,130.52999877929688,130.52999877929688,2.7221472246486145,127.86519927978516
16,2025-06-26,15,133.72000122070312,133.72000122070312,19.729920460808763,128.94259902954101
17,2025-08-04,16,130.9600067138672,130.9600067138672,6.715541975630578,134.9497996520996
18,2025-08-06,17,130.5,130.5,18.559265193575964,135.0715997314453
