signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,467.8482666015625,467.8482666015625,0.0,,464.9823710123698
2,2024-04-22,1,500.3931274414063,500.3931274414063,4.834583574829318,496.9440002441406,498.76733656392537
3,2024-09-09,2,555.09619140625,555.09619140625,3.715616564836939,548.5181274414062,548.9454304223365
4,2024-11-04,3,592.6433715820312,592.6433715820312,15.843914338754626,577.3531290690104,581.2386038141354
5,2025-01-13,4,594.0316162109375,594.0316162109375,9.172577787269063,586.5032552083334,588.7766812017495
6,2025-04-07,5,532.3661499023438,532.3661499023438,0.3083408518666428,530.0596516927084,532.1460715106846
7,2025-05-26,6,587.6527709960938,587.6527709960938,17.602855245073993,585.8347778320312,581.8957749536662
8,2025-06-23,7,614.9099731445312,614.9099731445312,11.63967166004048,600.8928629557291,603.696465976108
9,2025-08-04,8,637.1799926757812,637.1799926757812,11.81903192768402,631.9999796549479,631.5730570779348
