signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-09,0,163.32566833496094,163.32566833496094,18.50467265112532,161.07512359619142
2,2024-05-31,1,165.51788330078125,165.51788330078125,0.6149250430487905,167.0807891845703
3,2024-06-04,2,166.4656219482422,166.4656219482422,13.560731889731153,167.09323425292968
4,2024-08-13,3,166.3116455078125,166.3116455078125,14.504495814826683,162.36090728759766
5,2024-08-30,4,166.8037109375,166.8037109375,16.984404903131853,164.03632110595703
6,2024-09-23,5,167.3252716064453,167.3252716064453,10.423383518142302,167.70979370117186
7,2024-10-01,6,166.61557006835938,166.61557006835938,14.559198738691427,168.14031799316408
8,2024-10-03,7,163.8448028564453,163.8448028564453,13.376611277034026,168.2600439453125
9,2025-03-17,8,149.6974334716797,149.6974334716797,15.327918714605737,146.29721588134765
10,2025-03-26,9,147.0267333984375,147.0267333984375,11.416080506264255,146.5762518310547
11,2025-08-04,10,139.55999755859375,139.55999755859375,17.465383346631285,134.43413467407225
12,2025-08-06,11,140.8000030517578,140.8000030517578,19.275800598976573,134.90625549316405
13,2025-08-27,12,147.63999938964844,147.63999938964844,13.522750326416595,140.2511993408203
14,2025-08-29,13,148.64999389648438,148.64999389648438,13.295429127284265,140.99659912109374
