signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-20,0,85.53679656982422,85.53679656982422,13.299848022268728,83.08154220581055
2,2024-03-27,1,86.35983276367188,86.35983276367188,6.586725407687086,83.37670974731445
3,2024-06-10,2,91.73755645751952,91.73755645751952,6.310635239487886,88.7903254699707
4,2024-06-18,3,90.91064453125,90.91064453125,17.795262624503856,89.3802098083496
5,2024-06-21,4,89.0914535522461,89.0914535522461,8.375584918368597,89.41294204711915
6,2024-06-26,5,87.60303497314453,87.60303497314453,12.143794437286113,89.58768600463867
7,2024-07-22,6,90.58961486816406,90.58961486816406,1.0842932859197463,90.75181533813476
8,2024-10-16,7,74.23479461669922,74.23479461669922,11.522739637847087,76.2780516052246
9,2025-03-05,8,59.18200302124024,59.18200302124024,18.659502870619267,56.1742830657959
10,2025-07-25,9,69.20999908447266,69.20999908447266,11.5384082430127,67.52960517883301
11,2025-08-05,10,67.12999725341797,67.12999725341797,17.63083816855288,68.74220001220704
12,2025-08-12,11,64.5,64.5,1.0280430140954837,69.36680000305176
