ticker,timeframe,date,current_price,weekly_sa_code,weekly_sa_name,weekly_sa_color_code,weekly_atr_ratio_sma_50,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_ema10,weekly_ema10slope,weekly_sma20,weekly_sma20slope,weekly_price2_sma20pct,weekly_sma50,weekly_sma50slope,weekly_price2_sma50pct,weekly_sma10,weekly_sma10slope,weekly_price2_sma10pct,weekly_rsi_14,weekly_price_position_52w,weekly_macd,weekly_macd_signal,weekly_macd_histogram
BKNG,weekly,2025-09-01,5496.3374,1C,Pullback,yellow_light,4.6245,Bullish,-0.4968,0.8953,9.3543,5523.7823,6.6764,5447.5668,50.1059,0.8953,5026.1726,33.3234,9.3543,5582.2195,5.1388,-1.5385,49.6177,0.9072,187.9767,212.4085,-24.4318
MELI,weekly,2025-09-01,2417.4900,??,Undefined,gray,6.6932,Mixed,0.1476,-0.4152,12.3337,2413.9282,2.3959,2427.5690,19.8607,-0.4152,2152.0618,7.1715,12.3337,2412.0570,-6.2900,0.2252,41.3144,0.8637,79.0391,96.8694,-17.8303
REGN,weekly,2025-09-01,573.3800,1B,Mean Reversion,yellow,5.0131,Mixed,0.9820,3.2253,-14.2791,567.8041,3.3647,555.4644,-0.9336,3.2253,668.8916,-11.6181,-14.2791,565.9718,6.8948,1.3089,69.7700,0.1190,-25.2307,-39.9411,14.7103
CHTR,weekly,2025-09-01,261.5000,4C,Bearish Extended,maroon,7.3399,Bearish,-12.6095,-25.8943,-26.4686,299.2315,-11.5138,352.8745,-4.1543,-25.8943,355.6306,-1.4610,-26.4686,309.4720,-12.7950,-15.5012,21.7286,0.0399,-27.4908,-13.3000,-14.1908
KLAC,weekly,2025-09-01,905.0900,2C,Bullish Extended,green_dark,7.8678,Bullish,2.9713,7.8808,20.9273,878.9735,2.5034,838.9727,11.8496,7.8808,748.4579,2.4709,20.9273,899.0422,5.3595,0.6727,70.6563,0.9390,46.1708,47.1089,-0.9381
META,weekly,2025-09-01,752.4500,2B,Breakout Confirmation,lime,6.3151,Bullish,2.2403,8.6743,17.8679,735.9622,7.2654,692.3898,10.7979,8.6743,638.3842,4.6957,17.8679,740.3960,7.1701,1.6280,68.3141,0.9247,40.0124,36.2628,3.7496
ASML,weekly,2025-09-01,781.7000,2B,Breakout Confirmation,lime,6.2060,Bullish,4.5533,5.4245,7.8404,747.6569,2.0231,741.4783,4.4774,5.4245,724.8677,-1.6065,7.8404,747.5770,-1.1916,4.5645,57.3528,0.3772,6.2791,3.4066,2.8725
NFLX,weekly,2025-09-01,1243.8199,2B,Breakout Confirmation,lime,6.3021,Bullish,2.4364,2.8440,22.6051,1214.2363,3.0389,1209.4235,14.6599,2.8440,1014.4930,10.6215,22.6051,1219.7930,-2.1614,1.9698,53.7119,0.9066,61.4941,73.8729,-12.3788
COST,weekly,2025-09-01,963.4800,3A,Bullish Fade,orange_light,3.4838,Mixed,-0.0503,-1.8369,0.3592,963.9644,-0.8885,981.5098,1.1770,-1.8369,960.0319,1.4798,0.3592,960.8024,-3.7094,0.2787,33.0958,0.7484,-1.6048,3.3616,-4.9664
ADBE,weekly,2025-09-01,348.9700,4B,Bearish Confirmation,red,5.1858,Bearish,-3.3123,-7.3586,-17.0487,360.9250,-2.6645,376.6890,-0.5965,-7.3586,420.6924,-3.9665,-17.0487,359.0650,-4.4556,-2.8115,27.1148,0.0270,-19.0711,-19.5164,0.4452
