ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_QQQ_per_NASDAQ100
AAPL,2025-09-01,weekly,92,86,85,83,92
ABNB,2025-09-01,weekly,24,30,6,40,31
ADBE,2025-09-01,weekly,20,7,23,35,49
ADI,2025-09-01,weekly,63,75,27,90,85
ADP,2025-09-01,weekly,44,20,16,32,37
ADSK,2025-09-01,weekly,75,67,88,97,83
AEP,2025-09-01,weekly,72,53,17,19,26
AMAT,2025-09-01,weekly,17,45,71,60,13
AMD,2025-09-01,weekly,68,93,4,5,11
AMGN,2025-09-01,weekly,60,47,35,15,23
AMZN,2025-09-01,weekly,65,73,74,59,81
APP,2025-09-01,weekly,99,94,80,96,99
ARM,2025-09-01,weekly,7,62,52,47,50
ASML,2025-09-01,weekly,48,58,93,88,89
AVGO,2025-09-01,weekly,95,99,99,94,91
AXON,2025-09-01,weekly,18,36,18,20,35
AZN,2025-09-01,weekly,88,74,79,79,86
BIIB,2025-09-01,weekly,83,69,94,71,74
BKNG,2025-09-01,weekly,39,43,29,63,58
BKR,2025-09-01,weekly,93,88,60,91,68
CCEP,2025-09-01,weekly,45,35,54,31,15
CDNS,2025-09-01,weekly,85,68,58,57,36
CDW,2025-09-01,weekly,38,22,86,84,51
CEG,2025-09-01,weekly,35,38,24,10,12
CHTR,2025-09-01,weekly,2,3,30,28,38
CMCSA,2025-09-01,weekly,41,34,50,70,66
COST,2025-09-01,weekly,46,26,78,42,52
CPRT,2025-09-01,weekly,53,13,48,77,75
CRWD,2025-09-01,weekly,8,18,34,27,18
CSCO,2025-09-01,weekly,47,57,11,67,47
CSGP,2025-09-01,weekly,83,84,53,53,22
CSX,2025-09-01,weekly,49,54,62,7,17
CTAS,2025-09-01,weekly,29,19,17,12,17
CTSH,2025-09-01,weekly,28,17,45,76,59
DASH,2025-09-01,weekly,57,81,65,49,44
DDOG,2025-09-01,weekly,62,79,49,92,50
DXCM,2025-09-01,weekly,30,25,95,46,53
EA,2025-09-01,weekly,74,72,26,19,78
EXC,2025-09-01,weekly,59,37,46,34,34
FANG,2025-09-01,weekly,51,41,5,50,24
FAST,2025-09-01,weekly,84,78,10,33,72
FTNT,2025-09-01,weekly,5,5,55,50,3
GEHC,2025-09-01,weekly,56,63,82,78,82
GFS,2025-09-01,weekly,10,16,50,61,14
GILD,2025-09-01,weekly,64,61,75,24,54
GOOG,2025-09-01,weekly,98,95,96,98,95
GOOGL,2025-09-01,weekly,97,96,97,99,96
HON,2025-09-01,weekly,34,28,19,44,39
IDXX,2025-09-01,weekly,94,91,44,38,93
INTC,2025-09-01,weekly,79,85,64,52,98
INTU,2025-09-01,weekly,11,23,69,11,8
ISRG,2025-09-01,weekly,13,9,36,25,29
IWM,2025-09-01,weekly,,,,,
KDP,2025-09-01,weekly,16,11,32,2,6
KHC,2025-09-01,weekly,73,52,40,37,46
KLAC,2025-09-01,weekly,58,83,89,85,60
LIN,2025-09-01,weekly,54,40,25,26,57
LRCX,2025-09-01,weekly,71,90,83,83,76
LULU,2025-09-01,weekly,3,2,2,4,9
MAGS,2025-09-01,weekly,,,,,
MAR,2025-09-01,weekly,40,42,38,54,63
MCHP,2025-09-01,weekly,32,76,73,56,43
MDLZ,2025-09-01,weekly,22,24,63,45,28
MELI,2025-09-01,weekly,36,27,22,67,56
META,2025-09-01,weekly,61,83,76,16,48
MNST,2025-09-01,weekly,55,33,56,22,70
MRVL,2025-09-01,weekly,6,48,67,3,4
MSFT,2025-09-01,weekly,50,64,20,14,21
MSTR,2025-09-01,weekly,14,15,61,8,16
MU,2025-09-01,weekly,69,97,98,93,97
NFLX,2025-09-01,weekly,33,50,84,58,79
NVDA,2025-09-01,weekly,70,89,8,9,27
NXPI,2025-09-01,weekly,67,77,9,41,80
ODFL,2025-09-01,weekly,23,21,51,48,71
ON,2025-09-01,weekly,27,80,41,17,7
ORLY,2025-09-01,weekly,87,71,70,81,69
PANW,2025-09-01,weekly,42,46,77,95,87
PAYX,2025-09-01,weekly,37,10,14,30,32
PCAR,2025-09-01,weekly,66,56,42,69,62
PDD,2025-09-01,weekly,90,50,88,87,88
PEP,2025-09-01,weekly,82,70,31,17,65
PLTR,2025-09-01,weekly,86,87,21,6,42
PYPL,2025-09-01,weekly,26,31,15,36,55
QCOM,2025-09-01,weekly,52,65,47,62,77
QQQ,2025-09-01,weekly,,,,,
REGN,2025-09-01,weekly,81,32,37,39,61
ROP,2025-09-01,weekly,25,17,33,29,25
ROST,2025-09-01,weekly,89,66,81,75,84
SBUX,2025-09-01,weekly,31,39,12,13,41
SHOP,2025-09-01,weekly,96,98,90,86,94
SMH,2025-09-01,weekly,,,,,
SNPS,2025-09-01,weekly,91,82,43,23,30
SPY,2025-09-01,weekly,,,,,
TEAM,2025-09-01,weekly,9,6,13,81,20
TMUS,2025-09-01,weekly,78,49,66,43,73
TRI,2025-09-01,weekly,17,12,28,74,10
TSLA,2025-09-01,weekly,80,44,92,89,90
TTD,2025-09-01,weekly,4,4,7,55,2
TTWO,2025-09-01,weekly,50,55,83,80,83
TXN,2025-09-01,weekly,21,59,3,21,67
VRSK,2025-09-01,weekly,15,8,68,65,45
VRTX,2025-09-01,weekly,19,14,72,64,5
WBD,2025-09-01,weekly,76,92,91,72,19
WDAY,2025-09-01,weekly,43,29,57,73,64
XEL,2025-09-01,weekly,77,51,60,66,40
XLB,2025-09-01,weekly,,,,,
XLC,2025-09-01,weekly,,,,,
XLE,2025-09-01,weekly,,,,,
XLF,2025-09-01,weekly,,,,,
XLI,2025-09-01,weekly,,,,,
XLK,2025-09-01,weekly,,,,,
XLP,2025-09-01,weekly,,,,,
XLRE,2025-09-01,weekly,,,,,
XLU,2025-09-01,weekly,,,,,
XLV,2025-09-01,weekly,,,,,
XLY,2025-09-01,weekly,,,,,
ZS,2025-09-01,weekly,12,61,39,52,33
