level,detection_date,detection_bar,confirmation_date,confirmation_bar,breakout_date,breakout_bar,is_confirmed,is_broken
137.75999450683594,2025-06-30,78,2025-06-30,-1,2025-09-01,87.0,True,True
138.2100067138672,2025-08-18,85,2025-08-18,-1,,,True,False
