date,timeframe,monthly_mb_total_stocks,monthly_mb_advancing_stocks,monthly_mb_declining_stocks,monthly_mb_unchanged_stocks,monthly_mb_net_advances,monthly_mb_ad_ratio,monthly_mb_ad_line,monthly_mb_advance_pct,monthly_mb_decline_pct,monthly_mb_avg_pct_change,monthly_mb_pct_change_volatility,monthly_mb_long_new_highs,monthly_mb_long_new_lows,monthly_mb_total_stocks_hl_long,monthly_mb_net_long_new_highs,monthly_mb_hl_ratio_long,monthly_mb_long_new_highs_pct,monthly_mb_long_new_lows_pct,monthly_mb_net_hl_line_long,monthly_mb_medium_new_highs,monthly_mb_medium_new_lows,monthly_mb_total_stocks_hl_medium,monthly_mb_net_medium_new_highs,monthly_mb_hl_ratio_medium,monthly_mb_medium_new_highs_pct,monthly_mb_medium_new_lows_pct,monthly_mb_net_hl_line_medium,monthly_mb_short_new_highs,monthly_mb_short_new_lows,monthly_mb_total_stocks_hl_short,monthly_mb_net_short_new_highs,monthly_mb_hl_ratio_short,monthly_mb_short_new_highs_pct,monthly_mb_short_new_lows_pct,monthly_mb_net_hl_line_short,monthly_mb_stocks_above_ma_3,monthly_mb_total_stocks_ma_3,monthly_mb_pct_above_ma_3,monthly_mb_stocks_above_ma_6,monthly_mb_total_stocks_ma_6,monthly_mb_pct_above_ma_6,monthly_mb_stocks_above_ma_12,monthly_mb_total_stocks_ma_12,monthly_mb_pct_above_ma_12,monthly_mb_long_new_highs_gt_100,monthly_mb_long_success_condition,monthly_mb_medium_new_highs_gt_100,monthly_mb_medium_success_condition,monthly_mb_short_new_highs_gt_100,monthly_mb_short_success_condition,monthly_mb_ad_ratio_gt_2_0,monthly_mb_ad_ratio_lt_0_5,monthly_mb_strong_advance_breadth,monthly_mb_weak_advance_breadth,monthly_mb_timeframe,monthly_mb_universe,monthly_mb_hl_periods,monthly_mb_ma_periods,monthly_mb_bullish_momentum_5d,monthly_mb_bearish_momentum_5d,monthly_mb_net_momentum_5d,monthly_mb_bullish_momentum_10d,monthly_mb_bearish_momentum_10d,monthly_mb_net_momentum_10d,monthly_mb_bullish_momentum_20d,monthly_mb_bearish_momentum_20d,monthly_mb_net_momentum_20d,monthly_mb_overall_breadth_score,monthly_mb_breadth_rating,monthly_mb_signal_strength,monthly_mb_threshold_classification,monthly_mb_market_participation
2024-01-02,monthly,101,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,101,0,,0.00,0.00,0,101,101,101,0,1.00,100.00,100.00,0,101,101,101,0,1.00,100.00,100.00,0,0,101,0.00,0,101,0.00,0,101,0.00,0,0,1,0,1,0,0,0,0,1,monthly,NASDAQ100,12;3;1,3;6;12,,,,,,,,,,0.00,Very Poor,Neutral,Neutral,0.00
2024-01-03,monthly,101,17,84,0,-67,0.20,-67,16.83,83.17,-1.26,1.41,0,0,101,0,,0.00,0.00,0,21,76,101,-55,0.28,20.79,75.25,-55,101,101,101,0,1.00,100.00,100.00,0,17,101,16.83,0,101,0.00,0,101,0.00,0,0,0,0,1,0,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.00,1.00,-1.00,,,,,,,3.37,Very Poor,Weak Signal (Bearish),Neutral,16.83
2024-01-04,monthly,101,48,52,1,-4,0.92,-71,47.52,51.49,-0.23,1.20,14,54,101,-40,0.26,13.86,53.47,-40,14,54,101,-40,0.26,13.86,53.47,-95,101,101,101,0,1.00,100.00,100.00,0,29,101,28.71,29,101,28.71,0,101,0.00,0,0,0,0,1,0,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.67,-0.67,,,,,,,9.50,Very Poor,Neutral,Neutral,47.52
2024-01-05,monthly,101,43,57,1,-14,0.75,-85,42.57,56.44,-0.03,1.05,10,36,101,-26,0.28,9.90,35.64,-66,23,42,101,-19,0.55,22.77,41.58,-114,101,101,101,0,1.00,100.00,100.00,0,37,101,36.63,31,101,30.69,0,101,0.00,0,0,0,0,1,0,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.50,-0.50,,,,,,,8.51,Very Poor,Neutral,Neutral,42.57
2024-01-08,monthly,101,92,9,0,83,10.22,-2,91.09,8.91,1.90,1.87,25,17,101,8,1.47,24.75,16.83,-58,67,20,101,47,3.35,66.34,19.80,-67,101,101,101,0,1.00,100.00,100.00,0,88,101,87.13,83,101,82.18,0,101,0.00,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.40,-0.20,0.20,0.40,-0.20,,,,18.22,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),91.09
2024-01-09,monthly,101,42,59,0,-17,0.71,-19,41.58,58.42,-0.03,1.46,27,13,101,14,2.08,26.73,12.87,-44,49,15,101,34,3.27,48.51,14.85,-33,101,101,101,0,1.00,100.00,100.00,0,72,101,71.29,75,101,74.26,75,101,74.26,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.17,0.33,-0.17,,,,8.32,Very Poor,Neutral,Neutral,41.58
2024-01-10,monthly,101,53,48,0,5,1.10,-14,52.48,47.52,0.30,1.64,31,9,101,22,3.44,30.69,8.91,-22,45,21,101,24,2.14,44.55,20.79,-9,101,101,101,0,1.00,100.00,100.00,0,48,101,47.52,74,101,73.27,69,101,68.32,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.14,0.29,-0.14,,,,10.50,Very Poor,Neutral,Neutral,52.48
2024-01-11,monthly,101,58,42,1,16,1.38,2,57.43,41.58,0.05,1.30,27,15,101,12,1.80,26.73,14.85,-10,50,40,101,10,1.25,49.50,39.60,1,101,101,101,0,1.00,100.00,100.00,0,58,101,57.43,69,101,68.32,67,101,66.34,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.12,0.25,-0.12,,,,11.49,Very Poor,Neutral,Neutral,57.43
2024-01-12,monthly,101,57,43,1,14,1.33,16,56.44,42.57,0.02,1.55,31,5,101,26,6.20,30.69,4.95,16,56,12,101,44,4.67,55.45,11.88,45,101,101,101,0,1.00,100.00,100.00,0,60,101,59.41,64,101,63.37,68,101,67.33,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.11,0.22,-0.11,,,,11.29,Very Poor,Neutral,Neutral,56.44
2024-01-16,monthly,101,40,60,1,-20,0.67,-4,39.60,59.41,-0.27,1.72,17,17,101,0,1.00,16.83,16.83,16,28,44,101,-16,0.64,27.72,43.56,29,101,101,101,0,1.00,100.00,100.00,0,42,101,41.58,50,101,49.50,59,101,58.42,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.00,0.00,0.10,0.20,-0.10,0.10,0.20,-0.10,7.92,Very Poor,Neutral,Neutral,39.60
