date,timeframe,weekly_mb_total_stocks,weekly_mb_advancing_stocks,weekly_mb_declining_stocks,weekly_mb_unchanged_stocks,weekly_mb_net_advances,weekly_mb_ad_ratio,weekly_mb_ad_line,weekly_mb_advance_pct,weekly_mb_decline_pct,weekly_mb_avg_pct_change,weekly_mb_pct_change_volatility,weekly_mb_long_new_highs,weekly_mb_long_new_lows,weekly_mb_total_stocks_hl_long,weekly_mb_net_long_new_highs,weekly_mb_hl_ratio_long,weekly_mb_long_new_highs_pct,weekly_mb_long_new_lows_pct,weekly_mb_net_hl_line_long,weekly_mb_medium_new_highs,weekly_mb_medium_new_lows,weekly_mb_total_stocks_hl_medium,weekly_mb_net_medium_new_highs,weekly_mb_hl_ratio_medium,weekly_mb_medium_new_highs_pct,weekly_mb_medium_new_lows_pct,weekly_mb_net_hl_line_medium,weekly_mb_short_new_highs,weekly_mb_short_new_lows,weekly_mb_total_stocks_hl_short,weekly_mb_net_short_new_highs,weekly_mb_hl_ratio_short,weekly_mb_short_new_highs_pct,weekly_mb_short_new_lows_pct,weekly_mb_net_hl_line_short,weekly_mb_stocks_above_ma_10,weekly_mb_total_stocks_ma_10,weekly_mb_pct_above_ma_10,weekly_mb_stocks_above_ma_20,weekly_mb_total_stocks_ma_20,weekly_mb_pct_above_ma_20,weekly_mb_stocks_above_ma_50,weekly_mb_total_stocks_ma_50,weekly_mb_pct_above_ma_50,weekly_mb_long_new_highs_gt_100,weekly_mb_long_success_condition,weekly_mb_medium_new_highs_gt_100,weekly_mb_medium_success_condition,weekly_mb_short_new_highs_gt_100,weekly_mb_short_success_condition,weekly_mb_ad_ratio_gt_2_0,weekly_mb_ad_ratio_lt_0_5,weekly_mb_strong_advance_breadth,weekly_mb_weak_advance_breadth,weekly_mb_strong_ma_breadth_20,weekly_mb_weak_ma_breadth_20,weekly_mb_strong_ma_breadth_50,weekly_mb_weak_ma_breadth_50,weekly_mb_timeframe,weekly_mb_universe,weekly_mb_hl_periods,weekly_mb_ma_periods,weekly_mb_bullish_momentum_5d,weekly_mb_bearish_momentum_5d,weekly_mb_net_momentum_5d,weekly_mb_bullish_momentum_10d,weekly_mb_bearish_momentum_10d,weekly_mb_net_momentum_10d,weekly_mb_bullish_momentum_20d,weekly_mb_bearish_momentum_20d,weekly_mb_net_momentum_20d,weekly_mb_breadth_thrust,weekly_mb_breadth_deterioration,weekly_mb_ad_thrust,weekly_mb_new_highs_expansion,weekly_mb_new_lows_expansion,weekly_mb_total_bullish_signals,weekly_mb_total_bearish_signals,weekly_mb_net_signal_score,weekly_mb_overall_breadth_score,weekly_mb_breadth_rating,weekly_mb_signal_strength,weekly_mb_threshold_classification,weekly_mb_market_participation,weekly_mb_consecutive_bullish_days,weekly_mb_consecutive_bearish_days
2024-01-02,weekly,500,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,500,0,,0.00,0.00,0,0,0,500,0,,0.00,0.00,0,500,500,500,0,1.00,100.00,100.00,0,0,500,0.00,0,500,0.00,0,500,0.00,0,0,0,0,1,0,0,0,0,1,0,1,0,1,weekly,SP500,52;13;4,10;20;50,,,,,,,,,,0,1,0,0,0,0,4,-4,0.00,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),0.00,0.00,1.00
2024-01-03,weekly,500,107,391,2,-284,0.27,-284,21.40,78.20,-1.33,1.71,0,0,500,0,,0.00,0.00,0,0,0,500,0,,0.00,0.00,0,136,337,500,-201,0.40,27.20,67.40,-201,0,500,0.00,0,500,0.00,0,500,0.00,0,0,0,0,1,0,0,1,0,1,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.00,3.00,-3.00,,,,,,,0,1,0,0,0,0,4,-4,4.28,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),21.40,0.00,2.00
2024-01-04,weekly,500,253,245,2,8,1.03,-276,50.60,49.00,-0.10,1.12,0,0,500,0,,0.00,0.00,0,112,207,500,-95,0.54,22.40,41.40,-95,112,207,500,-95,0.54,22.40,41.40,-296,0,500,0.00,0,500,0.00,0,500,0.00,0,0,1,0,1,0,0,0,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.00,2.67,-2.67,,,,,,,0,1,0,0,0,0,3,-3,10.12,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),50.60,0.00,3.00
2024-01-05,weekly,500,278,217,5,61,1.28,-215,55.60,43.40,0.23,1.01,0,0,500,0,,0.00,0.00,0,84,194,500,-110,0.43,16.80,38.80,-205,84,194,500,-110,0.43,16.80,38.80,-406,0,500,0.00,0,500,0.00,0,500,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.00,2.50,-2.50,,,,,,,0,1,0,0,0,0,3,-3,11.12,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),55.60,0.00,4.00
2024-01-08,weekly,500,416,82,2,334,5.07,119,83.20,16.40,1.13,1.45,0,0,500,0,,0.00,0.00,0,108,99,500,9,1.09,21.60,19.80,-196,191,115,500,76,1.66,38.20,23.00,-330,373,500,74.60,0,500,0.00,0,500,0.00,0,0,1,0,1,0,1,0,1,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.20,2.40,-2.20,0.20,2.40,-2.20,,,,0,1,1,0,0,2,3,-1,16.64,Very Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),83.20,0.00,5.00
2024-01-09,weekly,500,152,346,2,-194,0.44,-75,30.40,69.20,-0.46,1.34,0,0,500,0,,0.00,0.00,0,84,78,500,6,1.08,16.80,15.60,-190,167,99,500,68,1.69,33.40,19.80,-262,286,500,57.20,0,500,0.00,0,500,0.00,0,0,0,0,1,1,0,1,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.20,2.20,-2.00,0.17,2.33,-2.17,,,,0,1,0,0,0,0,3,-3,6.08,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),30.40,0.00,6.00
2024-01-10,weekly,500,280,218,2,62,1.28,-13,56.00,43.60,0.18,1.22,0,0,500,0,,0.00,0.00,0,111,77,500,34,1.44,22.20,15.40,-156,193,109,500,84,1.77,38.60,21.80,-178,285,500,57.00,0,500,0.00,0,500,0.00,0,0,1,0,1,1,0,0,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.20,2.00,-1.80,0.14,2.29,-2.14,,,,0,1,0,0,0,0,3,-3,11.20,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),56.00,0.00,7.00
2024-01-11,weekly,500,218,278,4,-60,0.78,-73,43.60,55.60,-0.27,1.23,0,0,500,0,,0.00,0.00,0,98,129,500,-31,0.76,19.60,25.80,-187,161,202,500,-41,0.80,32.20,40.40,-219,263,500,52.60,0,500,0.00,0,500,0.00,0,0,0,0,1,1,0,0,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.20,2.00,-1.80,0.12,2.25,-2.12,,,,0,1,0,0,0,0,3,-3,8.72,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),43.60,0.00,8.00
2024-01-12,weekly,500,266,231,3,35,1.15,-38,53.20,46.20,-0.10,1.45,0,0,500,0,,0.00,0.00,0,117,56,500,61,2.09,23.40,11.20,-126,216,100,500,116,2.16,43.20,20.00,-103,255,500,51.00,0,500,0.00,0,500,0.00,0,0,1,0,1,1,0,0,0,0,0,1,0,1,weekly,SP500,52;13;4,10;20;50,0.20,2.00,-1.80,0.11,2.22,-2.11,,,,0,1,0,0,0,0,3,-3,10.64,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),53.20,0.00,9.00
2024-01-16,weekly,500,141,355,4,-214,0.40,-252,28.20,71.00,-0.65,1.47,0,0,500,0,,0.00,0.00,0,54,161,500,-107,0.34,10.80,32.20,-233,93,264,500,-171,0.35,18.60,52.80,-274,204,500,40.80,204,500,40.80,0,500,0.00,0,0,0,0,0,1,0,1,0,1,0,0,0,1,weekly,SP500,52;13;4,10;20;50,0.00,2.00,-2.00,0.10,2.20,-2.10,0.10,2.20,-2.10,0,1,0,0,0,0,3,-3,17.88,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),28.20,0.00,10.00
