date,timeframe,daily_mb_total_stocks,daily_mb_advancing_stocks,daily_mb_declining_stocks,daily_mb_unchanged_stocks,daily_mb_net_advances,daily_mb_ad_ratio,daily_mb_ad_line,daily_mb_advance_pct,daily_mb_decline_pct,daily_mb_avg_pct_change,daily_mb_pct_change_volatility,daily_mb_long_new_highs,daily_mb_long_new_lows,daily_mb_total_stocks_hl_long,daily_mb_net_long_new_highs,daily_mb_hl_ratio_long,daily_mb_long_new_highs_pct,daily_mb_long_new_lows_pct,daily_mb_net_hl_line_long,daily_mb_medium_new_highs,daily_mb_medium_new_lows,daily_mb_total_stocks_hl_medium,daily_mb_net_medium_new_highs,daily_mb_hl_ratio_medium,daily_mb_medium_new_highs_pct,daily_mb_medium_new_lows_pct,daily_mb_net_hl_line_medium,daily_mb_short_new_highs,daily_mb_short_new_lows,daily_mb_total_stocks_hl_short,daily_mb_net_short_new_highs,daily_mb_hl_ratio_short,daily_mb_short_new_highs_pct,daily_mb_short_new_lows_pct,daily_mb_net_hl_line_short,daily_mb_stocks_above_ma_20,daily_mb_total_stocks_ma_20,daily_mb_pct_above_ma_20,daily_mb_stocks_above_ma_50,daily_mb_total_stocks_ma_50,daily_mb_pct_above_ma_50,daily_mb_stocks_above_ma_200,daily_mb_total_stocks_ma_200,daily_mb_pct_above_ma_200,daily_mb_long_new_highs_gt_100,daily_mb_long_success_condition,daily_mb_medium_new_highs_gt_100,daily_mb_medium_success_condition,daily_mb_short_new_highs_gt_100,daily_mb_short_success_condition,daily_mb_ad_ratio_gt_2_0,daily_mb_ad_ratio_lt_0_5,daily_mb_strong_advance_breadth,daily_mb_weak_advance_breadth,daily_mb_strong_ma_breadth_20,daily_mb_weak_ma_breadth_20,daily_mb_strong_ma_breadth_50,daily_mb_weak_ma_breadth_50,daily_mb_strong_ma_breadth_200,daily_mb_weak_ma_breadth_200,daily_mb_timeframe,daily_mb_universe,daily_mb_hl_periods,daily_mb_ma_periods,daily_mb_bullish_momentum_5d,daily_mb_bearish_momentum_5d,daily_mb_net_momentum_5d,daily_mb_bullish_momentum_10d,daily_mb_bearish_momentum_10d,daily_mb_net_momentum_10d,daily_mb_bullish_momentum_20d,daily_mb_bearish_momentum_20d,daily_mb_net_momentum_20d,daily_mb_breadth_thrust,daily_mb_breadth_deterioration,daily_mb_ad_thrust,daily_mb_new_highs_expansion,daily_mb_new_lows_expansion,daily_mb_total_bullish_signals,daily_mb_total_bearish_signals,daily_mb_net_signal_score,daily_mb_overall_breadth_score,daily_mb_breadth_rating,daily_mb_signal_strength,daily_mb_threshold_classification,daily_mb_market_participation,daily_mb_consecutive_bullish_days,daily_mb_consecutive_bearish_days
2024-01-02,daily,979,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,,,,,,,,,,0,1,0,0,0,0,5,-5,0.00,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),0.00,0.00,1.00
2024-01-03,daily,979,142,834,3,-692,0.17,-692,14.50,85.19,-1.93,1.99,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.00,4.00,-4.00,,,,,,,0,1,0,0,0,0,5,-5,2.90,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),14.50,0.00,2.00
2024-01-04,daily,979,478,492,9,-14,0.97,-706,48.83,50.26,-0.03,2.02,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.00,3.67,-3.67,,,,,,,0,1,0,0,0,0,4,-4,9.77,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),48.83,0.00,3.00
2024-01-05,daily,979,587,381,11,206,1.54,-500,59.96,38.92,0.30,1.68,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.00,3.50,-3.50,,,,,,,0,1,0,0,0,0,4,-4,11.99,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),59.96,0.00,4.00
2024-01-08,daily,979,822,154,3,668,5.34,168,83.96,15.73,1.39,2.06,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,209,181,979,28,1.15,21.35,18.49,28,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.20,3.40,-3.20,0.20,3.40,-3.20,,,,0,1,1,0,0,2,4,-2,16.79,Very Poor,Strong Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),83.96,0.00,5.00
2024-01-09,daily,979,291,684,4,-393,0.43,-225,29.72,69.87,-0.49,1.66,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,165,143,979,22,1.15,16.85,14.61,50,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.20,3.40,-3.20,0.17,3.50,-3.33,,,,0,1,0,0,0,0,5,-5,5.94,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),29.72,0.00,6.00
2024-01-10,daily,979,546,429,4,117,1.27,-108,55.77,43.82,0.18,1.41,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,201,149,979,52,1.35,20.53,15.22,102,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.20,3.20,-3.00,0.14,3.43,-3.29,,,,0,1,0,0,0,0,4,-4,11.15,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),55.77,0.00,7.00
2024-01-11,daily,979,401,573,5,-172,0.70,-280,40.96,58.53,-0.30,1.46,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,163,246,979,-83,0.66,16.65,25.13,19,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.20,3.20,-3.00,0.12,3.38,-3.25,,,,0,1,0,0,0,0,4,-4,8.19,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),40.96,0.00,8.00
2024-01-12,daily,979,481,494,4,-13,0.97,-293,49.13,50.46,-0.21,1.63,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,223,124,979,99,1.80,22.78,12.67,118,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.20,3.20,-3.00,0.11,3.33,-3.22,,,,0,1,0,0,0,0,4,-4,9.83,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),49.13,0.00,9.00
2024-01-16,daily,979,276,696,7,-420,0.40,-713,28.19,71.09,-0.66,1.99,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,97,336,979,-239,0.29,9.91,34.32,-121,387,979,39.53,0,979,0.00,0,979,0.00,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,daily,Russell1000,252;63;20,20;50;200,0.00,3.20,-3.20,0.10,3.30,-3.20,0.10,3.30,-3.20,0,1,0,0,0,0,4,-4,17.50,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),28.19,0.00,10.00
