date,timeframe,monthly_mb_total_stocks,monthly_mb_advancing_stocks,monthly_mb_declining_stocks,monthly_mb_unchanged_stocks,monthly_mb_net_advances,monthly_mb_ad_ratio,monthly_mb_ad_line,monthly_mb_advance_pct,monthly_mb_decline_pct,monthly_mb_avg_pct_change,monthly_mb_pct_change_volatility,monthly_mb_long_new_highs,monthly_mb_long_new_lows,monthly_mb_total_stocks_hl_long,monthly_mb_net_long_new_highs,monthly_mb_hl_ratio_long,monthly_mb_long_new_highs_pct,monthly_mb_long_new_lows_pct,monthly_mb_net_hl_line_long,monthly_mb_medium_new_highs,monthly_mb_medium_new_lows,monthly_mb_total_stocks_hl_medium,monthly_mb_net_medium_new_highs,monthly_mb_hl_ratio_medium,monthly_mb_medium_new_highs_pct,monthly_mb_medium_new_lows_pct,monthly_mb_net_hl_line_medium,monthly_mb_short_new_highs,monthly_mb_short_new_lows,monthly_mb_total_stocks_hl_short,monthly_mb_net_short_new_highs,monthly_mb_hl_ratio_short,monthly_mb_short_new_highs_pct,monthly_mb_short_new_lows_pct,monthly_mb_net_hl_line_short,monthly_mb_stocks_above_ma_3,monthly_mb_total_stocks_ma_3,monthly_mb_pct_above_ma_3,monthly_mb_stocks_above_ma_6,monthly_mb_total_stocks_ma_6,monthly_mb_pct_above_ma_6,monthly_mb_stocks_above_ma_12,monthly_mb_total_stocks_ma_12,monthly_mb_pct_above_ma_12,monthly_mb_long_new_highs_gt_100,monthly_mb_long_success_condition,monthly_mb_medium_new_highs_gt_100,monthly_mb_medium_success_condition,monthly_mb_short_new_highs_gt_100,monthly_mb_short_success_condition,monthly_mb_ad_ratio_gt_2_0,monthly_mb_ad_ratio_lt_0_5,monthly_mb_strong_advance_breadth,monthly_mb_weak_advance_breadth,monthly_mb_timeframe,monthly_mb_universe,monthly_mb_hl_periods,monthly_mb_ma_periods,monthly_mb_bullish_momentum_5d,monthly_mb_bearish_momentum_5d,monthly_mb_net_momentum_5d,monthly_mb_bullish_momentum_10d,monthly_mb_bearish_momentum_10d,monthly_mb_net_momentum_10d,monthly_mb_bullish_momentum_20d,monthly_mb_bearish_momentum_20d,monthly_mb_net_momentum_20d,monthly_mb_overall_breadth_score,monthly_mb_breadth_rating,monthly_mb_signal_strength,monthly_mb_threshold_classification,monthly_mb_market_participation
2024-01-02,monthly,979,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,979,0,,0.00,0.00,0,979,979,979,0,1.00,100.00,100.00,0,979,979,979,0,1.00,100.00,100.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,1,0,1,0,0,0,0,1,monthly,Russell1000,12;3;1,3;6;12,,,,,,,,,,0.00,Very Poor,Neutral,Neutral,0.00
2024-01-03,monthly,979,142,834,3,-692,0.17,-692,14.50,85.19,-1.93,1.99,0,0,979,0,,0.00,0.00,0,182,751,979,-569,0.24,18.59,76.71,-569,979,979,979,0,1.00,100.00,100.00,0,142,979,14.50,0,979,0.00,0,979,0.00,0,0,1,0,1,0,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,0.00,1.00,-1.00,,,,,,,2.90,Very Poor,Weak Signal (Bearish),Neutral,14.50
2024-01-04,monthly,979,478,492,9,-14,0.97,-706,48.83,50.26,-0.03,2.02,160,491,979,-331,0.33,16.34,50.15,-331,160,491,979,-331,0.33,16.34,50.15,-900,979,979,979,0,1.00,100.00,100.00,0,217,979,22.17,217,979,22.17,0,979,0.00,1,0,1,0,1,0,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.00,0.67,-0.67,,,,,,,9.77,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),48.83
2024-01-05,monthly,979,587,381,11,206,1.54,-500,59.96,38.92,0.30,1.68,146,413,979,-267,0.35,14.91,42.19,-598,311,460,979,-149,0.68,31.77,46.99,-1049,979,979,979,0,1.00,100.00,100.00,0,560,979,57.20,399,979,40.76,0,979,0.00,1,0,1,0,1,0,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.00,0.50,-0.50,,,,,,,11.99,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),59.96
2024-01-08,monthly,979,822,154,3,668,5.34,168,83.96,15.73,1.39,2.06,209,181,979,28,1.15,21.35,18.49,-570,558,224,979,334,2.49,57.00,22.88,-715,979,979,979,0,1.00,100.00,100.00,0,833,979,85.09,728,979,74.36,0,979,0.00,1,0,1,0,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,0.20,0.40,-0.20,0.20,0.40,-0.20,,,,16.79,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),83.96
2024-01-09,monthly,979,291,684,4,-393,0.43,-225,29.72,69.87,-0.49,1.66,165,143,979,22,1.15,16.85,14.61,-548,348,200,979,148,1.74,35.55,20.43,-567,979,979,979,0,1.00,100.00,100.00,0,501,979,51.17,545,979,55.67,545,979,55.67,1,0,1,0,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,0.20,0.40,-0.20,0.17,0.50,-0.33,,,,5.94,Very Poor,Weak Signal (Bearish),New Highs Expansion (Bullish),29.72
2024-01-10,monthly,979,546,429,4,117,1.27,-108,55.77,43.82,0.18,1.41,201,149,979,52,1.35,20.53,15.22,-496,387,302,979,85,1.28,39.53,30.85,-482,979,979,979,0,1.00,100.00,100.00,0,455,979,46.48,625,979,63.84,560,979,57.20,1,0,1,0,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.20,0.20,0.00,0.14,0.43,-0.29,,,,11.15,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),55.77
2024-01-11,monthly,979,401,573,5,-172,0.70,-280,40.96,58.53,-0.30,1.46,163,246,979,-83,0.66,16.65,25.13,-579,340,482,979,-142,0.71,34.73,49.23,-624,979,979,979,0,1.00,100.00,100.00,0,444,979,45.35,520,979,53.12,510,979,52.09,1,0,1,0,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.20,0.20,0.00,0.12,0.38,-0.25,,,,8.19,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),40.96
2024-01-12,monthly,979,481,494,4,-13,0.97,-293,49.13,50.46,-0.21,1.63,223,124,979,99,1.80,22.78,12.67,-480,518,246,979,272,2.11,52.91,25.13,-352,979,979,979,0,1.00,100.00,100.00,0,447,979,45.66,462,979,47.19,483,979,49.34,1,0,1,0,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.20,0.20,0.00,0.11,0.33,-0.22,,,,9.83,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),49.13
2024-01-16,monthly,979,276,696,7,-420,0.40,-713,28.19,71.09,-0.66,1.99,97,336,979,-239,0.29,9.91,34.32,-719,181,588,979,-407,0.31,18.49,60.06,-759,979,979,979,0,1.00,100.00,100.00,0,299,979,30.54,326,979,33.30,387,979,39.53,0,0,1,0,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,0.00,0.40,-0.40,0.10,0.40,-0.30,0.10,0.40,-0.30,5.64,Very Poor,Weak Signal (Bearish),Neutral,28.19
2024-01-17,monthly,979,224,749,6,-525,0.30,-1238,22.88,76.51,-0.76,1.31,86,386,979,-300,0.22,8.78,39.43,-1019,152,689,979,-537,0.22,15.53,70.38,-1296,979,979,979,0,1.00,100.00,100.00,0,195,979,19.92,236,979,24.11,316,979,32.28,0,0,1,0,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,0.00,0.40,-0.40,0.10,0.40,-0.30,0.09,0.45,-0.36,4.58,Very Poor,Weak Signal (Bearish),Neutral,22.88
2024-01-18,monthly,979,669,303,7,366,2.21,-872,68.34,30.95,0.65,1.71,113,219,979,-106,0.52,11.54,22.37,-1125,362,338,979,24,1.07,36.98,34.53,-1272,979,979,979,0,1.00,100.00,100.00,0,576,979,58.84,414,979,42.29,427,979,43.62,1,0,1,0,1,1,1,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.00,0.40,-0.40,0.10,0.30,-0.20,0.08,0.42,-0.33,13.67,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),68.34
2024-01-19,monthly,979,738,233,8,505,3.17,-367,75.38,23.80,0.93,2.15,244,135,979,109,1.81,24.92,13.79,-1016,620,184,979,436,3.37,63.33,18.79,-836,979,979,979,0,1.00,100.00,100.00,0,764,979,78.04,612,979,62.51,534,979,54.55,1,0,1,0,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,0.20,0.40,-0.20,0.20,0.30,-0.10,0.15,0.38,-0.23,15.08,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),75.38
2024-01-22,monthly,979,749,224,6,525,3.34,158,76.51,22.88,0.94,3.25,391,66,979,325,5.92,39.94,6.74,-691,789,95,979,694,8.31,80.59,9.70,-142,979,979,979,0,1.00,100.00,100.00,0,780,979,79.67,740,979,75.59,637,979,65.07,1,0,1,0,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,0.40,0.40,0.00,0.30,0.30,0.00,0.21,0.36,-0.14,15.30,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),76.51
2024-01-23,monthly,979,460,516,3,-56,0.89,102,46.99,52.71,-0.07,1.68,264,59,979,205,4.47,26.97,6.03,-486,522,155,979,367,3.37,53.32,15.83,225,979,979,979,0,1.00,100.00,100.00,0,596,979,60.88,723,979,73.85,608,979,62.10,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,0.60,0.20,0.40,0.30,0.30,0.00,0.27,0.33,-0.07,9.40,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),46.99
