date,timeframe,weekly_mb_total_stocks,weekly_mb_advancing_stocks,weekly_mb_declining_stocks,weekly_mb_unchanged_stocks,weekly_mb_net_advances,weekly_mb_ad_ratio,weekly_mb_ad_line,weekly_mb_advance_pct,weekly_mb_decline_pct,weekly_mb_avg_pct_change,weekly_mb_pct_change_volatility,weekly_mb_long_new_highs,weekly_mb_long_new_lows,weekly_mb_total_stocks_hl_long,weekly_mb_net_long_new_highs,weekly_mb_hl_ratio_long,weekly_mb_long_new_highs_pct,weekly_mb_long_new_lows_pct,weekly_mb_net_hl_line_long,weekly_mb_medium_new_highs,weekly_mb_medium_new_lows,weekly_mb_total_stocks_hl_medium,weekly_mb_net_medium_new_highs,weekly_mb_hl_ratio_medium,weekly_mb_medium_new_highs_pct,weekly_mb_medium_new_lows_pct,weekly_mb_net_hl_line_medium,weekly_mb_short_new_highs,weekly_mb_short_new_lows,weekly_mb_total_stocks_hl_short,weekly_mb_net_short_new_highs,weekly_mb_hl_ratio_short,weekly_mb_short_new_highs_pct,weekly_mb_short_new_lows_pct,weekly_mb_net_hl_line_short,weekly_mb_stocks_above_ma_10,weekly_mb_total_stocks_ma_10,weekly_mb_pct_above_ma_10,weekly_mb_stocks_above_ma_20,weekly_mb_total_stocks_ma_20,weekly_mb_pct_above_ma_20,weekly_mb_stocks_above_ma_50,weekly_mb_total_stocks_ma_50,weekly_mb_pct_above_ma_50,weekly_mb_long_new_highs_gt_100,weekly_mb_long_success_condition,weekly_mb_medium_new_highs_gt_100,weekly_mb_medium_success_condition,weekly_mb_short_new_highs_gt_100,weekly_mb_short_success_condition,weekly_mb_ad_ratio_gt_2_0,weekly_mb_ad_ratio_lt_0_5,weekly_mb_strong_advance_breadth,weekly_mb_weak_advance_breadth,weekly_mb_strong_ma_breadth_20,weekly_mb_weak_ma_breadth_20,weekly_mb_strong_ma_breadth_50,weekly_mb_weak_ma_breadth_50,weekly_mb_timeframe,weekly_mb_universe,weekly_mb_hl_periods,weekly_mb_ma_periods,weekly_mb_bullish_momentum_5d,weekly_mb_bearish_momentum_5d,weekly_mb_net_momentum_5d,weekly_mb_bullish_momentum_10d,weekly_mb_bearish_momentum_10d,weekly_mb_net_momentum_10d,weekly_mb_bullish_momentum_20d,weekly_mb_bearish_momentum_20d,weekly_mb_net_momentum_20d,weekly_mb_breadth_thrust,weekly_mb_breadth_deterioration,weekly_mb_ad_thrust,weekly_mb_new_highs_expansion,weekly_mb_new_lows_expansion,weekly_mb_total_bullish_signals,weekly_mb_total_bearish_signals,weekly_mb_net_signal_score,weekly_mb_overall_breadth_score,weekly_mb_breadth_rating,weekly_mb_signal_strength,weekly_mb_threshold_classification,weekly_mb_market_participation,weekly_mb_consecutive_bullish_days,weekly_mb_consecutive_bearish_days
2024-01-02,weekly,979,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,979,979,979,0,1.00,100.00,100.00,0,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,0,0,0,1,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,,,,,,,,,,0,1,0,0,0,0,4,-4,0.00,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),0.00,0.00,1.00
2024-01-03,weekly,979,142,834,3,-692,0.17,-692,14.50,85.19,-1.93,1.99,0,0,979,0,,0.00,0.00,0,0,0,979,0,,0.00,0.00,0,182,751,979,-569,0.24,18.59,76.71,-569,0,979,0.00,0,979,0.00,0,979,0.00,0,0,0,0,1,0,0,1,0,1,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,3.00,-3.00,,,,,,,0,1,0,0,0,0,4,-4,2.90,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),14.50,0.00,2.00
2024-01-04,weekly,979,478,492,9,-14,0.97,-706,48.83,50.26,-0.03,2.02,0,0,979,0,,0.00,0.00,0,160,491,979,-331,0.33,16.34,50.15,-331,160,491,979,-331,0.33,16.34,50.15,-900,0,979,0.00,0,979,0.00,0,979,0.00,0,0,1,0,1,0,0,0,0,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,2.67,-2.67,,,,,,,0,1,0,0,0,0,3,-3,9.77,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),48.83,0.00,3.00
2024-01-05,weekly,979,587,381,11,206,1.54,-500,59.96,38.92,0.30,1.68,0,0,979,0,,0.00,0.00,0,146,413,979,-267,0.35,14.91,42.19,-598,146,413,979,-267,0.35,14.91,42.19,-1167,0,979,0.00,0,979,0.00,0,979,0.00,0,0,1,0,1,0,0,0,0,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,2.50,-2.50,,,,,,,0,1,0,0,0,0,3,-3,11.99,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),59.96,0.00,4.00
2024-01-08,weekly,979,822,154,3,668,5.34,168,83.96,15.73,1.39,2.06,0,0,979,0,,0.00,0.00,0,209,181,979,28,1.15,21.35,18.49,-570,403,203,979,200,1.99,41.16,20.74,-967,728,979,74.36,0,979,0.00,0,979,0.00,0,0,1,0,1,1,1,0,1,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.20,2.40,-2.20,0.20,2.40,-2.20,,,,0,1,1,0,0,2,3,-1,16.79,Very Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),83.96,0.00,5.00
2024-01-09,weekly,979,291,684,4,-393,0.43,-225,29.72,69.87,-0.49,1.66,0,0,979,0,,0.00,0.00,0,165,143,979,22,1.15,16.85,14.61,-548,322,175,979,147,1.84,32.89,17.88,-820,545,979,55.67,0,979,0.00,0,979,0.00,0,0,1,0,1,1,0,1,0,1,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.20,2.40,-2.20,0.17,2.50,-2.33,,,,0,1,0,0,0,0,4,-4,5.94,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),29.72,0.00,6.00
2024-01-10,weekly,979,546,429,4,117,1.27,-108,55.77,43.82,0.18,1.41,0,0,979,0,,0.00,0.00,0,201,149,979,52,1.35,20.53,15.22,-496,362,204,979,158,1.77,36.98,20.84,-662,560,979,57.20,0,979,0.00,0,979,0.00,0,0,1,0,1,1,0,0,0,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.20,2.20,-2.00,0.14,2.43,-2.29,,,,0,1,0,0,0,0,3,-3,11.15,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),55.77,0.00,7.00
2024-01-11,weekly,979,401,573,5,-172,0.70,-280,40.96,58.53,-0.30,1.46,0,0,979,0,,0.00,0.00,0,163,246,979,-83,0.66,16.65,25.13,-579,288,401,979,-113,0.72,29.42,40.96,-775,510,979,52.09,0,979,0.00,0,979,0.00,0,0,1,0,1,1,0,0,0,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.20,2.20,-2.00,0.12,2.38,-2.25,,,,0,1,0,0,0,0,3,-3,8.19,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),40.96,0.00,8.00
2024-01-12,weekly,979,481,494,4,-13,0.97,-293,49.13,50.46,-0.21,1.63,0,0,979,0,,0.00,0.00,0,223,124,979,99,1.80,22.78,12.67,-480,436,220,979,216,1.98,44.54,22.47,-559,483,979,49.34,0,979,0.00,0,979,0.00,0,0,1,0,1,1,0,0,0,0,0,1,0,1,weekly,Russell1000,52;13;4,10;20;50,0.20,2.20,-2.00,0.11,2.33,-2.22,,,,0,1,0,0,0,0,3,-3,9.83,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),49.13,0.00,9.00
2024-01-16,weekly,979,276,696,7,-420,0.40,-713,28.19,71.09,-0.66,1.99,0,0,979,0,,0.00,0.00,0,97,336,979,-239,0.29,9.91,34.32,-719,161,544,979,-383,0.30,16.45,55.57,-942,387,979,39.53,387,979,39.53,0,979,0.00,0,0,0,0,1,1,0,1,0,1,0,0,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,2.20,-2.20,0.10,2.30,-2.20,0.10,2.30,-2.20,0,1,0,0,0,0,3,-3,17.50,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),28.19,0.00,10.00
2024-01-17,weekly,979,224,749,6,-525,0.30,-1238,22.88,76.51,-0.76,1.31,0,0,979,0,,0.00,0.00,0,86,386,979,-300,0.22,8.78,39.43,-1019,138,601,979,-463,0.23,14.10,61.39,-1405,330,979,33.71,316,979,32.28,0,979,0.00,0,0,0,0,1,1,0,1,0,1,0,0,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,2.00,-2.00,0.10,2.20,-2.10,0.09,2.27,-2.18,0,1,0,0,0,0,3,-3,14.26,Very Poor,Moderate Bearish,Breadth Deterioration (Bearish),22.88,0.00,11.00
2024-01-18,weekly,979,669,303,7,366,2.21,-872,68.34,30.95,0.65,1.71,0,0,979,0,,0.00,0.00,0,113,219,979,-106,0.52,11.54,22.37,-1125,204,329,979,-125,0.62,20.84,33.61,-1530,427,979,43.62,427,979,43.62,0,979,0.00,0,0,1,0,1,1,1,0,0,0,0,0,0,1,weekly,Russell1000,52;13;4,10;20;50,0.00,1.80,-1.80,0.10,2.00,-1.90,0.08,2.17,-2.08,0,1,1,0,0,1,2,-1,26.75,Poor,Weak Signal (Bearish),Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),68.34,0.00,12.00
