date,timeframe,monthly_mb_total_stocks,monthly_mb_advancing_stocks,monthly_mb_declining_stocks,monthly_mb_unchanged_stocks,monthly_mb_net_advances,monthly_mb_ad_ratio,monthly_mb_ad_line,monthly_mb_advance_pct,monthly_mb_decline_pct,monthly_mb_avg_pct_change,monthly_mb_pct_change_volatility,monthly_mb_long_new_highs,monthly_mb_long_new_lows,monthly_mb_total_stocks_hl_long,monthly_mb_net_long_new_highs,monthly_mb_hl_ratio_long,monthly_mb_long_new_highs_pct,monthly_mb_long_new_lows_pct,monthly_mb_net_hl_line_long,monthly_mb_medium_new_highs,monthly_mb_medium_new_lows,monthly_mb_total_stocks_hl_medium,monthly_mb_net_medium_new_highs,monthly_mb_hl_ratio_medium,monthly_mb_medium_new_highs_pct,monthly_mb_medium_new_lows_pct,monthly_mb_net_hl_line_medium,monthly_mb_short_new_highs,monthly_mb_short_new_lows,monthly_mb_total_stocks_hl_short,monthly_mb_net_short_new_highs,monthly_mb_hl_ratio_short,monthly_mb_short_new_highs_pct,monthly_mb_short_new_lows_pct,monthly_mb_net_hl_line_short,monthly_mb_stocks_above_ma_3,monthly_mb_total_stocks_ma_3,monthly_mb_pct_above_ma_3,monthly_mb_stocks_above_ma_6,monthly_mb_total_stocks_ma_6,monthly_mb_pct_above_ma_6,monthly_mb_stocks_above_ma_12,monthly_mb_total_stocks_ma_12,monthly_mb_pct_above_ma_12,monthly_mb_long_new_highs_gt_100,monthly_mb_long_success_condition,monthly_mb_medium_new_highs_gt_100,monthly_mb_medium_success_condition,monthly_mb_short_new_highs_gt_100,monthly_mb_short_success_condition,monthly_mb_ad_ratio_gt_2_0,monthly_mb_ad_ratio_lt_0_5,monthly_mb_strong_advance_breadth,monthly_mb_weak_advance_breadth,monthly_mb_timeframe,monthly_mb_universe,monthly_mb_hl_periods,monthly_mb_ma_periods,monthly_mb_bullish_momentum_5d,monthly_mb_bearish_momentum_5d,monthly_mb_net_momentum_5d,monthly_mb_bullish_momentum_10d,monthly_mb_bearish_momentum_10d,monthly_mb_net_momentum_10d,monthly_mb_bullish_momentum_20d,monthly_mb_bearish_momentum_20d,monthly_mb_net_momentum_20d,monthly_mb_overall_breadth_score,monthly_mb_breadth_rating,monthly_mb_signal_strength,monthly_mb_threshold_classification,monthly_mb_market_participation
2024-01-02,monthly,500,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,500,0,,0.00,0.00,0,500,500,500,0,1.00,100.00,100.00,0,500,500,500,0,1.00,100.00,100.00,0,0,500,0.00,0,500,0.00,0,500,0.00,0,0,1,0,1,0,0,0,0,1,monthly,SP500,12;3;1,3;6;12,,,,,,,,,,0.00,Very Poor,Neutral,Neutral,0.00
2024-01-03,monthly,500,107,391,2,-284,0.27,-284,21.40,78.20,-1.33,1.71,0,0,500,0,,0.00,0.00,0,136,337,500,-201,0.40,27.20,67.40,-201,500,500,500,0,1.00,100.00,100.00,0,107,500,21.40,0,500,0.00,0,500,0.00,0,0,1,0,1,0,0,1,0,1,monthly,SP500,12;3;1,3;6;12,0.00,1.00,-1.00,,,,,,,4.28,Very Poor,Weak Signal (Bearish),Neutral,21.40
2024-01-04,monthly,500,253,245,2,8,1.03,-276,50.60,49.00,-0.10,1.12,112,207,500,-95,0.54,22.40,41.40,-95,112,207,500,-95,0.54,22.40,41.40,-296,500,500,500,0,1.00,100.00,100.00,0,133,500,26.60,133,500,26.60,0,500,0.00,1,0,1,0,1,0,0,0,0,0,monthly,SP500,12;3;1,3;6;12,0.00,0.67,-0.67,,,,,,,10.12,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),50.60
2024-01-05,monthly,500,278,217,5,61,1.28,-215,55.60,43.40,0.23,1.01,84,194,500,-110,0.43,16.80,38.80,-205,149,232,500,-83,0.64,29.80,46.40,-379,500,500,500,0,1.00,100.00,100.00,0,268,500,53.60,205,500,41.00,0,500,0.00,0,0,1,0,1,0,0,0,0,0,monthly,SP500,12;3;1,3;6;12,0.00,0.50,-0.50,,,,,,,11.12,Very Poor,Neutral,Neutral,55.60
2024-01-08,monthly,500,416,82,2,334,5.07,119,83.20,16.40,1.13,1.45,108,99,500,9,1.09,21.60,19.80,-196,267,127,500,140,2.10,53.40,25.40,-239,500,500,500,0,1.00,100.00,100.00,0,418,500,83.60,373,500,74.60,0,500,0.00,1,0,1,0,1,1,1,0,1,0,monthly,SP500,12;3;1,3;6;12,0.20,0.40,-0.20,0.20,0.40,-0.20,,,,16.64,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),83.20
2024-01-09,monthly,500,152,346,2,-194,0.44,-75,30.40,69.20,-0.46,1.34,84,78,500,6,1.08,16.80,15.60,-190,183,107,500,76,1.71,36.60,21.40,-163,500,500,500,0,1.00,100.00,100.00,0,254,500,50.80,286,500,57.20,286,500,57.20,0,0,1,0,1,1,0,1,0,0,monthly,SP500,12;3;1,3;6;12,0.20,0.20,0.00,0.17,0.33,-0.17,,,,6.08,Very Poor,Weak Signal (Bearish),Neutral,30.40
2024-01-10,monthly,500,280,218,2,62,1.28,-13,56.00,43.60,0.18,1.22,111,77,500,34,1.44,22.20,15.40,-156,206,152,500,54,1.36,41.20,30.40,-109,500,500,500,0,1.00,100.00,100.00,0,234,500,46.80,310,500,62.00,285,500,57.00,1,0,1,0,1,1,0,0,0,0,monthly,SP500,12;3;1,3;6;12,0.20,0.00,0.20,0.14,0.29,-0.14,,,,11.20,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),56.00
2024-01-11,monthly,500,218,278,4,-60,0.78,-73,43.60,55.60,-0.27,1.23,98,129,500,-31,0.76,19.60,25.80,-187,186,245,500,-59,0.76,37.20,49.00,-168,500,500,500,0,1.00,100.00,100.00,0,229,500,45.80,261,500,52.20,263,500,52.60,0,0,1,0,1,1,0,0,0,0,monthly,SP500,12;3;1,3;6;12,0.20,0.00,0.20,0.12,0.25,-0.12,,,,8.72,Very Poor,Neutral,Neutral,43.60
2024-01-12,monthly,500,266,231,3,35,1.15,-38,53.20,46.20,-0.10,1.45,117,56,500,61,2.09,23.40,11.20,-126,268,111,500,157,2.41,53.60,22.20,-11,500,500,500,0,1.00,100.00,100.00,0,244,500,48.80,244,500,48.80,255,500,51.00,1,0,1,0,1,1,0,0,0,0,monthly,SP500,12;3;1,3;6;12,0.20,0.00,0.20,0.11,0.22,-0.11,,,,10.64,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),53.20
2024-01-16,monthly,500,141,355,4,-214,0.40,-252,28.20,71.00,-0.65,1.47,54,161,500,-107,0.34,10.80,32.20,-233,103,287,500,-184,0.36,20.60,57.40,-195,500,500,500,0,1.00,100.00,100.00,0,156,500,31.20,171,500,34.20,204,500,40.80,0,0,1,0,1,1,0,1,0,1,monthly,SP500,12;3;1,3;6;12,0.00,0.20,-0.20,0.10,0.30,-0.20,0.10,0.30,-0.20,5.64,Very Poor,Weak Signal (Bearish),Neutral,28.20
