ticker,date,timeframe,current_price,data_points,monthly_ema10,monthly_ema10slope,monthly_sma12,monthly_sma12slope,monthly_price2_sma12pct,monthly_sma24,monthly_sma24slope,monthly_price2_sma24pct,monthly_sma10,monthly_sma10slope,monthly_price2_sma10pct,monthly_rsi_14,monthly_price_position_52w,monthly_macd,monthly_macd_signal,monthly_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,monthly_monthly_monthly_1m_pct_change,monthly_5period_pct_change,monthly_10period_pct_change,monthly_monthly_monthly_2m_pct_change,monthly_monthly_monthly_3m_pct_change,monthly_monthly_monthly_6m_pct_change,monthly_momentum_20,monthly_quarter_pct_change,monthly_avg_volume_20,monthly_volume_trend,obv,obv_trend,monthly_ATH,monthly_ATL,monthly_is_new_ATH,monthly_is_new_ATL,monthly_distance_from_ATH_pct,monthly_distance_from_ATL_pct,monthly_ATH_ATL_position_pct,monthly_candle_strength,monthly_candle_strength_pct,monthly_body_ratio,monthly_upper_wick_ratio,monthly_lower_wick_ratio,monthly_oppression_factor,monthly_candle_type,monthly_is_bullish,total_range,body_size,monthly_wick_dominance,directional_strength,monthly_avg_candle_strength_5,monthly_avg_candle_strength_5_pct,trend_days_10_pct,monthly_priceabovesma10,monthly_priceaboveema20,monthly_priceabovesma50,monthly_sma10vssma20,monthly_sma20vssma50,monthly_at_20day_high,monthly_at_20day_low,monthly_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Utilities
QCOM,2025-09-05,monthly,159.8400,91,157.4143,0.7413,156.3583,0.3577,2.2267,152.4449,0.5679,4.8510,156.4040,0.2454,2.1969,58.2526,0.3945,1.4797,0.3978,1.0819,8.3374,5.2161,155.4279,0.5292,0.5442,-0.1499,2.1864,0.9091,0.0000,-0.5537,2.8307,7.1414,-0.6854,31989189.2000,-0.6787,192382149,-5554787.5500,210.6996,126.6989,False,False,-24.1384,26.1573,39.4534,0.0119,1.1900,0.0553,0.7857,0.1590,0.7857,Doji,False,4.3400,0.2400,0.9447,0.0553,0.3049,30.4900,44.4444,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
ISRG,2025-09-05,monthly,466.8600,91,479.4548,-3.6208,482.2546,-5.1699,-3.1922,506.7748,-0.5612,-7.8762,475.6375,-5.4323,-1.8454,36.4035,0.5287,-15.2397,-11.0992,-4.1405,25.9339,5.5550,522.2319,-2.1351,-1.9087,2.6449,-0.3373,-5.8484,0.0000,-1.3596,-2.8286,-13.8778,0.7401,7564343.7500,-0.5257,49190995,-1805980.2500,595.5500,322.5000,False,False,-21.6086,44.7628,52.8694,0.9072,90.7200,0.9107,0.0855,0.0038,0.0038,Strong Body,True,13.2100,12.0300,0.0893,0.9107,0.3279,32.7900,44.4444,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
AMGN,2025-09-05,monthly,283.6400,91,288.6641,-1.0157,292.1725,-0.3137,-2.9204,286.7380,-0.6029,-1.0804,291.6040,-0.4660,-2.7311,46.7682,0.3707,-0.3966,0.6233,-1.0198,12.5649,4.4299,287.3417,-0.2946,-0.2908,1.3724,-1.6743,-7.4825,0.0000,-1.4146,-4.3211,1.1316,-9.2097,9666481.3500,-0.6365,-37183761,-872208.0500,329.1125,256.8566,False,False,-13.8167,10.4274,37.0674,0.5329,53.2900,0.6105,0.2623,0.1272,0.1272,Moderate Body,True,6.2900,3.8400,0.3895,0.6105,0.3846,38.4600,11.1111,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False
LULU,2025-09-05,monthly,167.8000,91,197.2428,-4.2968,200.9050,-4.4790,-16.4779,235.4329,-4.2136,-28.7270,194.4580,-4.6128,-13.7089,27.5761,0.0000,-32.0505,-29.7451,-2.3055,21.3202,12.7057,292.7542,-5.8608,-3.3593,1.7401,-17.1112,-23.5291,0.0000,-17.0129,-15.3039,-34.9176,-29.7084,19157695.7500,0.7696,-330213189,-9908134.4500,491.1000,167.8000,False,True,-65.8318,0.0000,0.0000,0.2170,21.7000,0.2353,0.6868,0.0779,0.0779,Weak Body,True,12.1985,2.8700,0.7647,0.2353,0.4434,44.3400,33.3333,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False
QQQ,2025-09-01,monthly,576.0600,88,561.8796,3.7677,560.8245,4.3406,2.7166,523.7020,3.2016,9.9977,565.6180,4.3263,1.8461,74.8831,0.9930,20.6488,17.7335,2.9153,19.1223,3.3195,514.7699,3.2052,3.5868,2.6278,0.2628,3.5669,0.9923,1.7954,4.0045,15.6185,21.8987,212592641.8000,-0.0410,2343016392,49873529.6000,577.3400,393.3771,False,False,-0.2217,46.4396,99.3042,0.6274,62.7400,0.6835,0.2345,0.0820,0.0820,Moderate Body,True,21.5800,14.7500,0.3165,0.6835,0.5934,59.3400,66.6667,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPY,2025-09-01,monthly,647.2400,88,631.8332,3.8854,629.4849,4.3484,2.8206,595.6565,2.7616,8.6599,634.6380,4.4663,1.9857,76.1030,1.0000,19.1945,15.6461,3.5484,17.1999,2.6574,590.1051,3.3218,3.6434,1.5278,1.5788,3.5021,0.3395,1.4308,4.1047,12.8006,19.3649,321141916.1500,-0.2084,4272031877,72846288.8500,647.2400,459.2506,True,False,0.0000,40.9340,100.0000,0.4793,47.9300,0.5633,0.2875,0.1492,0.1492,Moderate Body,True,17.2900,9.7400,0.4367,0.5633,0.5408,54.0800,66.6667,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IWM,2025-09-01,monthly,237.7700,88,225.2759,1.9314,223.0269,1.8399,6.6104,210.6626,0.8828,12.8677,225.2210,1.9511,5.5719,75.8317,0.9632,5.9263,3.1262,2.8001,9.3075,3.9145,216.4840,2.2870,2.5119,2.4915,7.9203,6.5851,1.1056,5.4833,10.6319,14.0053,10.9066,150917619.4000,-0.2468,1675031378,63391763.9000,239.9506,180.6904,False,False,-0.9088,31.5897,96.3204,0.6594,65.9400,0.7040,0.2326,0.0633,0.0633,Strong Body,True,8.2100,5.7800,0.2960,0.7040,0.5226,52.2600,66.6667,True,True,True,True,False,True,False,False,,,,,,,,,,,,,,,,
MAGS,2025-09-01,monthly,61.2100,88,58.2447,0.6447,57.6983,0.6385,6.0863,52.9713,0.4286,15.5532,58.3940,0.6690,4.8224,79.3378,1.0000,2.7565,2.1598,0.5967,2.6176,4.2764,52.3290,3.3928,3.9686,4.3471,2.1358,9.4404,2.3750,4.3115,7.8971,21.9878,35.2003,10094568.6000,0.0766,42854884,4832674.2000,61.2100,32.1271,True,False,0.0000,90.5247,100.0000,0.6736,67.3600,0.7504,0.1471,0.1024,0.1024,Strong Body,True,3.3980,2.5500,0.2496,0.7504,0.6590,65.9000,77.7778,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
XLK,2025-09-01,monthly,262.8600,88,257.9143,1.7658,258.3364,2.4763,1.7510,237.0069,1.7809,10.9082,260.9540,2.3803,0.7304,78.5962,0.9635,10.9830,9.5543,1.4287,10.0363,3.8181,233.2652,2.9488,3.3229,1.9588,-1.1507,2.2961,0.1562,1.1584,2.2523,19.4301,19.8282,28336998.8000,0.0430,443691976,12023953.8000,265.9200,182.0682,False,False,-1.1507,44.3744,96.3507,0.4678,46.7800,0.5642,0.2648,0.1709,0.1709,Moderate Body,True,8.9500,5.0500,0.4358,0.5642,0.5491,54.9100,55.5556,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLC,2025-09-01,monthly,114.6900,88,109.0723,0.8635,108.2525,0.7769,5.9467,102.4584,0.4852,11.9381,108.9020,0.7617,5.3149,75.9201,1.0000,3.9835,3.2744,0.7091,3.4987,3.0505,99.4706,4.3501,5.0156,4.3111,6.5595,6.1551,2.9626,4.4060,8.0758,13.3333,36.2463,24003300.2000,-0.2147,566161404,8062790.2000,114.6900,70.8718,True,False,0.0000,61.8275,100.0000,0.8394,83.9400,0.8802,0.0734,0.0464,0.0464,Strong Body,True,5.3850,4.7400,0.1198,0.8802,0.5141,51.4100,66.6667,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
