ticker,date,timeframe,current_price,data_points,weekly_ema10,weekly_ema10slope,weekly_sma20,weekly_sma20slope,weekly_price2_sma20pct,weekly_sma50,weekly_sma50slope,weekly_price2_sma50pct,weekly_sma10,weekly_sma10slope,weekly_price2_sma10pct,weekly_rsi_14,weekly_price_position_52w,weekly_macd,weekly_macd_signal,weekly_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,weekly_weekly_weekly_1w_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_weekly_weekly_3w_pct_change,weekly_weekly_weekly_5w_pct_change,weekly_weekly_weekly_10w_pct_change,weekly_weekly_weekly_15w_pct_change,weekly_momentum_20,weekly_quarter_pct_change,weekly_avg_volume_20,weekly_volume_trend,obv,obv_trend,weekly_ATH,weekly_ATL,weekly_is_new_ATH,weekly_is_new_ATL,weekly_distance_from_ATH_pct,weekly_distance_from_ATL_pct,weekly_ATH_ATL_position_pct,weekly_candle_strength,weekly_candle_strength_pct,weekly_body_ratio,weekly_upper_wick_ratio,weekly_lower_wick_ratio,weekly_oppression_factor,weekly_candle_type,weekly_is_bullish,total_range,body_size,weekly_wick_dominance,directional_strength,weekly_avg_candle_strength_5,weekly_avg_candle_strength_5_pct,trend_days_10_pct,weekly_priceabovesma10,weekly_priceaboveema20,weekly_priceabovesma50,weekly_sma10vssma20,weekly_sma20vssma50,weekly_at_20day_high,weekly_at_20day_low,weekly_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Utilities
COST,2025-09-01,weekly,963.4800,88,963.9644,-0.8885,981.5098,1.1770,-1.8369,960.0319,1.4798,0.3592,960.8024,-3.7094,0.2787,33.0958,0.7484,-1.6048,3.3616,-4.9664,39.4200,4.0914,960.0319,0.0875,0.0878,0.0000,-1.7839,-2.2497,0.5154,-1.7839,-2.2497,-7.2454,-3.9851,15.7103,9836680.0000,-0.0600,119513300,-599900.0000,1068.9742,649.7333,False,False,-9.8687,48.2885,74.8368,0.7019,70.1900,0.7510,0.1837,0.0654,0.0654,Strong Body,True,33.0500,24.8200,0.2490,0.7510,0.3326,33.2600,33.3333,True,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False
PLTR,2025-09-01,weekly,153.1100,88,155.0891,2.7936,142.3935,3.9954,7.5260,101.3316,2.6652,51.0980,157.5740,3.3550,-2.8330,58.9224,0.8020,18.6053,19.2474,-0.6421,15.9418,10.4120,101.3316,3.2480,4.9076,0.0000,-18.1055,13.9550,-3.5467,-18.1055,13.9550,16.1861,37.1383,435.7243,385423720.0000,0.2838,6626643200,-26801755.0000,186.9600,15.9800,False,False,-18.1055,858.1352,80.2024,0.1106,11.0600,0.1457,0.6133,0.2410,0.2410,Weak Body,True,13.1100,1.9100,0.8543,0.1457,0.3963,39.6300,44.4444,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
ASML,2025-09-01,weekly,781.7000,88,747.6569,2.0231,741.4783,4.4774,5.4245,724.8677,-1.6065,7.8404,747.5770,-1.1916,4.5645,57.3528,0.3772,6.2791,3.4066,2.8725,48.7205,6.2326,724.8677,1.1665,1.2580,0.0000,8.2207,-1.6111,3.5515,8.2207,-1.6111,6.0982,5.4405,-11.8955,7562710.0000,-0.4666,4631100,564640.0000,1075.4083,603.8342,False,False,-27.3113,29.4561,37.7175,0.9494,94.9400,0.9640,0.0209,0.0151,0.0151,Strong Body,True,66.9000,64.4900,0.0360,0.9640,0.4348,43.4800,55.5556,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TMUS,2025-09-01,weekly,252.7600,88,246.0262,1.8941,240.5191,-0.2942,5.0894,237.9319,1.0985,6.2321,243.1895,1.6697,3.9354,55.3527,0.8556,3.4283,2.1328,1.2956,11.8756,4.6984,237.9319,1.2486,1.3264,0.0000,3.1758,4.9886,0.3215,3.1758,4.9886,4.7452,4.0511,40.7807,20739380.0000,-0.1460,119024900,-1002155.0000,268.9253,156.9720,False,False,-6.0111,61.0223,85.5607,0.1179,11.7900,0.1340,0.7459,0.1201,0.1201,Weak Body,True,7.9100,1.0600,0.8660,0.1340,0.3204,32.0400,44.4444,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
CSCO,2025-09-01,weekly,66.9000,88,67.4216,0.2047,65.4493,0.5539,2.2166,60.9613,0.3859,9.7417,68.2055,0.3020,-1.9141,57.3342,0.8235,2.4000,2.5704,-0.1704,2.8930,4.3244,60.9613,2.0528,2.2527,0.0000,-6.8115,-2.9807,-0.6239,-6.8115,-2.9807,6.7613,13.4899,45.2549,95074670.0000,0.1266,830970900,23994125.0000,71.7900,44.0831,False,False,-6.8115,51.7590,82.3510,0.5295,52.9500,0.6269,0.1554,0.2176,0.1554,Moderate Body,False,1.9300,1.2100,0.3731,0.6269,0.6542,65.4200,55.5556,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False
AMD,2025-09-01,weekly,151.1400,88,156.7300,2.4979,137.6095,3.5548,9.8325,129.7658,0.3426,16.4714,161.1290,4.3334,-6.1994,69.2410,0.5375,13.1606,10.4913,2.6692,14.2744,9.4445,129.7658,1.4974,1.7440,0.0000,-12.5145,9.5932,-9.9070,-12.5145,9.5932,36.4942,58.2061,-0.2903,241937380.0000,0.0254,5286330100,123373385.0000,207.3900,85.7600,False,False,-27.1228,76.2360,53.7532,0.2826,28.2600,0.4997,0.4345,0.0659,0.4345,Moderate Body,False,14.5700,7.2800,0.5003,0.4997,0.3167,31.6700,66.6667,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
AZN,2025-09-01,weekly,81.7000,88,76.4356,1.1020,72.6069,0.4615,12.5237,70.8446,-0.0422,15.3228,74.8304,0.7468,9.1803,67.4696,0.8434,2.3520,1.0821,1.2699,3.3887,4.1477,70.8446,3.2034,3.6943,0.0000,11.8534,18.4567,0.9016,11.8534,18.4567,12.9592,13.9700,6.6651,21703135.0000,-0.3777,136891800,7228455.0000,85.7895,59.6700,False,False,-4.7669,36.9196,84.3431,0.5284,52.8400,0.6174,0.2383,0.1443,0.1443,Moderate Body,True,2.9800,1.8400,0.3826,0.6174,0.5501,55.0100,66.6667,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
PDD,2025-09-01,weekly,124.6800,88,116.9160,1.7074,110.8350,0.6973,12.4915,112.5610,0.3242,10.7666,115.1230,2.0236,8.3016,72.7655,0.5096,2.8288,0.4730,2.3557,10.0864,8.0898,112.5610,1.2015,1.3309,0.0000,9.1196,20.3591,-1.9117,9.1196,20.3591,29.1887,7.7997,-6.2838,36413485.0000,0.1706,-164425000,9089055.0000,157.5700,90.5000,False,False,-20.8733,37.7680,50.9617,0.6228,62.2800,0.6765,0.2442,0.0793,0.0793,Moderate Body,True,7.8200,5.2900,0.3235,0.6765,0.5347,53.4700,77.7778,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
QCOM,2025-09-01,weekly,158.9355,88,155.8803,0.5014,152.3780,0.7352,4.3034,155.9352,-0.1801,1.9241,156.3236,0.4983,1.6708,62.2356,0.3838,0.8849,-0.3214,1.2064,9.6322,6.0604,155.9352,0.3115,0.3175,0.0000,7.7091,-2.0187,0.5857,7.7091,-2.0187,10.1172,7.5803,-12.7714,38765285.0000,-0.1889,264931500,-833715.0000,210.6996,126.6989,False,False,-24.5677,25.4435,38.3766,0.1408,14.0800,0.2239,0.4047,0.3714,0.3714,Weak Body,True,8.9690,2.0086,0.7761,0.2239,0.3607,36.0700,44.4444,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
ISRG,2025-09-01,weekly,466.8600,88,487.8463,-5.2394,513.4560,-0.4559,-9.0750,522.9354,-0.2416,-10.7232,492.0790,-5.9602,-5.1250,28.4858,0.5287,-13.8569,-7.6368,-6.2201,30.5225,6.5378,522.9354,-1.8372,-1.6402,0.0000,-0.6850,-14.2542,-1.9531,-0.6850,-14.2542,-15.4760,-11.8122,2.6043,8913190.0000,-0.0090,28169500,-1762890.0000,595.5500,322.5000,False,False,-21.6086,44.7628,52.8694,0.0927,9.2700,0.0980,0.0532,0.8488,0.0532,Doji,False,37.7700,3.7000,0.9020,0.0980,0.3729,37.2900,22.2222,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
