ticker,date,timeframe,current_price,data_points,daily_ema10,daily_ema10slope,daily_ema20,daily_ema20slope,daily_sma10,daily_sma10slope,daily_price2_sma10pct,daily_sma20,daily_sma20slope,daily_price2_sma20pct,daily_sma50,daily_sma50slope,daily_price2_sma50pct,daily_sma200,daily_sma200slope,daily_price2_sma200pct,daily_sma250,daily_sma250slope,daily_price2_sma250pct,daily_sma350,daily_sma350slope,daily_price2_sma350pct,daily_rsi_14,daily_price_position_52w,daily_macd,daily_macd_signal,daily_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,atr_percentile_100,daily_daily_daily_1d_pct_change,daily_5period_pct_change,daily_10period_pct_change,daily_daily_daily_3d_pct_change,daily_daily_daily_5d_pct_change,daily_daily_weekly_7d_pct_change,daily_daily_weekly_14d_pct_change,daily_daily_monthly_22d_pct_change,daily_daily_monthly_44d_pct_change,daily_daily_quarterly_66d_pct_change,daily_daily_quarterly_132d_pct_change,daily_daily_yearly_252d_pct_change,daily_momentum_20,daily_quarter_pct_change,daily_half_year_pct_change,daily_year_pct_change,daily_avg_volume_20,daily_volume_trend,obv,obv_trend,daily_ATH,daily_ATL,daily_is_new_ATH,daily_is_new_ATL,daily_distance_from_ATH_pct,daily_distance_from_ATL_pct,daily_ATH_ATL_position_pct,daily_candle_strength,daily_candle_strength_pct,daily_body_ratio,daily_upper_wick_ratio,daily_lower_wick_ratio,daily_oppression_factor,daily_candle_type,daily_is_bullish,total_range,body_size,daily_wick_dominance,directional_strength,daily_avg_candle_strength_5,daily_avg_candle_strength_5_pct,trend_days_10_pct,daily_priceabovesma10,daily_priceaboveema20,daily_priceabovesma50,daily_sma10vssma20,daily_sma20vssma50,daily_sma50vssma200,daily_perfectbullishalignment,daily_at_20day_high,daily_at_20day_low,daily_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Utilities
QCOM,2025-09-05,daily,159.8400,421,158.4525,0.1729,157.2638,0.2153,158.8722,0.2396,0.6092,156.7616,0.6040,1.9638,156.3168,0.0993,2.2539,154.7527,-0.0188,3.2874,156.9084,-0.0203,1.8684,164.1135,-0.0285,-2.6040,54.2286,0.7017,1.3665,1.0945,0.2720,3.7389,2.3392,156.3168,0.9423,0.9635,0.4000,-0.1499,-0.5537,1.1582,2.2060,-0.5537,0.0438,0.5916,9.5996,1.1070,7.9630,4.6796,-1.1959,4.0071,0.2257,1.8045,-1.1959,6931195.0000,0.1548,79324000,1221310.0000,222.2067,123.9156,False,False,-28.0670,28.9910,36.5490,0.0119,1.1900,0.0553,0.7857,0.1590,0.7857,Doji,False,4.3400,0.2400,0.9447,0.0553,0.3198,31.9800,55.5556,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
ISRG,2025-09-05,daily,466.8600,421,465.5245,-1.8387,472.0491,-1.4982,466.8780,-1.7228,-0.0039,471.9700,-0.8242,-1.0827,495.0284,-1.0949,-5.6903,527.1163,-0.3788,-11.4313,521.3274,-0.0934,-10.4478,494.5429,0.2066,-5.5977,43.2241,0.1517,-9.0030,-8.7128,-0.2902,11.9535,2.5604,495.0284,-2.3565,-2.2224,0.2700,2.6449,-1.3607,-1.9531,5.8208,-1.3607,-0.9105,-2.9962,-1.5188,-12.6891,-15.4009,-17.1896,-3.0868,-3.1359,-10.6334,-4.4885,-3.0868,2107305.0000,0.5840,26705700,189105.0000,610.4500,322.1300,False,False,-23.5220,44.9291,50.1977,0.9072,90.7200,0.9107,0.0855,0.0038,0.0038,Strong Body,True,13.2100,12.0300,0.0893,0.9107,0.5152,51.5200,44.4444,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
APP,2025-09-05,daily,490.2400,421,474.8855,4.9224,454.6300,4.3841,474.6260,6.3384,3.2897,456.7760,4.5786,7.3261,399.3332,2.9805,22.7646,350.5546,1.0040,39.8470,311.4447,1.5914,57.4083,245.3893,1.1732,99.7805,67.5709,0.9533,25.8546,23.2508,2.6038,23.9156,4.8783,399.3332,3.8011,4.6665,0.7500,-3.1146,2.4342,10.9944,0.5930,2.4342,5.8971,11.7891,25.5191,42.0985,23.0182,52.9658,457.8516,7.4761,27.8565,59.7654,457.8516,5441770.0000,0.2087,321118900,756040.0000,510.1300,38.1100,False,False,-3.8990,1186.3815,95.7862,0.3936,39.3600,0.4140,0.0491,0.5369,0.0491,Moderate Body,False,38.0700,15.7600,0.5860,0.4140,0.1862,18.6200,66.6667,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
AMGN,2025-09-05,daily,283.6400,421,286.2007,-0.7989,288.7536,-0.5974,286.7570,-1.0450,-1.0870,288.9980,-0.4605,-1.8540,293.2040,0.0519,-3.2619,285.7931,-0.0833,-0.7534,291.3754,-0.1502,-2.6548,294.2834,0.0743,-3.6167,31.4970,0.3924,-2.7810,-1.8872,-0.8938,5.5475,1.9558,293.2040,-1.7240,-1.6678,0.0400,1.3724,-1.4146,-3.4318,-0.0740,-1.4146,-1.5036,-3.0688,-0.3618,-3.1780,-2.0479,-6.4330,-12.0599,-1.0919,-2.7998,-9.7813,-12.0599,1905365.0000,0.2804,24008800,-168870.0000,329.1125,252.7439,False,False,-13.8167,12.2243,40.4566,0.5329,53.2900,0.6105,0.2623,0.1272,0.1272,Moderate Body,True,6.2900,3.8400,0.3895,0.6105,0.3820,38.2000,33.3333,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False
LULU,2025-09-05,daily,167.8000,421,195.9033,-1.2724,199.5848,-0.7712,199.8040,-0.4242,-16.0177,197.9280,0.0233,-15.2217,212.9712,-0.6852,-21.2100,300.7479,-0.6316,-44.2058,297.6040,-0.2488,-43.6163,298.1962,-0.4461,-43.7283,31.3549,0.0000,-5.3695,-4.8055,-0.5640,8.8675,5.2846,212.9712,-5.0940,-4.0136,0.4200,1.6108,-17.0129,-19.1676,-15.4788,-17.0129,-18.3733,-17.5916,-14.6099,-29.3682,-49.8970,-53.6669,-34.3274,1.0731,-33.4866,-48.6991,-34.3274,5795735.0000,3.1271,-69263900,-882365.0000,505.3800,167.8000,False,True,-66.7973,0.0000,0.0000,0.1973,19.7300,0.2180,0.6869,0.0951,0.0951,Weak Body,True,12.2000,2.6600,0.7820,0.2180,0.2603,26.0300,33.3333,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False
QQQ,2025-09-05,daily,576.0600,421,572.4064,-0.0215,571.0088,0.1163,572.2850,0.0894,0.6596,573.1720,0.4257,0.5039,564.6160,0.7606,2.0269,518.8459,0.3063,11.0272,512.3116,0.4321,12.4433,496.9027,0.3819,15.9301,48.7938,0.9740,2.6304,3.1785,-0.5482,6.7869,1.1782,564.6160,1.6862,1.7204,0.4200,-0.7631,0.9923,0.7151,1.0507,0.9923,0.4481,-0.1819,1.5406,4.3530,9.3698,15.4511,25.7705,-1.0493,8.3201,19.6361,25.7705,47428120.0000,0.4354,1403641800,-3391555.0000,580.3400,392.9111,False,False,-0.7375,46.6133,97.7165,0.4316,43.1600,0.4619,0.0657,0.4724,0.0657,Moderate Body,False,9.5900,4.4300,0.5381,0.4619,0.4252,42.5200,66.6667,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPY,2025-09-05,daily,647.2400,421,644.8342,0.2754,642.0218,0.4329,645.3910,0.5042,0.2865,642.9875,0.7953,0.6614,633.1424,0.8856,2.2266,593.0548,0.2687,9.1366,588.2492,0.3879,10.0282,571.2756,0.3911,13.2973,54.1019,0.9878,4.3021,4.6458,-0.3436,5.6496,0.8729,633.1424,2.4953,2.5509,0.3100,-0.6508,0.3395,0.2991,0.5437,0.3395,0.0943,0.6125,2.2851,4.2792,8.9019,11.2907,18.9403,0.6174,7.9476,14.8032,18.9403,65347950.0000,0.2718,1686188400,-5573710.0000,649.1200,458.6224,False,False,-0.2896,41.1270,99.0131,0.4382,43.8200,0.4775,0.0822,0.4403,0.0822,Moderate Body,False,8.8800,4.2400,0.5225,0.4775,0.3991,39.9100,55.5556,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IWM,2025-09-05,daily,237.7700,421,234.2148,0.5345,231.1983,0.5698,235.0730,0.8884,1.1473,230.5135,0.8120,3.1480,224.8490,0.4801,5.7465,215.7423,0.0022,10.2102,216.5082,0.0897,9.8203,213.0671,0.1014,11.5940,70.6361,0.9591,3.8508,3.4739,0.3769,3.4283,1.4418,224.8490,3.7689,3.9855,0.2800,0.0210,1.1056,1.2520,1.7546,1.1056,0.7756,4.3034,7.8029,8.2101,14.0637,12.5112,12.9113,4.4584,11.6077,16.3118,12.9113,33152635.0000,0.0693,365567400,2442650.0000,240.4764,174.3380,False,False,-1.1254,36.3845,95.9080,0.0044,0.4400,0.0106,0.4038,0.5856,0.5856,Doji,True,4.7300,0.0500,0.9894,0.0106,0.3550,35.5000,55.5556,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
MAGS,2025-09-05,daily,61.2100,421,60.3599,0.0831,59.8378,0.0862,60.3180,0.0960,1.4788,60.0895,0.1208,1.8647,58.1050,0.1320,5.3438,53.0386,0.0441,15.4066,51.8643,0.0678,18.0196,49.2474,0.0603,24.2909,54.4458,0.9942,0.7608,0.7669,-0.0061,0.9534,1.5575,58.1050,3.2569,3.4309,0.4300,-0.4715,2.3750,2.3407,1.0733,2.3750,1.4418,1.4755,4.2050,11.1696,15.7964,22.1269,42.6072,0.1958,14.3257,29.7097,42.6072,2157435.0000,0.3076,35868700,-164165.0000,61.3300,32.0080,False,False,-0.1957,91.2334,99.5907,0.2258,22.5800,0.2843,0.2059,0.5098,0.2059,Weak Body,False,1.0200,0.2900,0.7157,0.2843,0.3802,38.0200,66.6667,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,
XLK,2025-09-05,daily,262.8600,421,262.6084,-0.2156,262.5656,-0.0867,262.7370,-0.0650,0.0468,263.7005,0.0328,-0.3187,260.6366,0.3531,0.8531,234.2790,0.1360,12.1996,232.4055,0.1995,13.1040,227.0257,0.1632,15.7842,44.6495,0.9387,0.6114,1.1204,-0.5091,3.7720,1.4350,260.6366,0.5894,0.5945,0.4600,-0.8562,0.1562,0.1677,0.5778,0.1562,-0.6013,-1.2807,-0.0722,3.1147,11.3536,18.4950,26.2291,-1.8879,9.5513,22.4332,26.2291,7899285.0000,0.9222,256611400,610940.0000,268.3100,179.4326,False,False,-2.0312,46.4951,93.8679,0.4415,44.1500,0.4504,0.0198,0.5298,0.0198,Moderate Body,False,5.0400,2.2700,0.5496,0.4504,0.3967,39.6700,66.6667,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
