Date,Beverages: non-alcoholic,Cable/Satellite TV,Electric utilities,Information technology services,Internet software/Services,Medical specialties,Packaged software,Pharmaceuticals: major,Semiconductors,Specialty stores
2024-01-01 00:00:00-05:00,51.3584,105.6432,81.8832,149.7596,210.6769,311.2043,324.5200,277.9169,103.8792,505.0838
2024-01-08 00:00:00-05:00,52.7829,104.1754,79.5364,158.6724,221.7858,335.4655,342.3763,284.8332,109.3483,525.8577
2024-01-15 00:00:00-05:00,52.0635,105.6474,78.8050,161.1067,225.8437,340.0258,351.4877,283.7287,118.4823,535.5327
2024-01-22 00:00:00-05:00,51.7017,108.7108,81.5181,162.8810,238.2377,339.5271,356.1003,283.6380,122.8294,529.3600
2024-01-29 00:00:00-05:00,51.7711,95.8315,84.9998,165.5366,251.2301,345.2756,362.6263,282.2509,126.7337,546.7168
2024-02-05 00:00:00-05:00,51.0999,88.0262,85.1661,171.6911,253.9097,356.8764,371.5492,281.0334,135.4572,557.7868
2024-02-12 00:00:00-05:00,50.9030,87.9363,86.3804,169.7907,251.2876,348.3495,357.5675,280.1845,134.5234,558.3299
2024-02-19 00:00:00-05:00,51.0796,89.4987,88.0052,171.8907,256.1519,359.0100,361.7797,287.8583,139.8854,569.0658
2024-02-26 00:00:00-05:00,52.5761,88.7459,101.1345,167.9698,259.1869,364.9698,366.7823,288.4626,148.7028,578.1766
2024-03-04 00:00:00-05:00,53.0401,86.6575,101.6541,158.6353,258.3639,360.1275,358.4039,283.1880,150.1381,560.3693
2024-03-11 00:00:00-04:00,53.6090,88.1826,99.4607,157.8307,257.3648,356.0411,361.7402,280.9054,145.6627,560.8278
2024-03-18 00:00:00-04:00,53.5591,88.1389,104.8786,162.0514,271.0649,355.2168,373.0449,283.0622,153.6032,568.3897
2024-03-25 00:00:00-04:00,53.3130,88.5605,108.6246,160.7279,264.1879,360.5878,367.1285,283.6413,150.5254,566.3968
2024-04-01 00:00:00-04:00,51.7598,82.1624,111.3179,159.6153,277.1120,350.2681,368.7410,277.4473,148.9564,551.9765
2024-04-08 00:00:00-04:00,50.7942,79.9472,110.1237,154.6904,275.8495,343.6576,364.9924,270.1897,147.9801,564.6364
2024-04-15 00:00:00-04:00,50.2905,81.4762,106.7763,148.5535,260.8654,328.0043,346.0853,268.1370,131.2194,548.2246
2024-04-22 00:00:00-04:00,52.0875,78.1887,109.8194,149.1003,263.8818,337.0440,353.9430,271.3069,145.9948,562.7243
2024-04-29 00:00:00-04:00,52.9047,80.6107,113.2298,146.0441,264.2041,336.8927,354.1426,283.8563,144.8174,574.2884
2024-05-06 00:00:00-04:00,53.7231,83.0320,122.1351,143.0897,273.1788,345.6683,360.4804,291.9478,148.5665,606.8394
2024-05-13 00:00:00-04:00,53.4852,82.4628,122.1000,148.6180,278.0636,359.2241,366.4613,298.6217,152.7393,613.2181
2024-05-20 00:00:00-04:00,52.5922,81.6400,127.5626,136.9002,280.8807,357.3105,372.1087,302.0544,163.9332,623.3696
2024-05-27 00:00:00-04:00,52.4518,85.9092,122.9884,131.7543,275.8544,351.0410,357.9747,301.0214,163.9407,623.1575
2024-06-03 00:00:00-04:00,53.0894,83.1031,114.6576,133.3176,283.6432,359.8724,366.2657,311.8578,175.2017,650.1934
2024-06-10 00:00:00-04:00,50.8197,81.8958,121.0337,131.1596,289.6765,365.9491,382.4806,316.2204,188.8595,658.0295
2024-06-17 00:00:00-04:00,51.5966,85.4744,121.9880,135.9485,290.2650,368.8932,389.6110,315.0845,184.6435,653.3752
2024-06-24 00:00:00-04:00,51.1378,87.7331,115.0281,136.5720,293.5796,374.1979,389.4085,314.6471,181.0591,654.3585
2024-07-01 00:00:00-04:00,51.1805,87.4928,119.2628,137.8292,308.8832,373.2622,405.4783,312.9207,187.7992,680.8601
2024-07-08 00:00:00-04:00,51.7104,89.9140,122.7390,139.7717,292.4496,375.1349,394.0609,326.9690,190.8129,648.9809
2024-07-15 00:00:00-04:00,51.7090,93.1531,112.6161,139.1397,281.6649,376.9540,379.5475,321.8928,170.6642,645.1001
2024-07-22 00:00:00-04:00,52.1411,102.7601,108.0667,139.1834,271.7953,364.0676,369.2693,323.8786,165.7865,630.3332
2024-07-29 00:00:00-04:00,52.9824,104.0437,106.9001,131.8321,275.4664,370.1189,354.3976,326.0180,153.8085,634.9186
2024-08-05 00:00:00-04:00,50.0615,101.5182,114.4398,135.8649,282.1124,380.5793,355.3890,326.5695,156.4227,659.4368
2024-08-12 00:00:00-04:00,51.3617,99.5862,114.9126,145.6536,286.7744,392.2292,367.1675,337.6657,176.3572,671.1941
2024-08-19 00:00:00-04:00,52.0704,98.8476,117.4782,156.2270,289.7941,395.9374,366.0796,342.8354,179.4238,677.7717
2024-08-26 00:00:00-04:00,53.0145,98.4122,118.8758,157.7760,287.4731,397.8485,367.2445,344.6689,172.7812,687.8389
2024-09-02 00:00:00-04:00,53.8094,94.1344,110.2010,152.4067,271.2685,383.7740,352.5405,327.7793,148.2638,675.6147
2024-09-09 00:00:00-04:00,55.1738,96.9550,120.3178,152.0426,284.0061,399.9236,375.4946,332.0031,168.5018,705.3292
2024-09-16 00:00:00-04:00,55.1560,95.2190,143.4835,152.3606,297.5317,399.3512,379.6172,326.3133,166.7485,698.4724
2024-09-23 00:00:00-04:00,55.1536,95.3120,144.3087,151.4008,300.3095,395.9455,373.5221,310.4208,173.5429,682.8461
2024-09-30 00:00:00-04:00,53.9542,94.9642,155.1254,150.6211,310.2550,391.4721,365.6791,303.8557,175.7668,681.1231
2024-10-07 00:00:00-04:00,54.0921,95.1031,146.6400,151.5791,306.9110,392.9769,368.7774,310.4251,183.3655,686.1792
2024-10-14 00:00:00-04:00,55.6381,95.4739,149.2931,152.1410,306.6834,411.7015,368.8535,307.7133,177.9786,686.6519
2024-10-21 00:00:00-04:00,54.4919,97.4472,146.3274,148.8155,306.6780,404.4367,374.9886,295.9559,178.3394,687.5495
2024-10-28 00:00:00-04:00,52.8768,105.1085,143.6355,145.2661,309.0184,394.8506,364.3313,279.1073,171.5758,676.5514
2024-11-04 00:00:00-05:00,54.3335,111.1671,136.0860,158.1735,322.4021,415.5318,382.9512,283.5046,182.7182,728.6648
2024-11-11 00:00:00-05:00,52.4766,109.6644,130.8757,156.5597,312.6137,408.1555,377.4905,260.0535,172.0513,700.9954
2024-11-18 00:00:00-05:00,54.7137,109.8940,141.7827,159.5415,315.0667,419.3400,381.6648,255.1940,173.3538,744.5529
2024-11-25 00:00:00-05:00,54.9891,111.5961,145.3374,154.1733,320.2983,417.2840,386.0876,262.1751,171.5144,750.7081
2024-12-02 00:00:00-05:00,53.8078,112.8729,142.4358,161.8623,339.7792,424.5482,403.4056,264.9867,178.1065,766.3672
2024-12-09 00:00:00-05:00,54.5853,106.1983,135.4353,163.1932,347.8016,417.3698,400.6701,257.3449,181.8760,763.9745
2024-12-16 00:00:00-05:00,52.7517,99.0114,130.5438,162.3724,338.9859,404.7985,391.8974,236.8765,179.1905,736.5955
2024-12-23 00:00:00-05:00,53.4591,98.2220,130.4933,159.8393,342.9510,411.6046,387.1858,241.7944,185.4129,725.5603
2024-12-30 00:00:00-05:00,53.0959,100.0842,140.5608,155.0182,341.8524,412.1639,381.9611,242.2795,188.6405,708.0835
2025-01-06 00:00:00-05:00,50.9968,94.2261,161.2648,153.8428,341.5313,420.0386,375.2622,240.0468,183.1031,723.2435
2025-01-13 00:00:00-05:00,52.1696,97.9774,167.6444,154.8769,345.8420,447.8900,384.7484,240.0949,189.3951,728.2621
2025-01-20 00:00:00-05:00,51.4667,102.1341,180.2341,159.9313,364.8465,446.5887,397.2808,244.9845,192.7496,726.0794
2025-01-27 00:00:00-05:00,52.4234,95.0491,161.5605,163.5546,377.3704,436.6926,379.0605,250.5310,174.5913,756.8109
2025-02-03 00:00:00-05:00,51.6392,95.9453,166.0746,169.0309,374.0060,450.1622,377.6679,258.2149,180.1262,805.2324
2025-02-10 00:00:00-05:00,54.3639,99.2154,170.0371,166.2548,382.4852,455.5584,382.6655,251.2873,188.5919,827.3705
2025-02-17 00:00:00-05:00,57.3222,99.9689,158.3212,163.6419,361.5696,454.6367,374.2221,261.4938,183.3788,799.2005
2025-02-24 00:00:00-05:00,57.5913,100.3827,145.4891,164.0622,349.5576,440.2115,364.1280,262.0994,170.9719,810.0322
2025-03-03 00:00:00-05:00,56.6086,104.7377,129.1673,156.9184,335.6949,405.0181,358.0602,266.5315,163.5715,745.7870
2025-03-10 00:00:00-04:00,56.9745,97.3824,131.6095,151.4482,327.7372,380.8807,353.1901,264.0123,167.4244,700.2380
2025-03-17 00:00:00-04:00,58.3562,100.8717,133.8267,153.3578,327.1886,386.9760,356.9373,260.9742,164.4617,704.4723
2025-03-24 00:00:00-04:00,59.0430,101.8248,127.7097,148.3345,313.8825,384.8559,346.1931,254.7216,152.7676,720.7214
2025-03-31 00:00:00-04:00,58.1060,93.0095,113.1576,133.5716,285.1402,353.7138,324.5660,237.5353,131.7531,710.5293
2025-04-07 00:00:00-04:00,59.7099,92.5821,128.4963,141.9725,306.7766,379.2084,350.3482,235.3597,153.1207,746.3763
2025-04-14 00:00:00-04:00,60.6699,93.7458,128.9309,139.7489,296.4837,376.6346,336.0162,238.6910,143.5418,769.8218
2025-04-21 00:00:00-04:00,60.0924,101.0092,134.8344,149.2787,324.2211,401.3473,359.4458,246.6384,157.3916,756.3842
2025-04-28 00:00:00-04:00,61.2163,103.7327,145.1106,156.0432,341.9316,417.6976,392.8026,250.6209,162.2821,780.5242
2025-05-05 00:00:00-04:00,61.3233,107.1810,153.7674,158.4000,332.5575,425.7342,396.0500,218.7324,165.7449,780.8848
2025-05-12 00:00:00-04:00,61.8540,113.3165,161.5906,167.2137,356.4084,447.1193,412.2370,232.5631,185.7150,794.7150
2025-05-19 00:00:00-04:00,62.4189,108.3108,163.7973,153.5492,353.7964,429.2183,410.1999,232.0141,180.7267,780.6845
2025-05-26 00:00:00-04:00,63.5622,106.3765,167.5004,156.6580,362.5057,439.2756,419.6690,220.9167,185.8085,804.3488
2025-06-02 00:00:00-04:00,63.5241,106.4741,163.6583,159.0285,378.6332,444.4025,428.6936,223.4792,193.3063,785.2815
2025-06-09 00:00:00-04:00,63.3087,105.0844,163.1228,153.6404,373.7285,416.8076,428.8811,230.6040,195.4634,766.1678
2025-06-16 00:00:00-04:00,63.3950,104.3617,165.8669,150.4878,369.5498,415.0218,429.1318,221.6784,197.2443,758.5889
2025-06-23 00:00:00-04:00,62.1713,108.0362,172.3939,152.5961,396.2110,431.9094,443.8622,223.3084,212.8175,762.1853
2025-06-30 00:00:00-04:00,64.6658,111.7982,169.5268,156.1702,392.2016,440.9980,448.4669,231.4444,215.4267,764.0462
2025-07-07 00:00:00-04:00,62.4640,106.2593,173.8929,145.9984,389.1452,419.1441,447.9911,237.5528,218.9810,751.3301
2025-07-14 00:00:00-04:00,62.9358,104.0064,174.6294,151.7750,386.4955,419.8307,455.2703,230.0417,222.6933,736.6831
2025-07-21 00:00:00-04:00,64.5069,88.4276,178.0826,154.9015,391.7062,416.0956,460.4615,237.8177,222.6313,725.9049
2025-07-28 00:00:00-04:00,63.0084,78.1601,184.6321,143.0429,396.2475,401.2223,465.5754,236.2275,220.4048,738.9039
2025-08-04 00:00:00-04:00,65.0203,75.6214,182.4611,134.2762,412.8025,415.7243,466.5883,214.4497,230.8240,762.1477
2025-08-11 00:00:00-04:00,63.9156,79.2530,176.7693,137.4262,419.8570,420.8809,463.6507,226.9427,230.9241,755.1792
2025-08-18 00:00:00-04:00,64.4444,78.8570,174.4342,138.6152,405.5698,419.1458,450.8601,229.7673,225.1463,772.6518
2025-08-25 00:00:00-04:00,61.5782,80.8207,172.8120,136.8349,413.1936,411.7399,449.5874,225.1950,228.9662,732.4042
2025-08-27 00:00:00-04:00,60.6222,79.8112,174.8250,139.0240,411.4160,413.2728,451.9503,227.4969,232.1820,738.6778
2025-08-29 00:00:00-04:00,60.8351,79.0897,170.9679,139.5481,411.6833,415.5026,453.0978,226.8272,225.5465,733.9477
2025-09-01 00:00:00-04:00,60.7398,78.2680,167.6992,140.1784,431.8422,411.7046,444.9471,228.3778,229.6073,749.3563
2025-09-05 00:00:00-04:00,60.7398,78.2680,167.6992,140.1784,431.8583,411.7046,444.9471,228.3778,229.6073,749.3563
