ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,daily,2025-08-07,Long,239.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,219.7806,9.0588,29,205.3787,212.5797,208.9792,True,54837300,34.0588,1.1487,0.5254,9.0588
ABBV,daily,2025-06-11,Long,212.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,189.8602,11.9561,86,176.0486,182.9544,179.5015,True,4465400,35.0000,2.1415,1.1408,11.9561
ACN,daily,2025-08-22,Long,254.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,259.2200,-1.6473,14,240.0768,249.6484,244.8626,True,4235900,25.0000,4.5300,1.7786,-1.6473
AFRM,daily,2025-04-25,Long,87.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,49.0900,77.9385,133,36.7790,42.9345,39.8568,True,9263900,35.0000,0.4420,0.9086,77.9385
AMD,daily,2025-08-21,Short,151.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,163.7100,-7.6782,15,184.5363,174.1231,179.3297,False,77964300,32.6782,2.1500,-1.2963,-7.6782
AMGN,daily,2025-08-06,Short,283.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,284.6700,-0.3618,30,306.2179,295.4439,300.8309,False,2299400,25.3618,10.8400,-3.6682,-0.3618
AMZN,daily,2025-08-14,Long,232.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,230.9800,0.5845,22,215.7440,223.3620,219.5530,True,36694400,25.5845,3.5800,1.5743,0.5845
ANET,daily,2025-06-26,Long,142.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,101.5900,40.6142,71,90.0442,95.8171,92.9307,True,9565100,35.0000,4.2600,4.3769,40.6142
APP,daily,2025-07-31,Long,490.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,390.7000,25.4773,36,336.1640,363.4320,349.7980,True,8139600,35.0000,10.7000,2.8158,25.4773
ASML,daily,2025-08-13,Long,781.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,755.5700,3.4583,23,701.6023,728.5862,715.0942,True,1885900,28.4583,4.9400,0.6581,3.4583
AVGO,daily,2025-04-09,Long,334.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,184.7152,81.3007,149,149.4708,167.0930,158.2819,True,78335000,35.0000,24.5921,15.3583,81.3007
AZN,daily,2025-07-23,Long,81.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,72.4958,12.6961,44,68.5065,70.5012,69.5039,True,2464400,35.0000,0.8243,1.1501,12.6961
BAC,daily,2025-08-14,Long,49.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,47.7100,4.3178,22,44.9598,46.3349,45.6474,True,40059900,29.3178,0.6200,1.3166,4.3178
BRK-B,daily,2025-08-19,Long,499.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,485.3100,2.9795,17,464.5799,474.9449,469.7624,True,4218800,27.9795,5.5400,1.1547,2.9795
BSX,daily,2025-06-26,Long,107.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,104.5800,2.5244,71,98.8103,101.6952,100.2528,True,4062400,27.5244,0.0100,0.0096,2.5244
C,daily,2025-04-24,Long,95.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,67.1775,42.0119,134,57.9284,62.5530,60.2407,True,17019200,35.0000,1.8726,2.8675,42.0119
COST,daily,2025-08-25,Short,963.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,941.5800,2.3259,11,989.5742,965.5771,977.5757,False,1926800,25.0000,13.3800,-1.4011,2.3259
CSCO,daily,2025-08-15,Short,66.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,66.2000,1.0574,21,70.4184,68.3092,69.3638,False,21048200,25.0000,2.2500,-3.2871,1.0574
CVX,daily,2025-09-05,Short,153.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,153.6600,0.0000,0,162.0150,157.8375,159.9262,False,11007800,40.0000,2.4000,-1.5379,0.0000
FE,daily,2025-07-22,Long,43.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,41.1541,5.6518,45,39.3820,40.2680,39.8250,True,2504100,30.6518,0.2969,0.7268,5.6518
GE,daily,2025-06-27,Long,279.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,254.1389,9.8730,70,236.6211,245.3800,241.0005,True,4950600,34.8730,2.6561,1.0562,9.8730
GEV,daily,2025-09-02,Short,582.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,579.6800,0.4140,3,649.1762,614.4281,631.8021,False,3473400,34.0000,10.8700,-1.8407,0.4140
GOOG,daily,2025-07-03,Long,235.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,180.5500,30.2520,64,166.7339,173.6420,170.1879,True,26106200,35.0000,0.7300,0.4060,30.2520
