ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,monthly,2025-06-30,Long,239.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.3079,12.3681,67,180.5731,196.9405,188.7568,True,54870397,35.0000,11.5269,5.7126,12.3681
ABBV,monthly,2022-12-01,Long,212.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,145.8378,45.7510,1009,115.1470,130.4924,122.8197,True,2995322,35.0000,0.5505,0.3789,45.7510
ACN,monthly,2025-07-01,Short,254.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,265.7708,-4.0715,66,392.5372,329.1540,360.8456,False,4235396,29.0715,30.8656,-10.4052,-4.0715
AMD,monthly,2025-09-01,Short,151.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,151.1400,0.0000,4,183.9687,167.5543,175.7615,False,78255950,32.0000,7.2800,-4.5954,0.0000
AMGN,monthly,2025-08-29,Short,283.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,287.7100,-1.4146,7,303.2062,295.4581,299.3322,False,2299366,29.4146,1.9100,0.6683,-1.4146
AMZN,monthly,2025-05-26,Long,232.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,205.0100,13.3262,102,173.0227,189.5964,181.3095,True,35563206,35.0000,1.9200,0.9454,13.3262
ANET,monthly,2022-12-01,Long,142.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,30.3375,370.8694,1009,18.0525,26.4388,22.2456,True,8833552,35.0000,4.6750,-13.3524,370.8694
ASML,monthly,2025-09-05,Long,781.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,781.7000,0.0000,0,717.2930,735.0652,726.1791,True,1863915,40.0000,6.8200,0.8801,0.0000
AVGO,monthly,2025-05-05,Long,334.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,207.7111,61.2287,123,145.9737,176.8424,161.4081,True,78401554,35.0000,7.9313,3.9700,61.2287
AZN,monthly,2025-08-04,Long,81.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,73.0420,11.8534,32,66.2043,68.3160,67.2601,True,2464583,35.0000,0.2185,0.3000,11.8534
BAC,monthly,2024-03-01,Long,49.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,36.7891,35.2845,553,26.5981,31.6936,29.1459,True,33973558,35.0000,3.2889,9.8175,35.2845
BRK-B,monthly,2025-08-29,Long,499.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,502.9800,-0.6382,7,454.6049,478.7924,466.6987,True,4216984,28.0000,2.1300,0.4253,-0.6382
BSX,monthly,2022-12-01,Long,107.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,46.2700,131.7268,1009,35.6000,40.9350,38.2675,True,4062435,35.0000,0.7700,1.6923,131.7268
C,monthly,2022-12-01,Long,95.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,40.7980,133.8351,1009,27.1580,35.1624,31.1602,True,13567603,35.0000,2.7511,-6.3173,133.8351
COST,monthly,2025-07-14,Short,963.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,949.6344,1.4580,53,1043.2973,996.4658,1019.8816,False,1839526,25.0000,20.1221,-2.0750,1.4580
