Stage_1,Stage_2,Stage_3
Bullish Trend,Bullish Fade,Launch Pad
2A,3A,LP
MAGS,^BFX,^FCHI
^BUK100P,,^GDAXI
^DJI,,^N100
^FTSE,,^STOXX50E
^HSI,,
^IXIC,,
^NYA,,
^RUT,,
^STI,,
^XAX,,
