signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,59.04999923706055,59.04999923706055,0.0,,58.54666646321615
2,2024-02-05,1,55.65999984741211,55.65999984741211,21.11547124389393,55.48333231608073,55.787300957573784
3,2024-11-04,2,54.13999938964844,54.13999938964844,10.040153874672725,53.269999186197914,53.39650239293175
4,2024-11-18,3,54.060001373291016,54.060001373291016,0.42373840235347365,53.40000025431315,53.379126284878446
5,2025-02-10,4,49.25,49.25,20.1856015010975,48.176666259765625,48.51443551730441
6,2025-04-07,5,58.150001525878906,58.150001525878906,2.3952642934073127,57.696667989095054,57.564901533488154
7,2025-06-30,6,63.08000183105469,63.08000183105469,14.333343505859172,62.62666702270508,62.751073778185614
8,2025-07-21,7,60.65999984741211,60.65999984741211,14.05938993539186,59.4966672261556,60.277634374861094
