signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,492.1600036621094,492.1600036621094,0.0,,486.1266682942708
2,2024-04-01,1,636.1799926757812,636.1799926757812,17.49997673964216,623.8400065104166,623.8804410962273
3,2024-04-29,2,579.3400268554688,579.3400268554688,21.80124382707716,565.2033284505209,577.2767316559264
4,2024-08-05,3,633.9400024414062,633.9400024414062,11.034707536708304,626.3166707356771,630.419911992896
5,2024-09-09,4,697.0599975585938,697.0599975585938,7.5301725466339535,688.0599975585938,686.327184368715
6,2025-04-07,5,918.2899780273438,918.2899780273438,1.3740178136832857,902.6666463216146,908.0334672889342
7,2025-08-04,6,1211.6400146484375,1211.6400146484375,6.824925816023739,1183.57666015625,1197.6741649472751
