ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,downside_volatility,var_95_1d,var_95_1w
NVDA,simple_trend,167.02000427246094,91.0,False,True,True,1.4272000122070323,3.224393348693849,0.8369175033569342,83.33333333333333,166.3359458317321,-0.004095667723807202,1.0,,,,,,,,,,,,,,,,,,,,,
NVDA,mean_reversion,167.02000427246094,,,,,,,,,,,,161.95662002563478,196.83109045882657,127.082149592443,0.5725944248605289,67.30912552079477,False,False,0.0,neutral,161.95662002563478,-0.030316034710226814,,,,,,,,,,
NVDA,volatility,167.02000427246094,,,,,,,,,,,,,,,,,,,,,,,0.0704210777567158,1.1178999528084739,0.7579484009879287,1.1727891179189742,4.444444444444445,low,0.39681491064687713,0.6420581509484009,,
MSFT,simple_trend,495.0,91.0,False,True,True,0.4428002929687523,5.8339433288574245,1.3907583618164068,83.33333333333333,499.67965570629,0.009453849911696868,1.0,,,,,,,,,,,,,,,,,,,,,
MSFT,mean_reversion,495.0,,,,,,,,,,,,494.4153747558594,539.360999855276,449.46974965644273,0.5065036946626896,60.89379776403222,False,False,0.0,neutral,494.4153747558594,-0.0011810610992739612,,,,,,,,,,
MSFT,volatility,495.0,,,,,,,,,,,,,,,,,,,,,,,0.030284386687244164,0.4807497346953797,0.26395763055398336,0.49893996643540234,2.2222222222222223,low,0.37341816807418865,0.2670962527826044,,
AAPL,simple_trend,239.69000244140625,91.0,True,True,True,2.647533569335934,0.9553882598876953,-0.052720581054687445,100.0,264.79591534152655,0.1047432627326941,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,
AAPL,mean_reversion,239.69000244140625,,,,,,,,,,,,215.7255081176758,245.40935806999806,186.0416581653535,0.903662165827914,75.17284288623597,False,True,-24.82715711376403,down,215.7255081176758,-0.09998120104983832,,,,,,,,,,
AAPL,volatility,239.69000244140625,,,,,,,,,,,,,,,,,,,,,,,0.03967404989422782,0.6298060171373715,0.701886944093394,0.6149443843907566,51.11111111111111,normal,0.33481053646202547,0.4539382897237728,,
GOOGL,simple_trend,235.0489959716797,91.0,True,True,True,4.179580078124997,2.4894088745117187,0.4512676086425785,100.0,306.9622777253799,0.3059501762873509,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,
GOOGL,mean_reversion,235.0489959716797,,,,,,,,,,,,191.47727432250977,233.57149622234223,149.3830524226773,1.0175499116345863,89.00661657024165,False,True,-10.993383429758353,down,191.47727432250977,-0.18537293243498787,,,,,,,,,,
