time,open,high,low,close,RS Line,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Volume,Volume MA,Projected Vol.,10 Day Pocket Pivot,5 Day Pocket Pivot
2020-09-21,0.49,0.63,0.49,0.56,0.49598279243373194,0.49152533462028325,0.49152533462028325,NaN,-9,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-09-28,0.45,0.54,0.45,0.54,0.4813155230016432,0.48495463277824025,0.48495463277824025,NaN,34,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-10-05,0.49,0.49,0.39,0.44,0.3863291562638124,0.4742161966010869,0.4742161966010869,NaN,123,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-10-12,0.41,0.47,0.39,0.45,0.3804862055775884,0.46642730584773506,0.46642730584773506,NaN,77,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-10-19,0.43,0.53,0.43,0.53,0.44726893831753173,0.46378125561035655,0.46378125561035655,NaN,40,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-10-26,0.59,0.77,0.48,0.77,0.653259806255573,0.489882248465927,0.489882248465927,NaN,-18,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-11-02,0.62,0.62,0.41,0.41,0.3686283624264517,0.4903970763721971,0.4903970763721971,NaN,99,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-11-09,0.37,0.52,0.37,0.5,0.41887024710495124,0.4761326077859228,0.4761326077859228,NaN,67,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-11-16,0.43,0.49,0.4,0.4,0.3280197481276934,0.4514550672264672,0.4514550672264672,NaN,102,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-11-23,0.42,0.42,0.38,0.41,0.3388296407067805,0.42989904202157553,0.42989904202157553,NaN,129,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-11-30,0.43,0.43,0.35,0.39,0.31514285321643054,0.4118150480998454,0.4118150480998454,NaN,182,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-12-07,0.37,0.5,0.37,0.5,0.39739181210666324,0.40342267701034745,0.40342267701034745,NaN,123,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-12-14,0.42,0.46,0.37,0.46,0.36915921014560005,0.40170568239852633,0.40170568239852633,NaN,246,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2020-12-21,0.47,0.54,0.37,0.54,0.42872651266790174,0.40652971310755764,0.40652971310755764,NaN,97,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2020-12-28,0.44,0.56,0.44,0.56,0.43832932205916814,0.4056357514817212,0.4056357514817212,NaN,97,NaN,NaN,0,0,NaN,NaN,NaN,0,0
