time,open,high,low,close,RS Line,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Volume,Volume MA,Projected Vol.,10 Day Pocket Pivot,5 Day Pocket Pivot
2024-07-15,0.52,0.52,0.52,0.52,0.3111476776116851,0.3580360257944061,0.3580360257944061,NaN,181,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-16,0.49,0.49,0.49,0.49,0.29237055623924524,0.3520664376530278,0.3520664376530278,NaN,270,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-17,0.53,0.53,0.53,0.53,0.3142286945428174,0.34862664282482686,0.34862664282482686,NaN,229,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-18,0.6,0.6,0.6,0.6,0.36075500869677257,0.34972922154045827,0.34972922154045827,NaN,138,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-19,0.67,0.67,0.67,0.67,0.4060181294164752,0.35484639498373255,0.35484639498373255,NaN,6,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2024-07-22,0.55,0.55,0.55,0.55,0.33569543268925106,0.35310539841150695,0.35310539841150695,NaN,63,NaN,NaN,0,0,NaN,NaN,NaN,0,0
2024-07-23,0.63,0.63,0.63,0.63,0.3804183739486737,0.355588396187613,0.355588396187613,NaN,190,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-24,0.7,0.7,0.7,0.7,0.4233451829185978,0.361748104072248,0.361748104072248,NaN,105,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-25,0.8,0.8,0.8,0.8,0.49529031972759036,0.3738883054954609,0.3738883054954609,NaN,143,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-26,0.73,0.73,0.73,0.73,0.4542870001833595,0.3811972777398153,0.3811972777398153,NaN,158,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-29,0.65,0.65,0.65,0.65,0.40006667777962995,0.38291267774343485,0.38291267774343485,NaN,89,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-30,0.68,0.68,0.68,0.68,0.4181896386049364,0.38611967418538956,0.38611967418538956,NaN,78,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-07-31,0.59,0.59,0.59,0.59,0.3646497254642276,0.3841678606652839,0.3841678606652839,NaN,133,NaN,NaN,1,0,NaN,NaN,NaN,0,0
2024-08-01,0.75,0.75,0.75,0.75,0.45633242730823625,0.3907282758146432,0.3907282758146432,NaN,-6,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2024-08-02,0.81,0.81,0.81,0.81,0.4996796219355242,0.4006329436438142,0.4006329436438142,NaN,-90,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2024-08-05,0.85,0.85,0.85,0.85,0.5341762444941129,0.41277324372111407,0.41277324372111407,NaN,-216,NaN,NaN,0,1,NaN,NaN,NaN,0,0
2024-08-06,0.72,0.72,0.72,0.72,0.4664561135598514,0.41765350461554474,0.41765350461554474,NaN,-40,NaN,NaN,0,1,NaN,NaN,NaN,0,0
