Date,Internet software/Services,Packaged software,Semiconductors
2024-01-01 00:00:00-05:00,214.0566,320.4709,95.2634
2024-01-08 00:00:00-05:00,225.6575,338.5703,101.1236
2024-01-15 00:00:00-05:00,229.7859,347.3607,109.9189
2024-01-22 00:00:00-05:00,242.5272,351.9828,115.7663
2024-01-29 00:00:00-05:00,255.8790,358.3970,120.4316
2024-02-05 00:00:00-05:00,258.3658,367.1310,128.3197
2024-02-12 00:00:00-05:00,255.5876,353.3963,127.1094
2024-02-19 00:00:00-05:00,260.6131,359.2523,132.7148
2024-02-26 00:00:00-05:00,263.1775,364.0733,141.0322
2024-03-04 00:00:00-05:00,261.9047,356.1856,143.2361
2024-03-11 00:00:00-04:00,260.3454,364.7731,138.7660
2024-03-18 00:00:00-04:00,274.7993,375.7962,146.9479
2024-03-25 00:00:00-04:00,267.4799,368.6773,143.4207
2024-04-01 00:00:00-04:00,281.1859,373.0335,142.1753
2024-04-08 00:00:00-04:00,279.8502,369.9040,141.3106
2024-04-15 00:00:00-04:00,264.8928,349.6700,124.7442
2024-04-22 00:00:00-04:00,267.7656,356.3441,138.7269
2024-04-29 00:00:00-04:00,268.0766,356.7571,137.4444
2024-05-06 00:00:00-04:00,277.3447,363.9270,140.7139
2024-05-13 00:00:00-04:00,281.8087,368.6174,144.3625
2024-05-20 00:00:00-04:00,284.5258,377.8189,155.9443
2024-05-27 00:00:00-04:00,279.6460,364.8249,156.4563
2024-06-03 00:00:00-04:00,287.5896,372.5456,168.8302
2024-06-10 00:00:00-04:00,293.9806,388.6333,183.0078
2024-06-17 00:00:00-04:00,294.6240,394.9469,178.2065
2024-06-24 00:00:00-04:00,298.1416,392.7992,174.1313
2024-07-01 00:00:00-04:00,314.0171,410.9680,180.7028
2024-07-08 00:00:00-04:00,296.9810,398.8262,183.7394
2024-07-15 00:00:00-04:00,285.4030,384.5068,163.3709
2024-07-22 00:00:00-04:00,275.2698,373.9595,157.9362
2024-07-29 00:00:00-04:00,279.5172,358.8682,148.0457
2024-08-05 00:00:00-04:00,286.4481,357.5196,149.8244
