Date,Electronic technology,Health technology,Retail trade,Technology services
2024-01-02 00:00:00-05:00,124.0353,203.4709,217.8448,253.7272
2024-01-03 00:00:00-05:00,122.4563,201.6718,216.0434,253.7342
2024-01-04 00:00:00-05:00,121.6398,202.8430,213.3335,252.4889
2024-01-05 00:00:00-05:00,122.0420,202.4051,214.8500,252.8911
2024-01-08 00:00:00-05:00,125.9356,206.6757,218.7920,258.0170
2024-01-09 00:00:00-05:00,126.2266,206.1166,221.5361,258.9060
2024-01-10 00:00:00-05:00,127.1021,215.7312,224.1252,263.6168
2024-01-11 00:00:00-05:00,127.3770,214.5547,225.5265,264.6311
2024-01-12 00:00:00-05:00,127.3683,215.9528,226.2408,266.8636
2024-01-16 00:00:00-05:00,127.5879,213.8680,224.5154,265.7245
2024-01-17 00:00:00-05:00,127.1455,212.5792,223.6588,265.1090
2024-01-18 00:00:00-05:00,131.1883,216.6629,225.5212,268.8684
2024-01-19 00:00:00-05:00,134.8910,218.3880,228.1385,272.6933
2024-01-22 00:00:00-05:00,135.9668,219.5390,227.2227,271.7848
2024-01-23 00:00:00-05:00,136.9171,218.0093,227.5230,273.8172
2024-01-24 00:00:00-05:00,139.9205,216.4069,228.2646,278.8719
2024-01-25 00:00:00-05:00,140.2988,219.2664,228.0670,282.1390
2024-01-26 00:00:00-05:00,138.9471,219.6288,229.9721,282.4716
2024-01-29 00:00:00-05:00,139.9356,221.4050,232.0087,286.2027
2024-01-30 00:00:00-05:00,138.0992,221.1585,230.8306,284.2309
2024-01-31 00:00:00-05:00,135.9072,221.1087,227.0607,274.3626
2024-02-01 00:00:00-05:00,138.1746,225.5278,231.7825,277.6402
2024-02-02 00:00:00-05:00,139.7264,224.6537,242.4435,293.2916
2024-02-05 00:00:00-05:00,142.1513,224.1806,241.2691,289.4721
2024-02-06 00:00:00-05:00,141.9559,225.1412,240.5480,288.7592
2024-02-07 00:00:00-05:00,143.8617,220.2019,243.0589,294.6588
2024-02-08 00:00:00-05:00,143.5621,217.3673,242.9815,294.9175
2024-02-09 00:00:00-05:00,145.8993,216.2576,246.6369,298.0582
2024-02-12 00:00:00-05:00,144.5786,214.9597,245.0346,295.7642
2024-02-13 00:00:00-05:00,142.8496,212.8185,240.7955,290.3224
2024-02-14 00:00:00-05:00,144.3318,213.8233,243.9329,295.1694
2024-02-15 00:00:00-05:00,143.8412,214.1677,243.4892,295.4105
2024-02-16 00:00:00-05:00,142.8767,212.9007,243.1812,291.5171
2024-02-20 00:00:00-05:00,140.2268,212.8767,241.2316,290.6242
2024-02-21 00:00:00-05:00,139.5633,213.6516,241.9951,290.4404
2024-02-22 00:00:00-05:00,147.8141,216.7330,248.4813,297.7232
2024-02-23 00:00:00-05:00,146.5521,218.6974,249.0702,296.6929
2024-02-26 00:00:00-05:00,146.8097,217.5609,249.8065,292.9073
2024-02-27 00:00:00-05:00,146.8467,215.1341,248.8657,294.9885
2024-02-28 00:00:00-05:00,145.7824,214.4914,248.8154,293.2043
2024-02-29 00:00:00-05:00,147.1437,212.7492,251.1315,297.3334
2024-03-01 00:00:00-05:00,150.9461,218.2760,253.1973,299.9981
2024-03-04 00:00:00-05:00,151.1118,218.9071,253.7448,297.3279
2024-03-05 00:00:00-05:00,148.0654,214.2689,251.0187,291.1437
2024-03-06 00:00:00-05:00,150.2672,214.6955,252.0779,291.4450
2024-03-07 00:00:00-05:00,154.0828,215.4467,256.4605,297.9702
2024-03-08 00:00:00-05:00,149.4313,215.5637,246.6832,296.3113
2024-03-11 00:00:00-04:00,148.0214,212.6404,242.4716,292.9770
