Date,Electronic technology,Health technology,Retail trade,Technology services
2025-03-24 00:00:00-04:00,168.8748,260.0040,289.8460,328.2958
2025-03-31 00:00:00-04:00,146.3115,242.4092,269.6194,302.3932
2025-04-07 00:00:00-04:00,163.8959,251.6604,286.4618,326.4112
2025-04-14 00:00:00-04:00,156.8692,246.6617,281.0433,312.9027
2025-04-21 00:00:00-04:00,169.4995,257.9017,292.4376,339.3857
2025-04-28 00:00:00-04:00,171.6073,263.6286,297.9082,365.3496
2025-05-05 00:00:00-04:00,171.6195,259.5031,300.4682,360.1849
2025-05-12 00:00:00-04:00,188.5396,269.8232,313.4533,381.6786
2025-05-19 00:00:00-04:00,180.8026,263.8275,307.4559,378.8587
2025-05-26 00:00:00-04:00,186.2666,273.1449,313.7625,388.5784
2025-06-02 00:00:00-04:00,191.5570,275.1544,317.4145,402.4802
2025-06-09 00:00:00-04:00,189.7116,263.8436,312.8256,400.2448
2025-06-16 00:00:00-04:00,192.4074,259.4899,309.5551,397.8748
2025-06-23 00:00:00-04:00,202.9021,263.3460,321.4067,420.9668
2025-06-30 00:00:00-04:00,208.4078,272.0956,321.6660,419.2988
2025-07-07 00:00:00-04:00,210.2521,262.4096,320.7404,418.6349
2025-07-14 00:00:00-04:00,213.0331,263.2100,319.1991,419.8501
2025-07-21 00:00:00-04:00,214.9951,261.3397,321.8831,424.7500
2025-07-28 00:00:00-04:00,210.3756,255.4848,310.3106,431.4341
2025-08-04 00:00:00-04:00,226.5160,249.1009,321.0481,443.6006
2025-08-11 00:00:00-04:00,227.1913,257.0028,326.7989,447.3800
2025-08-18 00:00:00-04:00,223.3935,255.1772,323.6381,436.8349
2025-08-25 00:00:00-04:00,223.2528,252.8772,321.2776,437.8410
2025-09-01 00:00:00-04:00,228.5351,250.6419,326.9916,447.3376
