Date,Internet software/Services,Packaged software,Semiconductors
2024-05-06 00:00:00-04:00,273.3630,362.9445,141.3279
2024-05-07 00:00:00-04:00,276.7592,358.9788,139.6227
2024-05-08 00:00:00-04:00,276.8702,359.9166,140.1156
2024-05-09 00:00:00-04:00,278.1048,361.8166,138.6192
2024-05-10 00:00:00-04:00,277.3447,363.9270,140.7139
2024-05-13 00:00:00-04:00,276.0370,363.0726,140.5848
2024-05-14 00:00:00-04:00,277.5541,365.4658,142.2543
2024-05-15 00:00:00-04:00,281.3849,371.8115,147.0455
2024-05-16 00:00:00-04:00,280.1471,369.9671,145.6530
2024-05-17 00:00:00-04:00,281.8087,369.2733,144.3625
2024-05-20 00:00:00-04:00,283.0931,373.7851,147.1249
2024-05-21 00:00:00-04:00,283.3856,376.9373,146.6046
2024-05-22 00:00:00-04:00,282.4641,378.0654,146.1224
2024-05-23 00:00:00-04:00,279.6841,374.9464,152.4019
2024-05-24 00:00:00-04:00,284.5258,377.8189,155.9443
2024-05-28 00:00:00-04:00,286.1549,378.0013,162.9171
2024-05-29 00:00:00-04:00,284.7625,377.0192,161.1896
2024-05-30 00:00:00-04:00,279.8600,364.4686,158.0777
2024-05-31 00:00:00-04:00,279.6460,364.8249,156.4776
2024-06-03 00:00:00-04:00,282.1807,363.4425,160.0949
2024-06-04 00:00:00-04:00,282.3481,365.6832,160.4163
2024-06-05 00:00:00-04:00,289.4336,372.7184,170.6497
2024-06-06 00:00:00-04:00,289.8536,373.2183,169.8898
2024-06-07 00:00:00-04:00,287.5896,372.5456,168.8302
2024-06-10 00:00:00-04:00,290.7950,375.9574,170.4981
2024-06-11 00:00:00-04:00,293.3791,380.0788,170.0130
2024-06-12 00:00:00-04:00,294.6858,387.3058,175.3144
2024-06-13 00:00:00-04:00,291.8767,387.6788,181.4787
2024-06-14 00:00:00-04:00,294.2438,388.6333,183.0151
2024-06-17 00:00:00-04:00,295.6119,393.8256,185.5936
2024-06-18 00:00:00-04:00,292.9834,392.2258,188.5067
2024-06-20 00:00:00-04:00,293.9090,391.5117,183.3663
2024-06-21 00:00:00-04:00,294.6240,394.9469,178.2065
2024-06-24 00:00:00-04:00,294.5147,393.1267,169.3390
2024-06-25 00:00:00-04:00,300.9458,396.1232,175.4598
