Index,In_Index_Count,In_Index_1Y_Return_Avg,Not_In_Index_1Y_Return_Avg,In_Index_1D_Return_Avg,Not_In_Index_1D_Return_Avg
S&P 500,46,36.31978260869564,36.027777777777786,-0.14630434782608695,-0.37222222222222223
NASDAQ 100,23,58.92173913043479,23.512439024390243,-0.7056521739130435,0.06829268292682926
NASDAQ Composite,25,58.3816,22.042820512820516,-0.6012,0.041025641025641026
Dow Jones Industrial Average,15,14.504000000000001,42.89081632653061,0.17,-0.32612244897959186
Russell 1000,47,44.99063829787234,12.038235294117646,-0.15255319148936172,-0.36823529411764705
Russell 3000,47,44.99063829787234,12.038235294117646,-0.15255319148936172,-0.36823529411764705
