in_sp_500,daily_daily_daily_1d_pct_change,daily_daily_daily_5d_pct_change,daily_daily_weekly_7d_pct_change,daily_daily_monthly_22d_pct_change,daily_daily_quarterly_66d_pct_change,daily_daily_yearly_252d_pct_change
False,-0.37,0.23,1.72,4.27,9.58,36.03
True,-0.15,0.82,1.51,3.11,10.33,36.32
