ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_15w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_1w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_3w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_5w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_10w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500
Finance/Rental/Leasing,2025-09-01,weekly,50,17,34,50,66,,,,,,50,17,34,50,66
Internet software/Services,2025-09-01,weekly,83,83,99,83,99,74,74,99,74,99,83,83,99,83,99
Major banks,2025-09-01,weekly,66,66,17,66,50,,,,,,66,66,17,66,50
Packaged software,2025-09-01,weekly,34,50,50,17,17,50,50,26,26,26,34,50,50,17,17
Pharmaceuticals: major,2025-09-01,weekly,17,34,66,99,34,26,26,50,99,50,17,34,66,99,34
Semiconductors,2025-09-01,weekly,99,99,83,34,83,99,99,74,50,74,99,99,83,34,83
