ticker,date,timeframe,monthly_monthly_monthly_1m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_3m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_6m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_1m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_3m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_6m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_1m_rs_vs_QQQ_per_SP500,monthly_monthly_monthly_3m_rs_vs_QQQ_per_SP500,monthly_monthly_monthly_6m_rs_vs_QQQ_per_SP500
Finance/Rental/Leasing,2025-09-01,monthly,34,34,66,,,,34,34,66
Internet software/Services,2025-09-01,monthly,99,99,99,99,99,99,99,99,99
Major banks,2025-09-01,monthly,17,83,34,,,,17,83,34
Packaged software,2025-09-01,monthly,50,17,17,26,26,26,50,17,17
Pharmaceuticals: major,2025-09-01,monthly,66,66,50,50,74,50,66,66,50
Semiconductors,2025-09-01,monthly,83,50,83,74,50,74,83,50,83
