Date,Beverages: non-alcoholic,Cable/Satellite TV,Electric utilities,Information technology services,Internet software/Services,Medical specialties,Packaged software,Pharmaceuticals: major,Semiconductors,Specialty stores
2024-01-02 00:00:00-05:00,52.7093,110.3115,81.2723,151.5095,210.4997,318.0003,328.2547,275.9157,105.2092,501.3581
2024-01-03 00:00:00-05:00,51.8201,109.0249,81.5245,151.0311,210.5856,310.1205,326.8466,277.4386,103.3295,496.8229
2024-01-04 00:00:00-05:00,51.8306,106.3324,81.3302,150.4811,209.9904,311.6379,324.7291,278.0250,103.0339,499.4643
2024-01-05 00:00:00-05:00,51.4148,105.8166,81.8833,149.7596,210.6769,311.2044,324.5200,277.9169,103.8798,505.0838
2024-01-08 00:00:00-05:00,51.9200,107.6632,82.3364,153.8369,215.1009,316.8660,331.1223,277.5009,107.8357,509.4321
2024-01-09 00:00:00-05:00,52.0735,105.1858,81.9423,154.0764,215.9082,319.4400,332.7226,277.6443,108.2932,513.5385
2024-01-10 00:00:00-05:00,52.0483,104.9617,81.2693,155.3680,219.6840,339.6345,338.2037,279.0706,108.8825,517.8646
2024-01-11 00:00:00-05:00,52.1417,104.8988,79.2603,156.8039,220.2787,339.2701,339.7695,281.4037,109.5960,518.5547
2024-01-12 00:00:00-05:00,52.7829,104.1754,79.5364,158.6724,221.7858,335.4691,342.4145,284.8332,109.3483,525.8577
2024-01-16 00:00:00-05:00,52.3916,104.9113,78.8556,157.5725,219.2156,331.6932,343.9644,285.0932,110.7168,524.9683
2024-01-17 00:00:00-05:00,51.7183,102.5270,78.4602,156.9552,218.6817,328.6621,342.8679,282.4419,110.3616,526.9980
2024-01-18 00:00:00-05:00,51.8170,103.7723,77.7873,159.4095,222.2828,338.5119,346.3128,282.6160,113.9687,529.6176
2024-01-19 00:00:00-05:00,52.0635,105.6474,78.8050,161.1067,225.8437,340.0258,351.4877,283.7287,118.4823,535.5328
2024-01-22 00:00:00-05:00,51.4661,106.2591,79.6765,161.7959,225.3797,342.2592,351.2130,286.5205,119.1169,533.8405
2024-01-23 00:00:00-05:00,51.3342,107.6198,80.4808,162.5946,227.3074,339.3089,353.0246,288.0638,119.8393,530.0467
2024-01-24 00:00:00-05:00,50.9559,105.9913,78.7557,164.7401,233.3306,336.2529,355.2871,284.0497,124.3392,529.0902
2024-01-25 00:00:00-05:00,51.2944,106.4271,81.1890,164.0666,237.2199,339.6382,357.1827,284.8832,124.8727,524.2275
2024-01-26 00:00:00-05:00,51.7017,108.7108,81.5181,162.8810,238.2377,339.5271,356.1003,283.6380,122.8294,529.3600
2024-01-29 00:00:00-05:00,51.7489,109.3869,81.6303,165.7848,241.1030,343.8123,361.7593,287.3927,124.6725,534.8306
2024-01-30 00:00:00-05:00,51.6818,108.8514,81.9643,165.3196,238.7483,340.3028,360.7279,290.3157,123.5411,540.0134
2024-01-31 00:00:00-05:00,51.3935,107.4600,81.9207,162.7682,228.9647,339.7686,351.6494,284.6051,122.0800,535.3557
2024-02-01 00:00:00-05:00,52.2448,110.0762,84.7490,164.9773,231.0200,345.5604,356.6648,287.0544,124.1179,543.6181
2024-02-02 00:00:00-05:00,51.7711,95.8315,84.9998,165.5366,251.2301,345.2756,362.6263,282.2509,126.7631,547.4979
2024-02-05 00:00:00-05:00,51.2116,92.4135,83.1827,164.1072,248.0550,353.4481,358.6330,281.5818,129.5198,548.8425
2024-02-06 00:00:00-05:00,51.5611,89.3408,84.8932,163.7208,246.7923,357.3542,357.7103,280.0715,128.2165,548.5670
2024-02-07 00:00:00-05:00,51.4312,86.9585,85.5269,167.2599,251.5878,359.4803,365.2054,280.3464,131.0049,555.5020
