ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_all,weekly_weekly_weekly_15w_rs_vs_QQQ_per_all,weekly_weekly_weekly_1w_rs_vs_QQQ_per_all,weekly_weekly_weekly_3w_rs_vs_QQQ_per_all,weekly_weekly_weekly_5w_rs_vs_QQQ_per_all,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500
Consumer non-durables,2025-09-01,weekly,77,12,12,23,55,77,12,12,23,55
Consumer services,2025-09-01,weekly,23,34,34,77,66,23,34,34,77,66
Electronic technology,2025-09-01,weekly,99,99,99,88,99,99,99,99,88,99
Health technology,2025-09-01,weekly,45,23,45,34,34,45,23,45,34,34
Producer manufacturing,2025-09-01,weekly,12,66,77,99,23,12,66,77,99,23
Retail trade,2025-09-01,weekly,66,55,66,66,88,66,55,66,66,88
Technology services,2025-09-01,weekly,88,88,88,55,77,88,88,88,55,77
Transportation,2025-09-01,weekly,55,77,55,45,45,55,77,55,45,45
Utilities,2025-09-01,weekly,34,45,23,12,12,34,45,23,12,12
