ticker,date,timeframe,weekly_weekly_weekly_10w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_15w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_1w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_3w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_5w_rs_vs_QQQ_per_ticker_choice,weekly_weekly_weekly_10w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_15w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_1w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_3w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_5w_rs_vs_QQQ_per_NASDAQ100,weekly_weekly_weekly_10w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_15w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_1w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_3w_rs_vs_QQQ_per_SP500,weekly_weekly_weekly_5w_rs_vs_QQQ_per_SP500
Beverages: non-alcoholic,2025-09-01,weekly,50,50,50,21,30,50,50,50,21,30,50,50,50,21,30
Cable/Satellite TV,2025-09-01,weekly,11,11,30,50,60,11,11,30,50,60,11,11,30,50,60
Electric utilities,2025-09-01,weekly,40,70,11,11,11,40,70,11,11,11,40,70,11,11,11
Information technology services,2025-09-01,weekly,21,21,60,89,50,21,21,60,89,50,21,21,60,89,50
Internet software/Services,2025-09-01,weekly,99,89,99,99,99,99,89,99,99,99,99,89,99,99,99
Medical specialties,2025-09-01,weekly,30,30,40,40,79,30,30,40,40,79,30,30,40,40,79
Packaged software,2025-09-01,weekly,70,79,21,30,21,70,79,21,30,21,70,79,21,30,21
Pharmaceuticals: major,2025-09-01,weekly,79,60,70,79,40,79,60,70,79,40,79,60,70,79,40
Semiconductors,2025-09-01,weekly,89,99,79,70,89,89,99,79,70,89,89,99,79,70,89
Specialty stores,2025-09-01,weekly,60,40,89,60,70,60,40,89,60,70,60,40,89,60,70
