ticker,date,timeframe,daily_daily_daily_1d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_3d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_5d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_22d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_44d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_132d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_66d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_14d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_7d_rs_vs_QQQ_per_NASDAQ100,daily_daily_yearly_252d_rs_vs_QQQ_per_NASDAQ100
MAR,2025-09-05,daily,19,45,34,54,38,29,43,54,40,57
MCHP,2025-09-05,daily,86,83,75,37,27,68,66,56,21,18
MDLZ,2025-09-05,daily,78,43,70,43,25,39,21,46,46,17
MELI,2025-09-05,daily,46,66,32,46,43,67,23,67,62,62
META,2025-09-05,daily,57,76,63,39,70,69,68,16,51,82
MNST,2025-09-05,daily,18,38,69,74,56,78,36,21,63,71
MRVL,2025-09-05,daily,25,15,3,4,10,4,50,3,3,24
MSFT,2025-09-05,daily,8,14,22,20,58,80,60,14,37,63
MSTR,2025-09-05,daily,88,18,49,13,8,86,17,8,11,97
MU,2025-09-05,daily,98,96,95,96,78,90,95,93,96,83
NFLX,2025-09-05,daily,27,78,73,82,42,82,46,58,69,92
NVDA,2025-09-05,daily,7,12,6,19,71,83,85,9,6,87
NXPI,2025-09-05,daily,60,9,12,83,50,43,81,43,10,34
ODFL,2025-09-05,daily,76,53,67,59,20,17,27,51,23,10
ON,2025-09-05,daily,84,50,17,66,16,36,74,17,16,7
ORLY,2025-09-05,daily,40,67,71,60,90,75,72,81,72,78
PANW,2025-09-05,daily,70,73,83,92,45,50,40,95,92,49
PAYX,2025-09-05,daily,21,37,29,32,34,23,10,31,31,43
PCAR,2025-09-05,daily,67,49,38,51,63,27,63,63,39,46
PDD,2025-09-05,daily,63,79,84,87,94,52,93,87,66,70
PEP,2025-09-05,daily,62,20,56,71,80,38,70,25,48,16
PLTR,2025-09-05,daily,13,10,19,12,88,99,77,6,8,98
PYPL,2025-09-05,daily,37,22,27,47,24,31,32,36,19,28
QCOM,2025-09-05,daily,47,64,54,84,54,42,65,69,61,36
QQQ,2025-09-05,daily,,,,,,,,,,
REGN,2025-09-05,daily,69,30,46,49,72,11,79,41,25,2
ROP,2025-09-05,daily,16,42,39,29,28,21,20,30,41,27
ROST,2025-09-05,daily,24,39,79,78,89,65,58,75,73,38
SBUX,2025-09-05,daily,14,6,21,26,30,8,42,12,38,26
SHOP,2025-09-05,daily,71,89,92,93,96,88,97,86,88,95
SMH,2025-09-05,daily,,,,,,,,,,
SNPS,2025-09-05,daily,29,60,30,23,83,83,92,22,59,67
