signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-07-16,0,73.19071197509766,73.19071197509766,10.912006347992907,75.10942169189452
2,2024-09-09,1,89.91796112060547,89.91796112060547,11.358336122651943,80.03790634155274
3,2024-09-25,2,93.2432098388672,93.2432098388672,13.504102949690557,85.14432006835938
4,2024-10-11,3,93.17495727539062,93.17495727539062,2.7333699925557977,90.09478454589843
5,2024-12-06,4,98.22542572021484,98.22542572021484,15.320890071955668,95.74962036132813
6,2025-03-05,5,110.18222045898438,110.18222045898438,7.37558114353345,101.0185740661621
7,2025-03-07,6,105.04255676269533,105.04255676269533,4.462133123996608,101.73228775024414
8,2025-03-19,7,97.85096740722656,97.85096740722656,14.165180657191641,103.03427322387695
9,2025-03-25,8,94.5856475830078,94.5856475830078,1.2212202582634468,103.4117431640625
10,2025-06-26,9,91.2379913330078,91.2379913330078,14.107185936867127,85.52677322387696
11,2025-07-17,10,92.5791473388672,92.5791473388672,15.007965003342061,88.80199157714844
12,2025-08-04,11,89.19149780273438,89.19149780273438,10.223899493094072,90.87360244750977
