signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-01,0,614.3099975585938,614.3099975585938,17.49997673964216,584.858402709961
2,2024-04-16,1,617.52001953125,617.52001953125,9.336831315044217,602.1792065429687
3,2024-04-23,2,577.75,577.75,13.818425907689587,604.470205078125
4,2024-04-25,3,564.7999877929688,564.7999877929688,14.38918610399894,604.6212048339844
5,2024-06-05,4,650.27001953125,650.27001953125,13.700060857591621,610.7260009765625
6,2024-07-15,5,656.4500122070312,656.4500122070312,7.23309019884671,647.4238000488281
7,2024-07-22,6,647.5,647.5,6.379486289931187,652.8384008789062
8,2024-07-25,7,634.0900268554688,634.0900268554688,13.781340986504919,654.3042004394531
9,2024-09-04,8,679.6799926757812,679.6799926757812,10.689476130141705,659.4116003417969
10,2024-10-08,9,721.760009765625,721.760009765625,19.042618730562655,678.7555969238281
11,2024-10-18,10,763.8900146484375,763.8900146484375,16.810083193487344,695.0287976074219
12,2024-12-19,11,902.0399780273438,902.0399780273438,5.4176301904487,826.1185949707032
13,2025-01-15,12,848.260009765625,848.260009765625,5.760839491371062,872.0325952148437
14,2025-02-25,13,977.239990234375,977.239990234375,4.986240015621091,943.161796875
15,2025-02-28,14,980.5599975585938,980.5599975585938,7.369869702482877,946.2159973144531
16,2025-03-04,15,972.5800170898438,972.5800170898438,17.47664692245911,948.3373974609375
17,2025-07-14,16,1261.949951171875,1261.949951171875,12.571633675634049,1218.8264013671876
18,2025-07-21,17,1233.27001953125,1233.27001953125,8.756230794606514,1229.0292041015625
