signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-25,0,86.83893585205078,86.83893585205078,15.924826119321947,87.24362915039063
2,2024-05-24,1,89.17169952392578,89.17169952392578,8.294961706290527,88.71519546508789
3,2024-09-09,2,89.00807189941406,89.00807189941406,3.821669864290003,88.5345881652832
4,2024-10-09,3,93.63131713867188,93.63131713867188,15.482203160015723,90.72003479003907
5,2024-10-28,4,93.32594299316406,93.32594299316406,1.2625090374007952,92.50684982299805
6,2024-11-05,5,92.2817611694336,92.2817611694336,11.39906658613188,92.78636215209961
7,2024-11-20,6,91.0602798461914,91.0602798461914,17.02552425886572,93.12013916015626
8,2025-03-05,7,87.17823791503906,87.17823791503906,2.6549307275588148,86.50285827636719
9,2025-03-14,8,85.13839721679688,85.13839721679688,9.515347893755406,86.67183868408203
10,2025-06-23,9,86.94000244140625,86.94000244140625,4.460796738421246,84.63074295043945
11,2025-08-04,10,87.87000274658203,87.87000274658203,10.416732894037741,88.6548811340332
