signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-20,0,162.77732849121094,162.77732849121094,6.627002596125185,158.74765747070313
2,2024-04-08,1,162.27935791015625,162.27935791015625,4.104903478840401,159.63278045654297
3,2024-04-16,2,160.48861694335938,160.48861694335938,12.560929429855731,160.4993325805664
4,2024-04-22,3,156.5048828125,156.5048828125,3.9555256499401112,160.81017822265625
5,2024-06-05,4,189.12472534179688,189.12472534179688,19.313918306644037,173.50824279785155
6,2024-06-21,5,188.5942230224609,188.5942230224609,6.4694752792873205,179.14513122558594
7,2024-06-25,6,187.57183837890625,187.57183837890625,19.078960047597487,180.17264862060546
8,2024-06-27,7,186.56874084472656,186.56874084472656,10.197401834557368,181.23323669433594
9,2024-07-22,8,198.57711791992188,198.57711791992188,2.9752169214928506,189.9862451171875
10,2024-07-26,9,194.82508850097656,194.82508850097656,18.12203024300836,190.8425537109375
11,2024-09-09,10,195.29736328125,195.29736328125,4.015620793575831,193.75256134033202
12,2024-09-11,11,196.5011749267578,196.5011749267578,17.122165741761215,194.05539337158203
13,2024-09-13,12,194.0935516357422,194.0935516357422,6.553259957597146,194.07714172363282
14,2024-10-02,13,197.4913787841797,197.4913787841797,15.807034343572834,194.94379943847656
15,2024-10-04,14,196.7924041748047,196.7924041748047,16.389448373855377,195.1672332763672
16,2024-10-08,15,196.30699157714844,196.30699157714844,13.278046951640086,195.21038024902344
17,2024-10-23,16,195.8507232666016,195.8507232666016,6.952171667112801,197.126171875
18,2024-11-18,17,202.4561004638672,202.4561004638672,6.77297606045324,198.88914184570314
19,2024-11-25,18,198.30300903320312,198.30300903320312,8.812391075530893,199.0517150878906
20,2025-03-07,19,187.5527191162109,187.5527191162109,4.869543794399644,186.19703460693358
21,2025-05-27,20,181.9250640869141,181.9250640869141,15.789497995968977,167.46953674316407
22,2025-07-29,21,190.00665283203125,190.00665283203125,15.837719275858765,198.49013336181642
23,2025-08-05,22,185.3999938964844,185.3999938964844,13.167264078178638,198.3643765258789
