signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-18,0,725.605712890625,725.605712890625,19.21915081812965,708.3704321289063
2,2024-04-05,1,707.9302368164062,707.9302368164062,13.826321430637686,720.6234216308594
3,2024-07-02,2,853.7569580078125,853.7569580078125,15.451220405571156,797.1384704589843
4,2024-07-16,3,845.2229614257812,845.2229614257812,17.756077063637683,822.4885961914063
5,2024-07-22,4,841.8948364257812,841.8948364257812,18.194511295264306,829.1673669433594
6,2024-07-31,5,817.8031616210938,817.8031616210938,13.28632739841779,834.6020642089844
7,2024-08-06,6,812.7092895507812,812.7092895507812,14.62768196997759,835.9966711425782
8,2024-09-04,7,885.4759521484375,885.4759521484375,15.494230439238496,850.4569287109375
9,2024-09-09,8,891.912841796875,891.912841796875,15.887009918396158,852.4432055664063
10,2024-10-02,9,874.044677734375,874.044677734375,9.903754888765626,867.1813732910156
11,2024-10-04,10,878.6011352539062,878.6011352539062,16.258965894338534,869.45671875
12,2024-10-08,11,885.8738403320312,885.8738403320312,14.097882583985248,872.0603601074218
13,2024-11-01,12,873.9906005859375,873.9906005859375,14.933753634013554,887.4053234863281
14,2024-12-24,13,955.192138671875,955.192138671875,18.119258328539477,931.9488464355469
15,2025-01-03,14,913.1119995117188,913.1119995117188,9.342103929037457,936.545234375
16,2025-02-24,15,1032.821533203125,1032.821533203125,19.327694967005662,975.8536779785156
17,2025-02-28,16,1045.7967529296875,1045.7967529296875,4.848500007524946,979.7730798339844
18,2025-03-17,17,914.1508178710938,914.1508178710938,12.123176911147095,982.6752661132813
19,2025-06-23,18,1003.0902709960938,1003.0902709960938,13.674216336826847,1000.0895495605469
