signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-06-18,0,1573.4000244140625,1573.4000244140625,1.2582592127622927,1580.8069995117187
2,2024-08-02,1,1776.1400146484375,1776.1400146484375,19.8070868532377,1652.603603515625
3,2024-09-04,2,1991.5899658203125,1991.5899658203125,18.480911671789617,1793.40599609375
4,2024-10-01,3,2066.1201171875,2066.1201171875,16.511989779812904,1948.5895971679688
5,2024-10-08,4,2014.22998046875,2014.22998046875,11.561575770628501,1981.2767944335938
6,2024-10-30,5,2020.719970703125,2020.719970703125,3.8625403163876517,2047.2387963867188
7,2025-03-05,6,2112.77001953125,2112.77001953125,15.760055424112103,1919.960205078125
8,2025-03-07,7,2009.3399658203125,2009.3399658203125,11.846119658566554,1933.3248046875
9,2025-03-11,8,1990.1099853515625,1990.1099853515625,13.909233165906375,1942.5564038085938
10,2025-04-03,9,1945.550048828125,1945.550048828125,14.112188877203526,2031.3144067382811
11,2025-06-16,10,2454.760009765625,2454.760009765625,13.301022843758817,2330.915212402344
12,2025-07-16,11,2405.14990234375,2405.14990234375,11.04215490553482,2481.233203125
13,2025-07-18,12,2413.570068359375,2413.570068359375,2.1725499855844457,2487.0166015625
