signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-14,0,272.0400085449219,272.0400085449219,19.949952533875994,287.0617999267578
2,2024-09-18,1,248.47000122070312,248.47000122070312,6.987527603233724,235.9038006591797
3,2024-09-24,2,246.9499969482422,246.9499969482422,11.224452345707387,237.4102001953125
4,2024-09-26,3,245.42999267578125,245.42999267578125,5.914314225431883,237.84099975585937
5,2024-10-03,4,240.94000244140625,240.94000244140625,15.996623640015224,239.30419952392577
6,2024-10-08,5,239.47000122070312,239.47000122070312,13.391739435577481,239.99299957275392
7,2024-10-29,6,238.6300048828125,238.6300048828125,2.370011584079066,246.64599975585938
8,2024-11-01,7,239.1199951171875,239.1199951171875,0.7496711466969543,246.92999969482423
9,2024-12-20,8,273.0400085449219,273.0400085449219,10.6249378856735,256.75540130615235
10,2024-12-24,9,269.0400085449219,269.0400085449219,13.388980436705536,257.77660186767577
11,2025-01-08,10,254.69000244140625,254.69000244140625,11.25243442966101,260.55580139160156
12,2025-01-16,11,250.6999969482422,250.6999969482422,19.98918824196516,261.679401550293
13,2025-02-18,12,265.7200012207031,265.7200012207031,12.823094545345082,262.77460205078125
14,2025-06-24,13,239.19000244140625,239.19000244140625,10.670722386964629,247.14319946289064
15,2025-06-26,14,237.2100067138672,237.2100067138672,1.9214869437005593,247.3795999145508
