Date,Consumer non-durables,Electronic technology,Finance,Health technology,Retail trade,Technology services
2024-01-01 00:00:00-05:00,112.3781,120.6561,129245.5093,311.0977,197.6064,246.0883
2024-01-08 00:00:00-05:00,112.0795,125.7633,129244.7081,314.5982,205.8191,259.0967
2024-01-15 00:00:00-05:00,112.1887,132.9633,129245.6709,315.2273,207.1874,264.5243
2024-01-22 00:00:00-05:00,112.0284,136.8454,129250.1099,315.5479,208.5094,273.6279
2024-01-29 00:00:00-05:00,111.6102,137.5913,129251.7134,316.8463,217.3986,283.7014
2024-02-05 00:00:00-05:00,111.8200,143.3784,129253.4591,314.6769,220.5247,288.1392
2024-02-12 00:00:00-05:00,111.2678,140.6064,129255.8339,313.6610,218.0331,281.8301
2024-02-19 00:00:00-05:00,111.4896,144.1242,129259.1693,315.1990,222.2791,286.7911
2024-02-26 00:00:00-05:00,111.5059,148.3167,129257.1294,315.1984,225.2548,289.9452
2024-03-04 00:00:00-05:00,111.5565,146.8781,129256.7347,314.4976,220.5581,286.5128
2024-03-11 00:00:00-04:00,111.6782,144.7165,129258.1938,314.4866,220.5739,288.5085
2024-03-18 00:00:00-04:00,110.0260,149.6529,129260.0240,314.8048,224.0310,300.7995
2024-03-25 00:00:00-04:00,109.6905,147.2381,129262.6299,315.9011,224.4178,294.0532
2024-04-01 00:00:00-04:00,113.6276,147.3408,134057.2281,354.6533,224.5855,302.9457
2024-04-08 00:00:00-04:00,113.0727,149.0178,134051.5287,354.3591,226.8379,301.0927
2024-04-15 00:00:00-04:00,113.5099,135.1978,134052.4406,353.0164,217.9291,285.3745
2024-04-22 00:00:00-04:00,113.8371,145.1281,134053.0672,354.4947,223.4135,289.3406
2024-04-29 00:00:00-04:00,113.5816,148.7664,134052.2920,357.8732,229.2541,289.6648
2024-05-06 00:00:00-04:00,113.5230,150.6924,134056.1754,358.2951,234.1054,297.5806
2024-05-13 00:00:00-04:00,113.0411,155.1688,134058.2784,359.3489,233.7486,301.8135
2024-05-20 00:00:00-04:00,112.1865,162.2714,134055.4654,359.6877,233.2955,306.5463
2024-05-27 00:00:00-04:00,112.4268,163.3050,134057.3485,359.4230,230.4896,299.2464
2024-06-03 00:00:00-04:00,112.5838,172.3521,134056.7465,360.7694,238.3364,306.5661
2024-06-10 00:00:00-04:00,112.2668,185.9824,134053.8838,360.9128,239.1690,315.8107
2024-06-17 00:00:00-04:00,112.4222,181.4938,134055.2180,362.0032,241.3798,318.3362
2024-06-24 00:00:00-04:00,112.0712,179.9865,134055.5896,363.1388,243.5201,319.6863
2024-07-01 00:00:00-04:00,118.8478,189.5559,147388.8963,377.1212,256.2223,337.0242
2024-07-08 00:00:00-04:00,118.6584,192.7752,147392.0748,378.7146,249.0554,322.8264
2024-07-15 00:00:00-04:00,118.3689,178.2999,147395.1315,379.5187,241.6039,311.1158
2024-07-22 00:00:00-04:00,117.6534,172.9704,147396.2592,378.6484,239.1194,301.5410
2024-07-29 00:00:00-04:00,117.1852,167.4686,147391.9702,379.6350,231.0608,298.9249
2024-08-05 00:00:00-04:00,117.2580,167.3874,147393.8341,379.8343,234.1867,302.5646
2024-08-12 00:00:00-04:00,117.7765,183.1229,147398.0806,381.3593,242.0722,309.2489
2024-08-19 00:00:00-04:00,118.0561,185.4261,147400.7939,382.8407,242.5269,310.6891
2024-08-26 00:00:00-04:00,117.8131,181.2786,147406.9222,383.7554,242.8842,309.5126
2024-09-02 00:00:00-04:00,117.6625,163.7061,147401.1542,380.7546,237.0883,295.1312
2024-09-09 00:00:00-04:00,118.0082,177.3288,147397.1427,382.4267,249.8131,311.6593
2024-09-16 00:00:00-04:00,117.8972,177.8841,147400.0052,382.4961,252.0896,321.4877
2024-09-23 00:00:00-04:00,118.3627,181.7872,147400.3878,380.8687,249.3233,320.8049
2024-09-30 00:00:00-04:00,118.1051,183.3517,147401.5140,380.8582,249.0013,323.5982
2024-10-07 00:00:00-04:00,118.3156,188.5073,147403.2211,381.6566,250.5383,321.5384
2024-10-14 00:00:00-04:00,118.6736,188.5614,147404.7692,384.0817,249.8644,321.8609
2024-10-21 00:00:00-04:00,119.0086,187.6531,147401.8404,382.6542,249.2669,324.9613
2024-10-28 00:00:00-04:00,119.4640,180.4362,147401.5300,382.0334,253.6780,321.1166
2024-11-04 00:00:00-05:00,119.1258,188.9002,147406.4320,383.9951,266.2150,334.5889
2024-11-11 00:00:00-05:00,119.4330,182.7720,147409.3814,380.3279,259.1883,326.1484
2024-11-18 00:00:00-05:00,119.3554,184.6675,147411.3363,382.8885,261.0671,328.0548
2024-11-25 00:00:00-05:00,119.4504,185.6077,147412.9751,382.0134,267.9561,333.7764
2024-12-02 00:00:00-05:00,121.5625,192.0333,147409.7789,382.0104,281.2587,352.5766
2024-12-09 00:00:00-05:00,121.3492,196.1333,147405.7050,380.8691,281.2831,357.4848
2024-12-16 00:00:00-05:00,121.0225,197.1748,147404.2581,379.0755,276.2023,349.7108
2024-12-23 00:00:00-05:00,121.2165,201.6653,147405.6037,379.9244,274.0159,350.4805
2024-12-30 00:00:00-05:00,120.9894,199.7839,147405.3037,379.8560,271.9566,347.8304
2025-01-06 00:00:00-05:00,121.4520,193.5339,147402.2908,380.9410,270.8362,345.6902
2025-01-13 00:00:00-05:00,120.8695,194.5804,147411.4425,385.0351,275.9657,351.1500
2025-01-20 00:00:00-05:00,121.5740,194.8263,147411.3502,384.8750,281.0282,367.9518
2025-01-27 00:00:00-05:00,121.9531,186.6130,147412.9938,384.8196,286.6747,367.2977
2025-02-03 00:00:00-05:00,121.5224,187.9115,147415.3545,386.3639,288.1477,364.6221
2025-02-10 00:00:00-05:00,120.6817,199.0063,147417.0187,387.3356,291.1732,371.2876
2025-02-17 00:00:00-05:00,120.4754,195.1532,147414.7192,388.1045,280.7921,357.0357
2025-02-24 00:00:00-05:00,120.6530,186.3589,147422.6230,387.3657,278.9182,345.3484
2025-03-03 00:00:00-05:00,120.0845,180.5369,147414.7362,384.4765,263.2522,334.8716
2025-03-10 00:00:00-04:00,119.1927,175.5930,147417.2925,381.1235,256.6193,328.9004
2025-03-17 00:00:00-04:00,119.5028,175.1612,147420.4944,381.6056,256.3062,329.7393
2025-03-24 00:00:00-04:00,118.7119,167.5771,147421.6851,380.7971,256.0480,317.3778
2025-03-31 00:00:00-04:00,117.9263,145.9817,147408.8054,376.2510,241.4645,293.2624
2025-04-07 00:00:00-04:00,117.8549,162.8117,147420.3065,378.6413,253.6080,315.6233
2025-04-14 00:00:00-04:00,117.5887,156.0865,147418.2606,377.3497,249.7012,303.0468
2025-04-21 00:00:00-04:00,118.0387,168.1750,147423.0990,380.2539,257.9165,327.7027
2025-04-28 00:00:00-04:00,118.2918,170.1924,147426.6126,381.7336,261.8608,351.8752
2025-05-05 00:00:00-04:00,118.3563,170.2041,147420.8927,380.6676,263.7066,347.0669
2025-05-12 00:00:00-04:00,119.4712,186.3984,147423.5088,383.3342,273.0688,367.0776
2025-05-19 00:00:00-04:00,119.1855,178.9932,147419.9092,381.7850,268.7447,364.4523
2025-05-26 00:00:00-04:00,119.3436,184.2228,147420.5863,384.1924,273.2918,373.5013
2025-06-02 00:00:00-04:00,117.9683,189.2863,147418.5552,384.7116,275.9249,386.4440
2025-06-09 00:00:00-04:00,117.2684,187.5201,147417.0838,381.7891,272.6163,384.3628
2025-06-16 00:00:00-04:00,116.9569,190.1002,147418.2107,380.6643,270.2582,382.1564
2025-06-23 00:00:00-04:00,117.1590,200.1447,147420.4774,381.6606,278.8033,403.6551
2025-06-30 00:00:00-04:00,117.4977,205.4142,147421.8536,383.9213,278.9903,402.1022
2025-07-07 00:00:00-04:00,117.1988,207.1794,147418.4797,381.4186,278.3228,401.4841
2025-07-14 00:00:00-04:00,117.0185,209.8411,147418.7815,381.6254,277.2116,402.6154
2025-07-21 00:00:00-04:00,116.7418,211.7189,147422.3436,381.1422,279.1468,407.1773
2025-07-28 00:00:00-04:00,116.0435,207.2976,147418.2390,379.6294,270.8030,413.4002
2025-08-04 00:00:00-04:00,115.9391,222.7456,147416.4727,377.9800,278.5447,424.7273
2025-08-11 00:00:00-04:00,116.1807,223.3919,147419.4058,380.0216,282.6911,428.2460
2025-08-18 00:00:00-04:00,116.1717,217.4979,147422.2709,380.1855,280.6988,414.4366
2025-08-25 00:00:00-04:00,116.2872,220.1974,163155.7873,378.6102,278.2491,419.1576
2025-08-27 00:00:00-04:00,116.3710,223.3938,163155.7873,378.8127,279.4780,418.9767
2025-08-29 00:00:00-04:00,116.2808,219.6370,163160.6640,378.9553,278.7102,419.3651
2025-09-01 00:00:00-04:00,131.8596,228.5745,163186.6141,369.7894,294.5409,432.5004
2025-09-05 00:00:00-04:00,131.8596,228.5745,163186.6141,369.7894,294.5409,432.5102
2000-01-01 00:00:00-05:00,63.1138,224.1473,11717.2452,115.3729,241.1087,421.0546
2000-02-01 00:00:00-05:00,61.1689,224.1091,10109.0319,113.4348,240.9251,421.7256
2000-03-01 00:00:00-05:00,57.9791,224.6556,13057.2800,114.0092,241.6243,421.6300
2000-04-01 00:00:00-05:00,58.3116,224.7047,13525.9033,117.0689,241.1310,421.6528
2000-05-01 00:00:00-04:00,59.4770,224.7194,13370.2578,117.2245,240.7920,421.4735
2000-06-01 00:00:00-04:00,58.8263,224.7460,12298.1339,121.4975,240.8454,421.8002
2000-07-01 00:00:00-04:00,59.1644,224.6531,12589.9836,121.5024,240.8609,421.5868
2000-08-01 00:00:00-04:00,59.0090,225.1547,13171.6662,116.6754,240.3537,421.9887
2000-09-01 00:00:00-04:00,59.7147,225.0971,14666.6063,118.0188,240.6531,421.7326
2000-10-01 00:00:00-04:00,60.5758,224.8934,14509.9499,119.2144,239.9818,421.3443
2000-11-01 00:00:00-05:00,61.1273,224.5203,15000.3749,120.1759,240.0304,420.9865
2000-12-01 00:00:00-05:00,61.3657,224.4048,16139.3354,120.4162,240.4400,421.0729
2001-01-01 00:00:00-05:00,60.4788,224.2763,15560.0127,117.6747,240.7295,421.0773
2001-02-01 00:00:00-05:00,59.9936,224.3134,15982.7617,117.9778,240.1422,420.6039
2001-03-01 00:00:00-05:00,58.5898,223.9825,14899.2767,117.2335,240.1925,420.4008
2001-04-01 00:00:00-05:00,58.4268,224.4706,15469.4173,118.8546,240.4746,420.4905
2001-05-01 00:00:00-04:00,58.9811,224.5042,15626.1786,118.8814,240.6000,420.4637
2001-06-01 00:00:00-04:00,58.7497,224.5042,15782.8128,117.3738,240.3675,420.6247
2001-07-01 00:00:00-04:00,59.4612,224.1107,15737.7246,118.6650,240.8295,417.4814
2001-08-01 00:00:00-04:00,60.1364,223.9341,15781.4329,118.3018,240.2693,417.2105
2001-09-01 00:00:00-04:00,59.8560,223.6684,15914.2773,119.1741,239.8949,417.2046
2001-10-01 00:00:00-04:00,60.0779,223.6236,16183.1907,118.8329,239.9645,417.2835
2001-11-01 00:00:00-05:00,60.4211,223.7743,15915.8412,119.9913,240.5931,417.3482
2001-12-01 00:00:00-05:00,60.6206,223.8882,17166.6187,119.3903,240.9431,417.3776
2002-01-01 00:00:00-05:00,60.6110,223.6889,16786.4933,118.6195,240.9887,417.5012
2002-02-01 00:00:00-05:00,61.2588,223.7867,16585.1791,119.0574,241.0633,417.4647
2002-03-01 00:00:00-05:00,62.1889,223.7196,16161.9851,119.7072,240.9558,417.3131
2002-04-01 00:00:00-05:00,62.4827,223.2939,16685.4513,117.9544,240.6190,417.1202
2002-05-01 00:00:00-04:00,62.4523,223.2640,16942.2324,117.5877,240.2813,417.0277
2002-06-01 00:00:00-04:00,62.4616,223.1119,15199.8994,115.4469,240.0326,417.0701
2002-07-01 00:00:00-04:00,62.0326,223.3559,15533.6379,115.8324,239.4724,417.0688
2002-08-01 00:00:00-04:00,62.1288,223.2057,16582.8336,115.9155,239.7595,417.0516
2002-09-01 00:00:00-04:00,61.9618,222.8029,16783.4427,115.6069,239.2002,416.9552
2002-10-01 00:00:00-04:00,61.7610,222.8598,16849.9057,116.3224,239.5351,417.0835
